team,opponent,matches,wins,draws,losses,gf,ga,home_matches,gd,win_rate,draw_rate,loss_rate,points,points_per_match
アビスパ福岡,ガンバ大阪,28,9,5,14,30,41,14,-11,0.32142857142857145,0.17857142857142858,0.5,32,1.1428571428571428
アビスパ福岡,名古屋グランパス,28,5,3,20,21,53,14,-32,0.17857142857142858,0.10714285714285714,0.7142857142857143,18,0.6428571428571429
アビスパ福岡,サンフレッチェ広島,27,7,3,17,26,50,13,-24,0.25925925925925924,0.1111111111111111,0.6296296296296297,24,0.8888888888888888
アビスパ福岡,横浜Ｆ・マリノス,27,6,2,19,21,53,14,-32,0.2222222222222222,0.07407407407407407,0.7037037037037037,20,0.7407407407407407
アビスパ福岡,鹿島アントラーズ,27,3,5,19,18,55,14,-37,0.1111111111111111,0.18518518518518517,0.7037037037037037,14,0.5185185185185185
アビスパ福岡,セレッソ大阪,26,7,3,16,24,50,13,-26,0.2692307692307692,0.11538461538461539,0.6153846153846154,24,0.9230769230769231
アビスパ福岡,ヴィッセル神戸,24,4,7,13,19,31,12,-12,0.16666666666666666,0.2916666666666667,0.5416666666666666,19,0.7916666666666666
アビスパ福岡,柏レイソル,23,8,1,14,30,44,11,-14,0.34782608695652173,0.043478260869565216,0.6086956521739131,25,1.0869565217391304
アビスパ福岡,浦和レッズ,22,5,5,12,17,32,12,-15,0.22727272727272727,0.22727272727272727,0.5454545454545454,20,0.9090909090909091
アビスパ福岡,清水エスパルス,22,4,3,15,21,43,11,-22,0.18181818181818182,0.13636363636363635,0.6818181818181818,15,0.6818181818181818
アビスパ福岡,ジュビロ磐田,22,3,5,14,23,49,11,-26,0.13636363636363635,0.22727272727272727,0.6363636363636364,14,0.6363636363636364
アビスパ福岡,湘南ベルマーレ,20,9,6,5,25,19,10,6,0.45,0.3,0.25,33,1.65
アビスパ福岡,京都サンガF.C.,20,10,1,9,36,30,10,6,0.5,0.05,0.45,31,1.55
アビスパ福岡,ＦＣ東京,18,10,3,5,22,19,9,3,0.5555555555555556,0.16666666666666666,0.2777777777777778,33,1.8333333333333333
