year,date,home,away,home_goal,away_goal,home_raw,away_raw,source_url
1993,1993-05-15,東京ヴェルディ,横浜Ｆ・マリノス,1,2,東京ヴェルディ,横浜Ｆ・マリノス,https://soccer-db.net/competition/results/1001/1993
1993,1993-05-16,ガンバ大阪,浦和レッズ,1,0,ガンバ大阪,浦和レッズ,https://soccer-db.net/competition/results/1001/1993
1993,1993-05-16,サンフレッチェ広島,ジェフユナイテッド千葉,2,1,サンフレッチェ広島,ジェフユナイテッド千葉,https://soccer-db.net/competition/results/1001/1993
1993,1993-05-16,横浜フリューゲルス,清水エスパルス,3,2,横浜フリューゲルス,清水エスパルス,https://soccer-db.net/competition/results/1001/1993
1993,1993-05-16,鹿島アントラーズ,名古屋グランパス,5,0,鹿島アントラーズ,名古屋グランパス,https://soccer-db.net/competition/results/1001/1993
1993,1993-05-19,ジェフユナイテッド千葉,東京ヴェルディ,2,1,ジェフユナイテッド千葉,東京ヴェルディ,https://soccer-db.net/competition/results/1001/1993
1993,1993-05-19,横浜Ｆ・マリノス,ガンバ大阪,1,0,横浜Ｆ・マリノス,ガンバ大阪,https://soccer-db.net/competition/results/1001/1993
1993,1993-05-19,浦和レッズ,名古屋グランパス,0,3,浦和レッズ,名古屋グランパス,https://soccer-db.net/competition/results/1001/1993
1993,1993-05-19,清水エスパルス,サンフレッチェ広島,1,0,清水エスパルス,サンフレッチェ広島,https://soccer-db.net/competition/results/1001/1993
1993,1993-05-19,鹿島アントラーズ,横浜フリューゲルス,3,2,鹿島アントラーズ,横浜フリューゲルス,https://soccer-db.net/competition/results/1001/1993
1993,1993-05-22,ガンバ大阪,ジェフユナイテッド千葉,0,3,ガンバ大阪,ジェフユナイテッド千葉,https://soccer-db.net/competition/results/1001/1993
1993,1993-05-22,"名古屋グランパス 1 (4) Result (3) 1 横浜Ｆ・マリノス 観客:11,267 S S S S S S S S S S S S S S S S S S S S S S S S S S S S Y Y Y Y Referee: マーティン ボデナム 1993.05.22 サンフレッチェ広島",東京ヴェルディ,1,2,"名古屋グランパス 1 (4) Result (3) 1 横浜Ｆ・マリノス 観客:11,267 S S S S S S S S S S S S S S S S S S S S S S S S S S S S Y Y Y Y Referee: マーティン ボデナム 1993.05.22 サンフレッチェ広島",東京ヴェルディ,https://soccer-db.net/competition/results/1001/1993
1993,1993-05-22,横浜フリューゲルス,浦和レッズ,3,1,横浜フリューゲルス,浦和レッズ,https://soccer-db.net/competition/results/1001/1993
1993,1993-05-22,清水エスパルス,鹿島アントラーズ,2,1,清水エスパルス,鹿島アントラーズ,https://soccer-db.net/competition/results/1001/1993
1993,1993-05-26,"ガンバ大阪 1 (6) Result (7) 1 清水エスパルス 観客:16,707 S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S Y Y Referee: マーティン ボデナム 1993.05.26 サンフレッチェ広島",横浜Ｆ・マリノス,1,0,"ガンバ大阪 1 (6) Result (7) 1 清水エスパルス 観客:16,707 S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S Y Y Referee: マーティン ボデナム 1993.05.26 サンフレッチェ広島",横浜Ｆ・マリノス,https://soccer-db.net/competition/results/1001/1993
1993,1993-05-26,ジェフユナイテッド千葉,浦和レッズ,1,0,ジェフユナイテッド千葉,浦和レッズ,https://soccer-db.net/competition/results/1001/1993
1993,1993-05-26,名古屋グランパス,横浜フリューゲルス,1,2,名古屋グランパス,横浜フリューゲルス,https://soccer-db.net/competition/results/1001/1993
1993,1993-05-26,東京ヴェルディ,鹿島アントラーズ,1,0,東京ヴェルディ,鹿島アントラーズ,https://soccer-db.net/competition/results/1001/1993
1993,1993-05-29,横浜フリューゲルス,サンフレッチェ広島,1,2,横浜フリューゲルス,サンフレッチェ広島,https://soccer-db.net/competition/results/1001/1993
1993,1993-05-29,横浜Ｆ・マリノス,ジェフユナイテッド千葉,0,5,横浜Ｆ・マリノス,ジェフユナイテッド千葉,https://soccer-db.net/competition/results/1001/1993
1993,1993-05-29,"清水エスパルス 0 (5) Result (6) 0 名古屋グランパス 観客:50,475 S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S Referee: 十河 正博 1993.05.29 浦和レッズ 1 (4) Result (2) 1 東京ヴェルディ 観客:9,690 S S S S S S S S S S S S S S S S S S S S S S S S Y Y Y Referee: 岡田 正義 Results 試合結果 明治安田 Ｊ１リーグ １ｓｔステージ 1993.06.02 清水エスパルス",東京ヴェルディ,2,4,"清水エスパルス 0 (5) Result (6) 0 名古屋グランパス 観客:50,475 S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S Referee: 十河 正博 1993.05.29 浦和レッズ 1 (4) Result (2) 1 東京ヴェルディ 観客:9,690 S S S S S S S S S S S S S S S S S S S S S S S S Y Y Y Referee: 岡田 正義 Results 試合結果 明治安田 Ｊ１リーグ １ｓｔステージ 1993.06.02 清水エスパルス",東京ヴェルディ,https://soccer-db.net/competition/results/1001/1993
1993,1993-05-29,鹿島アントラーズ,ガンバ大阪,4,0,鹿島アントラーズ,ガンバ大阪,https://soccer-db.net/competition/results/1001/1993
1993,1993-06-02,名古屋グランパス,サンフレッチェ広島,1,4,名古屋グランパス,サンフレッチェ広島,https://soccer-db.net/competition/results/1001/1993
1993,1993-06-02,横浜フリューゲルス,ガンバ大阪,0,1,横浜フリューゲルス,ガンバ大阪,https://soccer-db.net/competition/results/1001/1993
1993,1993-06-02,浦和レッズ,横浜Ｆ・マリノス,0,1,浦和レッズ,横浜Ｆ・マリノス,https://soccer-db.net/competition/results/1001/1993
1993,1993-06-02,鹿島アントラーズ,ジェフユナイテッド千葉,2,1,鹿島アントラーズ,ジェフユナイテッド千葉,https://soccer-db.net/competition/results/1001/1993
1993,1993-06-05,ガンバ大阪,名古屋グランパス,3,1,ガンバ大阪,名古屋グランパス,https://soccer-db.net/competition/results/1001/1993
1993,1993-06-05,サンフレッチェ広島,浦和レッズ,1,0,サンフレッチェ広島,浦和レッズ,https://soccer-db.net/competition/results/1001/1993
1993,1993-06-05,ジェフユナイテッド千葉,清水エスパルス,1,2,ジェフユナイテッド千葉,清水エスパルス,https://soccer-db.net/competition/results/1001/1993
1993,1993-06-05,"東京ヴェルディ 1 (5) Result (4) 1 横浜フリューゲルス 観客:54,995 S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S Y Referee: 菊地 秀夫 1993.06.05 横浜Ｆ・マリノス",鹿島アントラーズ,0,2,"東京ヴェルディ 1 (5) Result (4) 1 横浜フリューゲルス 観客:54,995 S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S Y Referee: 菊地 秀夫 1993.06.05 横浜Ｆ・マリノス",鹿島アントラーズ,https://soccer-db.net/competition/results/1001/1993
1993,1993-06-09,"ガンバ大阪 1 (3) Result (4) 1 サンフレッチェ広島 観客:19,351 S S S S S S S S S S S S S S S S S S S S S S Y Y Referee: 田中 賢二 1993.06.09 鹿島アントラーズ",浦和レッズ,3,1,"ガンバ大阪 1 (3) Result (4) 1 サンフレッチェ広島 観客:19,351 S S S S S S S S S S S S S S S S S S S S S S Y Y Referee: 田中 賢二 1993.06.09 鹿島アントラーズ",浦和レッズ,https://soccer-db.net/competition/results/1001/1993
1993,1993-06-09,名古屋グランパス,東京ヴェルディ,3,1,名古屋グランパス,東京ヴェルディ,https://soccer-db.net/competition/results/1001/1993
1993,1993-06-09,横浜フリューゲルス,ジェフユナイテッド千葉,1,0,横浜フリューゲルス,ジェフユナイテッド千葉,https://soccer-db.net/competition/results/1001/1993
1993,1993-06-09,清水エスパルス,横浜Ｆ・マリノス,1,2,清水エスパルス,横浜Ｆ・マリノス,https://soccer-db.net/competition/results/1001/1993
1993,1993-06-12,サンフレッチェ広島,鹿島アントラーズ,0,1,サンフレッチェ広島,鹿島アントラーズ,https://soccer-db.net/competition/results/1001/1993
1993,1993-06-12,ジェフユナイテッド千葉,名古屋グランパス,3,1,ジェフユナイテッド千葉,名古屋グランパス,https://soccer-db.net/competition/results/1001/1993
1993,1993-06-12,東京ヴェルディ,ガンバ大阪,1,0,東京ヴェルディ,ガンバ大阪,https://soccer-db.net/competition/results/1001/1993
1993,1993-06-12,横浜Ｆ・マリノス,横浜フリューゲルス,3,2,横浜Ｆ・マリノス,横浜フリューゲルス,https://soccer-db.net/competition/results/1001/1993
1993,1993-06-12,浦和レッズ,清水エスパルス,2,1,浦和レッズ,清水エスパルス,https://soccer-db.net/competition/results/1001/1993
