team,opponent,matches,wins,draws,losses,gf,ga,home_matches,gd,win_rate,draw_rate,loss_rate,points,points_per_match
アビスパ福岡,ガンバ大阪,28,9,5,14,30,41,14,-11,0.32142857142857145,0.17857142857142858,0.5,32,1.1428571428571428
アビスパ福岡,サンフレッチェ広島,28,8,3,17,27,51,14,-24,0.2857142857142857,0.10714285714285714,0.6071428571428571,27,0.9642857142857143
アビスパ福岡,横浜Ｆ・マリノス,28,6,2,20,21,53,14,-32,0.21428571428571427,0.07142857142857142,0.7142857142857143,20,0.7142857142857143
アビスパ福岡,名古屋グランパス,28,5,3,20,21,53,14,-32,0.17857142857142858,0.10714285714285714,0.7142857142857143,18,0.6428571428571429
アビスパ福岡,鹿島アントラーズ,28,4,5,19,21,55,14,-34,0.14285714285714285,0.17857142857142858,0.6785714285714286,17,0.6071428571428571
アビスパ福岡,柏レイソル,26,9,1,16,32,47,13,-15,0.34615384615384615,0.038461538461538464,0.6153846153846154,28,1.0769230769230769
アビスパ福岡,浦和レッズ,26,7,5,14,24,36,13,-12,0.2692307692307692,0.19230769230769232,0.5384615384615384,26,1.0
アビスパ福岡,セレッソ大阪,26,7,3,16,24,50,13,-26,0.2692307692307692,0.11538461538461539,0.6153846153846154,24,0.9230769230769231
アビスパ福岡,ヴィッセル神戸,24,4,7,13,19,31,12,-12,0.16666666666666666,0.2916666666666667,0.5416666666666666,19,0.7916666666666666
アビスパ福岡,清水エスパルス,22,4,3,15,21,43,11,-22,0.18181818181818182,0.13636363636363635,0.6818181818181818,15,0.6818181818181818
アビスパ福岡,ジュビロ磐田,22,3,5,14,23,49,11,-26,0.13636363636363635,0.22727272727272727,0.6363636363636364,14,0.6363636363636364
アビスパ福岡,湘南ベルマーレ,20,9,6,5,25,19,10,6,0.45,0.3,0.25,33,1.65
アビスパ福岡,京都サンガF.C.,20,10,1,9,36,30,10,6,0.5,0.05,0.45,31,1.55
アビスパ福岡,ＦＣ東京,18,10,3,5,22,19,9,3,0.5555555555555556,0.16666666666666666,0.2777777777777778,33,1.8333333333333333
アビスパ福岡,川崎フロンターレ,18,5,2,11,26,38,9,-12,0.2777777777777778,0.1111111111111111,0.6111111111111112,17,0.9444444444444444
アビスパ福岡,東京ヴェルディ,16,4,4,8,12,21,8,-9,0.25,0.25,0.5,16,1.0
アビスパ福岡,ジェフユナイテッド千葉,14,5,1,8,22,34,7,-12,0.35714285714285715,0.07142857142857142,0.5714285714285714,16,1.1428571428571428
アビスパ福岡,北海道コンサドーレ札幌,12,5,5,2,16,14,6,2,0.4166666666666667,0.4166666666666667,0.16666666666666666,20,1.6666666666666667
アビスパ福岡,アルビレックス新潟,12,5,0,7,12,18,6,-6,0.4166666666666667,0.0,0.5833333333333334,15,1.25
アビスパ福岡,サガン鳥栖,10,3,5,2,10,6,5,4,0.3,0.5,0.2,14,1.4
アビスパ福岡,横浜ＦＣ,6,2,3,1,6,4,3,2,0.3333333333333333,0.5,0.16666666666666666,9,1.5
アビスパ福岡,大宮アルディージャ,6,2,2,2,7,6,3,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,8,1.3333333333333333
アビスパ福岡,ベガルタ仙台,6,1,2,3,4,9,3,-5,0.16666666666666666,0.3333333333333333,0.5,5,0.8333333333333334
アビスパ福岡,ヴァンフォーレ甲府,6,1,2,3,5,7,3,-2,0.16666666666666666,0.3333333333333333,0.5,5,0.8333333333333334
アビスパ福岡,横浜フリューゲルス,6,0,0,6,6,14,3,-8,0.0,0.0,1.0,0,0.0
アビスパ福岡,大分トリニータ,4,1,1,2,2,4,2,-2,0.25,0.25,0.5,4,1.0
アビスパ福岡,ＦＣ町田ゼルビア,4,0,3,1,2,5,2,-3,0.0,0.75,0.25,3,0.75
アビスパ福岡,徳島ヴォルティス,2,2,0,0,5,1,1,4,1.0,0.0,0.0,6,3.0
アビスパ福岡,ファジアーノ岡山,2,1,1,0,2,1,1,1,0.5,0.5,0.0,4,2.0
アビスパ福岡,モンテディオ山形,2,1,0,1,5,2,1,3,0.5,0.0,0.5,3,1.5
アルビレックス新潟,横浜Ｆ・マリノス,34,12,9,13,32,43,17,-11,0.35294117647058826,0.2647058823529412,0.38235294117647056,45,1.3235294117647058
アルビレックス新潟,鹿島アントラーズ,34,7,9,18,37,65,17,-28,0.20588235294117646,0.2647058823529412,0.5294117647058824,30,0.8823529411764706
アルビレックス新潟,浦和レッズ,34,1,8,25,22,67,17,-45,0.029411764705882353,0.23529411764705882,0.7352941176470589,11,0.3235294117647059
アルビレックス新潟,名古屋グランパス,32,11,6,15,37,42,16,-5,0.34375,0.1875,0.46875,39,1.21875
アルビレックス新潟,川崎フロンターレ,32,11,4,17,39,60,16,-21,0.34375,0.125,0.53125,37,1.15625
アルビレックス新潟,ＦＣ東京,32,9,6,17,38,49,16,-11,0.28125,0.1875,0.53125,33,1.03125
アルビレックス新潟,サンフレッチェ広島,32,7,10,15,27,47,16,-20,0.21875,0.3125,0.46875,31,0.96875
アルビレックス新潟,ガンバ大阪,32,6,10,16,41,64,16,-23,0.1875,0.3125,0.5,28,0.875
アルビレックス新潟,ヴィッセル神戸,30,11,9,10,40,40,15,0,0.36666666666666664,0.3,0.3333333333333333,42,1.4
アルビレックス新潟,柏レイソル,30,5,14,11,28,40,15,-12,0.16666666666666666,0.4666666666666667,0.36666666666666664,29,0.9666666666666667
アルビレックス新潟,清水エスパルス,28,12,6,10,43,36,14,7,0.42857142857142855,0.21428571428571427,0.35714285714285715,42,1.5
アルビレックス新潟,ジュビロ磐田,26,6,8,12,32,49,13,-17,0.23076923076923078,0.3076923076923077,0.46153846153846156,26,1.0
アルビレックス新潟,大宮アルディージャ,24,9,9,6,29,25,12,4,0.375,0.375,0.25,36,1.5
アルビレックス新潟,セレッソ大阪,24,7,7,10,23,31,12,-8,0.2916666666666667,0.2916666666666667,0.4166666666666667,28,1.1666666666666667
アルビレックス新潟,サガン鳥栖,16,8,1,7,19,19,8,0,0.5,0.0625,0.4375,25,1.5625
アルビレックス新潟,ヴァンフォーレ甲府,16,6,6,4,20,14,8,6,0.375,0.375,0.25,24,1.5
アルビレックス新潟,ベガルタ仙台,16,7,2,7,17,21,8,-4,0.4375,0.125,0.4375,23,1.4375
アルビレックス新潟,湘南ベルマーレ,14,7,2,5,25,23,7,2,0.5,0.14285714285714285,0.35714285714285715,23,1.6428571428571428
アルビレックス新潟,大分トリニータ,14,5,4,5,19,20,7,-1,0.35714285714285715,0.2857142857142857,0.35714285714285715,19,1.3571428571428572
アルビレックス新潟,京都サンガF.C.,14,5,3,6,14,14,7,0,0.35714285714285715,0.21428571428571427,0.42857142857142855,18,1.2857142857142858
アルビレックス新潟,アビスパ福岡,12,7,0,5,18,12,6,6,0.5833333333333334,0.0,0.4166666666666667,21,1.75
アルビレックス新潟,ジェフユナイテッド千葉,12,3,5,4,18,18,6,0,0.25,0.4166666666666667,0.3333333333333333,14,1.1666666666666667
アルビレックス新潟,北海道コンサドーレ札幌,10,7,3,0,16,7,5,9,0.7,0.3,0.0,24,2.4
アルビレックス新潟,東京ヴェルディ,10,0,5,5,7,17,5,-10,0.0,0.5,0.5,5,0.5
アルビレックス新潟,モンテディオ山形,8,5,2,1,12,5,4,7,0.625,0.25,0.125,17,2.125
