year,matches,pk_matches,cell_parser,text_parser
1993,180,18,180,0
1994,264,17,264,0
1995,364,28,364,0
1996,240,11,240,0
1997,272,9,272,0
1998,306,17,306,0
1999,240,0,240,0
2000,240,0,240,0
2001,240,0,240,0
2002,240,0,240,0
2003,240,0,240,0
2004,240,0,240,0
2005,306,0,306,0
2006,306,0,306,0
2007,306,0,306,0
2008,306,0,306,0
2009,306,0,306,0
2010,306,0,306,0
2011,306,0,306,0
2012,306,0,306,0
2013,306,0,306,0
2014,306,0,306,0
2015,306,0,306,0
2016,306,0,306,0
2017,306,0,306,0
2018,306,0,306,0
2019,306,0,306,0
2020,306,0,306,0
2021,380,0,380,0
2022,306,0,306,0
2023,306,0,306,0
2024,380,0,380,0
2025,380,0,380,0
