date,competition,season,home,away,home_goals,away_goals
2014-03-09,J3,2014,ガイナーレ鳥取,いわてグルージャ盛岡,0,0
2014-03-09,J3,2014,横浜スポーツ&カルチャークラブ,ブラウブリッツ秋田,1,1
2014-03-09,J3,2014,ＡＣ長野パルセイロ,福島ユナイテッドＦＣ,1,0
2014-03-09,J3,2014,ＦＣ琉球,Ｊリーグ・アンダー22選抜,3,0
2014-03-09,J3,2014,ＦＣ町田ゼルビア,藤枝ＭＹＦＣ,3,0
2014-03-09,J3,2014,ＳＣ相模原,ツエーゲン金沢,0,4
2014-03-16,J3,2014,ツエーゲン金沢,ガイナーレ鳥取,1,1
2014-03-16,J3,2014,福島ユナイテッドＦＣ,いわてグルージャ盛岡,0,2
2014-03-16,J3,2014,藤枝ＭＹＦＣ,Ｊリーグ・アンダー22選抜,2,4
2014-03-16,J3,2014,ＦＣ琉球,ブラウブリッツ秋田,2,0
2014-03-16,J3,2014,ＦＣ町田ゼルビア,ＡＣ長野パルセイロ,0,0
2014-03-16,J3,2014,ＳＣ相模原,横浜スポーツ&カルチャークラブ,2,0
2014-03-23,J3,2014,いわてグルージャ盛岡,Ｊリーグ・アンダー22選抜,6,1
2014-03-23,J3,2014,ガイナーレ鳥取,ＳＣ相模原,1,0
2014-03-23,J3,2014,ブラウブリッツ秋田,福島ユナイテッドＦＣ,2,2
2014-03-23,J3,2014,横浜スポーツ&カルチャークラブ,ＦＣ町田ゼルビア,1,1
2014-03-23,J3,2014,藤枝ＭＹＦＣ,ＦＣ琉球,2,2
2014-03-23,J3,2014,ＡＣ長野パルセイロ,ツエーゲン金沢,2,1
2014-03-29,J3,2014,ツエーゲン金沢,横浜スポーツ&カルチャークラブ,4,0
2014-03-30,J3,2014,ブラウブリッツ秋田,Ｊリーグ・アンダー22選抜,1,2
2014-03-30,J3,2014,福島ユナイテッドＦＣ,ガイナーレ鳥取,0,1
2014-03-30,J3,2014,ＡＣ長野パルセイロ,藤枝ＭＹＦＣ,1,4
2014-03-30,J3,2014,ＦＣ琉球,いわてグルージャ盛岡,0,1
2014-03-30,J3,2014,ＦＣ町田ゼルビア,ＳＣ相模原,2,0
2014-04-06,J3,2014,いわてグルージャ盛岡,ＦＣ町田ゼルビア,1,4
2014-04-06,J3,2014,ガイナーレ鳥取,ＡＣ長野パルセイロ,1,1
2014-04-06,J3,2014,横浜スポーツ&カルチャークラブ,Ｊリーグ・アンダー22選抜,0,2
2014-04-06,J3,2014,藤枝ＭＹＦＣ,福島ユナイテッドＦＣ,0,0
2014-04-06,J3,2014,ＳＣ相模原,ブラウブリッツ秋田,3,0
2014-04-13,J3,2014,ブラウブリッツ秋田,いわてグルージャ盛岡,2,1
2014-04-13,J3,2014,福島ユナイテッドＦＣ,Ｊリーグ・アンダー22選抜,0,1
2014-04-13,J3,2014,藤枝ＭＹＦＣ,ガイナーレ鳥取,0,2
2014-04-13,J3,2014,ＡＣ長野パルセイロ,横浜スポーツ&カルチャークラブ,0,0
2014-04-13,J3,2014,ＦＣ琉球,ＳＣ相模原,0,0
2014-04-13,J3,2014,ＦＣ町田ゼルビア,ツエーゲン金沢,0,0
2014-04-16,J3,2014,ツエーゲン金沢,ＦＣ琉球,2,1
2014-04-20,J3,2014,いわてグルージャ盛岡,ＡＣ長野パルセイロ,0,0
2014-04-20,J3,2014,ガイナーレ鳥取,Ｊリーグ・アンダー22選抜,1,0
2014-04-20,J3,2014,ツエーゲン金沢,ブラウブリッツ秋田,1,0
2014-04-20,J3,2014,横浜スポーツ&カルチャークラブ,福島ユナイテッドＦＣ,0,1
2014-04-20,J3,2014,ＦＣ琉球,ＦＣ町田ゼルビア,1,7
2014-04-20,J3,2014,ＳＣ相模原,藤枝ＭＹＦＣ,2,1
2014-04-26,J3,2014,ツエーゲン金沢,いわてグルージャ盛岡,2,0
2014-04-26,J3,2014,ブラウブリッツ秋田,ガイナーレ鳥取,1,0
2014-04-26,J3,2014,福島ユナイテッドＦＣ,ＳＣ相模原,1,2
2014-04-26,J3,2014,藤枝ＭＹＦＣ,横浜スポーツ&カルチャークラブ,1,2
2014-04-26,J3,2014,ＡＣ長野パルセイロ,ＦＣ琉球,1,0
2014-04-26,J3,2014,ＦＣ町田ゼルビア,Ｊリーグ・アンダー22選抜,4,0
2014-04-29,J3,2014,いわてグルージャ盛岡,藤枝ＭＹＦＣ,4,1
2014-04-29,J3,2014,ガイナーレ鳥取,ＦＣ町田ゼルビア,0,1
2014-04-29,J3,2014,ブラウブリッツ秋田,ＡＣ長野パルセイロ,1,2
2014-04-29,J3,2014,横浜スポーツ&カルチャークラブ,ＦＣ琉球,1,4
2014-04-29,J3,2014,福島ユナイテッドＦＣ,ツエーゲン金沢,0,1
2014-04-29,J3,2014,ＳＣ相模原,Ｊリーグ・アンダー22選抜,0,1
2014-05-04,J3,2014,いわてグルージャ盛岡,ＳＣ相模原,2,3
2014-05-04,J3,2014,横浜スポーツ&カルチャークラブ,ガイナーレ鳥取,0,2
2014-05-04,J3,2014,藤枝ＭＹＦＣ,ツエーゲン金沢,0,0
2014-05-04,J3,2014,ＡＣ長野パルセイロ,Ｊリーグ・アンダー22選抜,1,0
2014-05-04,J3,2014,ＦＣ琉球,福島ユナイテッドＦＣ,1,3
2014-05-04,J3,2014,ＦＣ町田ゼルビア,ブラウブリッツ秋田,4,1
2014-05-10,J3,2014,いわてグルージャ盛岡,横浜スポーツ&カルチャークラブ,3,0
2014-05-11,J3,2014,ガイナーレ鳥取,ＦＣ琉球,0,0
2014-05-11,J3,2014,ツエーゲン金沢,Ｊリーグ・アンダー22選抜,2,0
2014-05-11,J3,2014,ブラウブリッツ秋田,藤枝ＭＹＦＣ,2,1
