competition,season,date,team,opponent,is_home,manager,match_id,match_url
J1,2005,2005-03-06,C大阪,神戸,False,小林 伸二,20050306001,https://soccer-db.net/result/20050306001
J1,2005,2005-03-12,C大阪,横浜FM,True,小林 伸二,20050312005,https://soccer-db.net/result/20050312005
J1,2005,2005-04-02,C大阪,大宮,False,小林 伸二,20050402005,https://soccer-db.net/result/20050402005
J1,2005,2005-04-09,C大阪,名古屋,True,小林 伸二,20050409006,https://soccer-db.net/result/20050409006
J1,2005,2005-04-13,C大阪,大分,False,小林 伸二,20050413009,https://soccer-db.net/result/20050413009
J1,2005,2005-04-16,C大阪,柏,True,小林 伸二,20050416004,https://soccer-db.net/result/20050416004
J1,2005,2005-04-23,C大阪,浦和,False,小林 伸二,20050423001,https://soccer-db.net/result/20050423001
J1,2005,2005-04-28,C大阪,広島,True,小林 伸二,20050428008,https://soccer-db.net/result/20050428008
J1,2005,2005-05-01,C大阪,鹿島,False,小林 伸二,20050501005,https://soccer-db.net/result/20050501005
J1,2005,2005-05-04,C大阪,東京V,True,小林 伸二,20050504004,https://soccer-db.net/result/20050504004
J1,2005,2005-05-08,C大阪,清水,False,小林 伸二,20050508007,https://soccer-db.net/result/20050508007
J1,2005,2005-05-14,C大阪,G大阪,True,小林 伸二,20050514005,https://soccer-db.net/result/20050514005
J1,2005,2005-07-02,C大阪,FC東京,False,小林 伸二,20050702002,https://soccer-db.net/result/20050702002
J1,2005,2005-07-06,C大阪,千葉,True,小林 伸二,20050706008,https://soccer-db.net/result/20050706008
J1,2005,2005-07-09,C大阪,磐田,False,小林 伸二,20050709005,https://soccer-db.net/result/20050709005
J1,2005,2005-07-13,C大阪,新潟,True,小林 伸二,20050713007,https://soccer-db.net/result/20050713007
J1,2005,2005-07-17,C大阪,川崎F,False,小林 伸二,20050717004,https://soccer-db.net/result/20050717004
J1,2005,2005-07-23,C大阪,G大阪,False,小林 伸二,20050723007,https://soccer-db.net/result/20050723007
J1,2005,2005-08-20,C大阪,清水,True,小林 伸二,20050820007,https://soccer-db.net/result/20050820007
J1,2005,2005-08-24,C大阪,千葉,False,小林 伸二,20050824003,https://soccer-db.net/result/20050824003
J1,2005,2005-08-28,C大阪,柏,False,小林 伸二,20050828002,https://soccer-db.net/result/20050828002
J1,2005,2005-09-03,C大阪,神戸,True,小林 伸二,20050903008,https://soccer-db.net/result/20050903008
J1,2005,2005-09-10,C大阪,新潟,False,小林 伸二,20050910003,https://soccer-db.net/result/20050910003
J1,2005,2005-09-17,C大阪,磐田,True,小林 伸二,20050917003,https://soccer-db.net/result/20050917003
J1,2005,2005-09-24,C大阪,名古屋,False,小林 伸二,20050924006,https://soccer-db.net/result/20050924006
J1,2005,2005-10-02,C大阪,浦和,True,小林 伸二,20051002002,https://soccer-db.net/result/20051002002
J1,2005,2005-10-15,C大阪,大宮,True,小林 伸二,20051015002,https://soccer-db.net/result/20051015002
J1,2005,2005-10-23,C大阪,広島,False,小林 伸二,20051023002,https://soccer-db.net/result/20051023002
J1,2005,2005-10-30,C大阪,鹿島,True,小林 伸二,20051030002,https://soccer-db.net/result/20051030002
J1,2005,2005-11-12,C大阪,東京V,False,小林 伸二,20051112001,https://soccer-db.net/result/20051112001
J1,2005,2005-11-20,C大阪,川崎F,True,小林 伸二,20051120007,https://soccer-db.net/result/20051120007
J1,2005,2005-11-23,C大阪,大分,True,小林 伸二,20051123008,https://soccer-db.net/result/20051123008
J1,2005,2005-11-26,C大阪,横浜FM,False,小林 伸二,20051126004,https://soccer-db.net/result/20051126004
J1,2005,2005-12-03,C大阪,FC東京,True,小林 伸二,20051203008,https://soccer-db.net/result/20051203008
J1,2005,2005-03-05,FC東京,新潟,True,原 博実,20050305007,https://soccer-db.net/result/20050305007
J1,2005,2005-03-12,FC東京,広島,False,原 博実,20050312006,https://soccer-db.net/result/20050312006
J1,2005,2005-04-02,FC東京,神戸,False,原 博実,20050402006,https://soccer-db.net/result/20050402006
J1,2005,2005-04-10,FC東京,磐田,True,原 博実,20050410001,https://soccer-db.net/result/20050410001
J1,2005,2005-04-13,FC東京,名古屋,False,原 博実,20050413006,https://soccer-db.net/result/20050413006
J1,2005,2005-04-16,FC東京,浦和,True,原 博実,20050416006,https://soccer-db.net/result/20050416006
J1,2005,2005-04-23,FC東京,G大阪,False,原 博実,20050423003,https://soccer-db.net/result/20050423003
J1,2005,2005-04-28,FC東京,柏,True,原 博実,20050428003,https://soccer-db.net/result/20050428003
J1,2005,2005-05-01,FC東京,大分,False,原 博実,20050501004,https://soccer-db.net/result/20050501004
J1,2005,2005-05-04,FC東京,鹿島,True,原 博実,20050504007,https://soccer-db.net/result/20050504007
J1,2005,2005-05-08,FC東京,大宮,True,原 博実,20050508006,https://soccer-db.net/result/20050508006
J1,2005,2005-05-14,FC東京,千葉,False,原 博実,20050514007,https://soccer-db.net/result/20050514007
J1,2005,2005-07-02,FC東京,C大阪,True,原 博実,20050702002,https://soccer-db.net/result/20050702002
