competition,competition_id,season,match_id,match_url,date,home,away,home_manager,away_manager,page_title
J1,1001,2023,20230217001,https://soccer-db.net/result/20230217001,2023-02-17,川崎F,横浜FM,nat.,鬼木 達,"Soccer D.B. : 2023 明治安田 Ｊ１リーグ 23/02/17 川崎フロンターレ - 横浜Ｆ・マリノス 試合結果,スタメン,フォーメーション"
J1,1001,2023,20230218001,https://soccer-db.net/result/20230218001,2023-02-18,FC東京,浦和,nat.,アルベルト プッチ オルトネダ,"Soccer D.B. : 2023 明治安田 Ｊ１リーグ 23/02/18 ＦＣ東京 - 浦和レッズ 試合結果,スタメン,フォーメーション"
J1,1001,2023,20230218002,https://soccer-db.net/result/20230218002,2023-02-18,横浜FC,名古屋,nat.,四方田 修平,"Soccer D.B. : 2023 明治安田 Ｊ１リーグ 23/02/18 横浜ＦＣ - 名古屋グランパス 試合結果,スタメン,フォーメーション"
J1,1001,2023,20230218003,https://soccer-db.net/result/20230218003,2023-02-18,京都,鹿島,nat.,チョウ キジェ,"Soccer D.B. : 2023 明治安田 Ｊ１リーグ 23/02/18 京都サンガF.C. - 鹿島アントラーズ 試合結果,スタメン,フォーメーション"
J1,1001,2023,20230218004,https://soccer-db.net/result/20230218004,2023-02-18,C大阪,新潟,nat.,小菊 昭雄,"Soccer D.B. : 2023 明治安田 Ｊ１リーグ 23/02/18 セレッソ大阪 - アルビレックス新潟 試合結果,スタメン,フォーメーション"
J1,1001,2023,20230218005,https://soccer-db.net/result/20230218005,2023-02-18,神戸,福岡,nat.,吉田 孝行,"Soccer D.B. : 2023 明治安田 Ｊ１リーグ 23/02/18 ヴィッセル神戸 - アビスパ福岡 試合結果,スタメン,フォーメーション"
J1,1001,2023,20230218006,https://soccer-db.net/result/20230218006,2023-02-18,広島,札幌,nat.,ミヒャエル スキッベ,"Soccer D.B. : 2023 明治安田 Ｊ１リーグ 23/02/18 サンフレッチェ広島 - 北海道コンサドーレ札幌 試合結果,スタメン,フォーメーション"
J1,1001,2023,20230218007,https://soccer-db.net/result/20230218007,2023-02-18,柏,G大阪,nat.,ネルシーニョ,"Soccer D.B. : 2023 明治安田 Ｊ１リーグ 23/02/18 柏レイソル - ガンバ大阪 試合結果,スタメン,フォーメーション"
J1,1001,2023,20230218008,https://soccer-db.net/result/20230218008,2023-02-18,鳥栖,湘南,nat.,川井 健太,"Soccer D.B. : 2023 明治安田 Ｊ１リーグ 23/02/18 サガン鳥栖 - 湘南ベルマーレ 試合結果,スタメン,フォーメーション"
J1,1001,2023,20230224001,https://soccer-db.net/result/20230224001,2023-02-24,湘南,横浜FC,nat.,山口 智,"Soccer D.B. : 2023 明治安田 Ｊ１リーグ 23/02/24 湘南ベルマーレ - 横浜ＦＣ 試合結果,スタメン,フォーメーション"
J1,1001,2023,20230225001,https://soccer-db.net/result/20230225001,2023-02-25,横浜FM,浦和,nat.,ケビン マスカット,"Soccer D.B. : 2023 明治安田 Ｊ１リーグ 23/02/25 横浜Ｆ・マリノス - 浦和レッズ 試合結果,スタメン"
J1,1001,2023,20230225002,https://soccer-db.net/result/20230225002,2023-02-25,札幌,神戸,nat.,ミハイロ ペトロビッチ,"Soccer D.B. : 2023 明治安田 Ｊ１リーグ 23/02/25 北海道コンサドーレ札幌 - ヴィッセル神戸 試合結果,スタメン"
J1,1001,2023,20230225003,https://soccer-db.net/result/20230225003,2023-02-25,G大阪,鳥栖,nat.,ダニエル ポヤトス,"Soccer D.B. : 2023 明治安田 Ｊ１リーグ 23/02/25 ガンバ大阪 - サガン鳥栖 試合結果,スタメン"
J1,1001,2023,20230225004,https://soccer-db.net/result/20230225004,2023-02-25,福岡,C大阪,nat.,長谷部 茂利,"Soccer D.B. : 2023 明治安田 Ｊ１リーグ 23/02/25 アビスパ福岡 - セレッソ大阪 試合結果,スタメン"
J1,1001,2023,20230225005,https://soccer-db.net/result/20230225005,2023-02-25,鹿島,川崎F,nat.,岩政 大樹,"Soccer D.B. : 2023 明治安田 Ｊ１リーグ 23/02/25 鹿島アントラーズ - 川崎フロンターレ 試合結果,スタメン"
J1,1001,2023,20230225006,https://soccer-db.net/result/20230225006,2023-02-25,名古屋,京都,nat.,長谷川 健太,"Soccer D.B. : 2023 明治安田 Ｊ１リーグ 23/02/25 名古屋グランパス - 京都サンガF.C. 試合結果,スタメン"
J1,1001,2023,20230226001,https://soccer-db.net/result/20230226001,2023-02-26,広島,新潟,nat.,ミヒャエル スキッベ,"Soccer D.B. : 2023 明治安田 Ｊ１リーグ 23/02/26 サンフレッチェ広島 - アルビレックス新潟 試合結果,スタメン"
J1,1001,2023,20230226002,https://soccer-db.net/result/20230226002,2023-02-26,柏,FC東京,nat.,ネルシーニョ,"Soccer D.B. : 2023 明治安田 Ｊ１リーグ 23/02/26 柏レイソル - ＦＣ東京 試合結果,スタメン"
J1,1001,2023,20230303001,https://soccer-db.net/result/20230303001,2023-03-03,横浜FM,広島,nat.,ケビン マスカット,"Soccer D.B. : 2023 明治安田 Ｊ１リーグ 23/03/03 横浜Ｆ・マリノス - サンフレッチェ広島 試合結果,スタメン"
J1,1001,2023,20230304001,https://soccer-db.net/result/20230304001,2023-03-04,川崎F,湘南,nat.,鬼木 達,"Soccer D.B. : 2023 明治安田 Ｊ１リーグ 23/03/04 川崎フロンターレ - 湘南ベルマーレ 試合結果,スタメン"
J1,1001,2023,20230304002,https://soccer-db.net/result/20230304002,2023-03-04,新潟,札幌,nat.,松橋 力蔵,"Soccer D.B. : 2023 明治安田 Ｊ１リーグ 23/03/04 アルビレックス新潟 - 北海道コンサドーレ札幌 試合結果,スタメン"
J1,1001,2023,20230304003,https://soccer-db.net/result/20230304003,2023-03-04,京都,FC東京,nat.,チョウ キジェ,"Soccer D.B. : 2023 明治安田 Ｊ１リーグ 23/03/04 京都サンガF.C. - ＦＣ東京 試合結果,スタメン"
J1,1001,2023,20230304004,https://soccer-db.net/result/20230304004,2023-03-04,浦和,C大阪,nat.,マチェイ スコルジャ,"Soccer D.B. : 2023 明治安田 Ｊ１リーグ 23/03/04 浦和レッズ - セレッソ大阪 試合結果,スタメン"
J1,1001,2023,20230304005,https://soccer-db.net/result/20230304005,2023-03-04,福岡,柏,nat.,長谷部 茂利,"Soccer D.B. : 2023 明治安田 Ｊ１リーグ 23/03/04 アビスパ福岡 - 柏レイソル 試合結果,スタメン"
J1,1001,2023,20230304006,https://soccer-db.net/result/20230304006,2023-03-04,鳥栖,名古屋,nat.,川井 健太,"Soccer D.B. : 2023 明治安田 Ｊ１リーグ 23/03/04 サガン鳥栖 - 名古屋グランパス 試合結果,スタメン"
J1,1001,2023,20230304007,https://soccer-db.net/result/20230304007,2023-03-04,横浜FC,鹿島,nat.,四方田 修平,"Soccer D.B. : 2023 明治安田 Ｊ１リーグ 23/03/04 横浜ＦＣ - 鹿島アントラーズ 試合結果,スタメン"
