competition,season,team,old_manager,new_manager,last_old_manager_match_date,first_new_manager_match_date,effective_change_date,last_old_manager_match_id,first_new_manager_match_id,last_old_manager_match_url,first_new_manager_match_url,change_type,source,note,next_new_manager,next_old_manager,next_effective_change_date,prev_old_manager,prev_new_manager,prev_effective_change_date,starts_short_reversion,ends_short_reversion,days_until_next_change,days_since_prev_change,auto_event_type,recommended_use_for_boost,review_status,event_note
J1,2023,FC東京,アルベルト プッチ オルトネダ,ピーター クラモフスキー,2023-06-11,2023-06-24,2023-06-24,20230611004,20230624013,https://soccer-db.net/result/20230611004,https://soccer-db.net/result/20230624013,inferred_from_match_record,soccer-db,Soccer D.B.の試合別監督名から推定。実際の解任発表日とは異なる可能性あり。,,,,,,,False,False,,,true_change_candidate,True,likely_include,シーズン途中の監督交代候補。公式発表日で後ほど補完推奨
J1,2023,広島,ミヒャエル スキッベ,迫井 深也,2023-07-01,2023-07-08,2023-07-08,20230701002,20230708002,https://soccer-db.net/result/20230701002,https://soccer-db.net/result/20230708002,inferred_from_match_record,soccer-db,Soccer D.B.の試合別監督名から推定。実際の解任発表日とは異なる可能性あり。,ミヒャエル スキッベ,迫井 深也,2023-07-16,,,,True,False,8.0,,temporary_or_one_match_reversion,False,likely_exclude,短期代行・一時不在からの復帰に見えるため、解任ブースト検証では除外候補
J1,2023,広島,迫井 深也,ミヒャエル スキッベ,2023-07-08,2023-07-16,2023-07-16,20230708002,20230716001,https://soccer-db.net/result/20230708002,https://soccer-db.net/result/20230716001,inferred_from_match_record,soccer-db,Soccer D.B.の試合別監督名から推定。実際の解任発表日とは異なる可能性あり。,,,,ミヒャエル スキッベ,迫井 深也,2023-07-08,False,True,,8.0,temporary_or_one_match_reversion,False,likely_exclude,短期代行・一時不在からの復帰に見えるため、解任ブースト検証では除外候補
J1,2023,柏,ネルシーニョ,井原 正巳,2023-05-13,2023-05-20,2023-05-20,20230513003,20230520005,https://soccer-db.net/result/20230513003,https://soccer-db.net/result/20230520005,inferred_from_match_record,soccer-db,Soccer D.B.の試合別監督名から推定。実際の解任発表日とは異なる可能性あり。,,,,,,,False,False,,,true_change_candidate,True,likely_include,シーズン途中の監督交代候補。公式発表日で後ほど補完推奨
J1,2023,横浜FC,四方田 修平,ジョン ハッチンソン,2023-05-28,2023-06-03,2023-06-03,20230528003,20230603005,https://soccer-db.net/result/20230528003,https://soccer-db.net/result/20230603005,inferred_from_match_record,soccer-db,Soccer D.B.の試合別監督名から推定。実際の解任発表日とは異なる可能性あり。,四方田 修平,ジョン ハッチンソン,2023-06-11,,,,True,False,8.0,,temporary_or_one_match_reversion,False,likely_exclude,短期代行・一時不在からの復帰に見えるため、解任ブースト検証では除外候補
J1,2023,横浜FC,ジョン ハッチンソン,四方田 修平,2023-06-03,2023-06-11,2023-06-11,20230603005,20230611005,https://soccer-db.net/result/20230603005,https://soccer-db.net/result/20230611005,inferred_from_match_record,soccer-db,Soccer D.B.の試合別監督名から推定。実際の解任発表日とは異なる可能性あり。,,,,四方田 修平,ジョン ハッチンソン,2023-06-03,False,True,,8.0,temporary_or_one_match_reversion,False,likely_exclude,短期代行・一時不在からの復帰に見えるため、解任ブースト検証では除外候補
J1,2024,柏,井原 正巳,栗澤 僚一,2024-06-30,2024-07-06,2024-07-06,20240630007,20240706008,https://soccer-db.net/result/20240630007,https://soccer-db.net/result/20240706008,inferred_from_match_record,soccer-db,Soccer D.B.の試合別監督名から推定。実際の解任発表日とは異なる可能性あり。,井原 正巳,栗澤 僚一,2024-07-14,,,,True,False,8.0,,temporary_or_one_match_reversion,False,likely_exclude,短期代行・一時不在からの復帰に見えるため、解任ブースト検証では除外候補
J1,2024,柏,栗澤 僚一,井原 正巳,2024-07-06,2024-07-14,2024-07-14,20240706008,20240714002,https://soccer-db.net/result/20240706008,https://soccer-db.net/result/20240714002,inferred_from_match_record,soccer-db,Soccer D.B.の試合別監督名から推定。実際の解任発表日とは異なる可能性あり。,,,,井原 正巳,栗澤 僚一,2024-07-06,False,True,,8.0,temporary_or_one_match_reversion,False,likely_exclude,短期代行・一時不在からの復帰に見えるため、解任ブースト検証では除外候補
J1,2024,横浜FM,ハリー キューウェル,ジョン ハッチンソン,2024-07-14,2024-07-20,2024-07-20,20240714008,20240720001,https://soccer-db.net/result/20240714008,https://soccer-db.net/result/20240720001,inferred_from_match_record,soccer-db,Soccer D.B.の試合別監督名から推定。実際の解任発表日とは異なる可能性あり。,,,,,,,False,False,,,true_change_candidate,True,likely_include,シーズン途中の監督交代候補。公式発表日で後ほど補完推奨
J1,2024,浦和,ペアマティアス ヘグモ,池田 伸康,2024-08-17,2024-08-31,2024-08-31,20240817001,20240831001,https://soccer-db.net/result/20240817001,https://soccer-db.net/result/20240831001,inferred_from_match_record,soccer-db,Soccer D.B.の試合別監督名から推定。実際の解任発表日とは異なる可能性あり。,マチェイ スコルジャ,池田 伸康,2024-09-14,,,,False,False,14.0,,true_change_candidate,True,likely_include,シーズン途中の監督交代候補。公式発表日で後ほど補完推奨
