year,team,division,rating_end,matches,wins,draws,losses,goals_for,goals_against,goal_diff
1993,東京ヴェルディ,J1,1684.729,36,25,5,6,72,31,41
1993,清水エスパルス,J1,1601.722,36,20,7,9,54,34,20
1993,鹿島アントラーズ,J1,1579.896,36,22,2,12,72,43,29
1993,横浜Ｆ・マリノス,J1,1548.514,36,19,4,13,60,48,12
1993,サンフレッチェ広島,J1,1516.412,36,17,2,17,54,49,5
1993,横浜フリューゲルス,J1,1460.029,36,15,3,18,44,51,-7
1993,ガンバ大阪,J1,1447.794,36,15,4,17,51,65,-14
1993,名古屋グランパス,J1,1432.183,36,10,4,22,48,66,-18
1993,ジェフユナイテッド千葉,J1,1386.23,36,13,2,21,51,67,-16
1993,浦和レッズ,J1,1342.491,36,6,3,27,26,78,-52
1994,東京ヴェルディ,J1,1677.723,44,30,2,12,91,47,44
1994,鹿島アントラーズ,J1,1580.145,44,25,5,14,89,68,21
1994,横浜Ｆ・マリノス,J1,1557.439,44,20,2,22,73,61,12
1994,湘南ベルマーレ,J1,1556.542,44,22,1,21,75,80,-5
1994,清水エスパルス,J1,1550.737,44,27,2,15,69,56,13
1994,サンフレッチェ広島,J1,1519.584,44,25,6,13,71,57,14
1994,ジュビロ磐田,J1,1475.414,44,17,5,22,56,69,-13
1994,横浜フリューゲルス,J1,1463.846,44,21,1,22,67,60,7
1994,ガンバ大阪,J1,1447.717,44,14,6,24,66,82,-16
1994,ジェフユナイテッド千葉,J1,1425.525,44,18,1,25,69,85,-16
1994,名古屋グランパス,J1,1376.177,44,15,2,27,56,82,-26
1994,浦和レッズ,J1,1369.15,44,13,1,30,59,94,-35
1995,東京ヴェルディ,J1,1656.296,52,33,5,14,106,62,44
1995,名古屋グランパス,J1,1557.798,52,29,4,19,99,82,17
1995,ジュビロ磐田,J1,1535.866,52,28,1,23,88,77,11
1995,浦和レッズ,J1,1528.821,52,26,6,20,85,72,13
1995,ジェフユナイテッド千葉,J1,1517.969,52,25,7,20,97,91,6
1995,横浜Ｆ・マリノス,J1,1515.838,52,28,6,18,86,75,11
1995,柏レイソル,J1,1503.659,52,20,3,29,87,100,-13
1995,鹿島アントラーズ,J1,1495.468,52,25,4,23,82,79,3
1995,清水エスパルス,J1,1481.168,52,22,3,27,77,97,-20
1995,セレッソ大阪,J1,1477.111,52,22,6,24,79,83,-4
1995,サンフレッチェ広島,J1,1440.477,52,21,2,29,69,76,-7
1995,ガンバ大阪,J1,1438.998,52,18,3,31,87,107,-20
1995,横浜フリューゲルス,J1,1430.697,52,19,3,30,78,111,-33
1995,湘南ベルマーレ,J1,1419.833,52,20,3,29,94,102,-8
1996,東京ヴェルディ,J1,1649.309,30,19,0,11,68,42,26
1996,名古屋グランパス,J1,1607.582,30,20,1,9,63,39,24
1996,鹿島アントラーズ,J1,1602.7,30,19,5,6,61,34,27
1996,ジュビロ磐田,J1,1588.296,30,19,3,8,53,38,15
1996,浦和レッズ,J1,1570.862,30,17,4,9,51,31,20
1996,柏レイソル,J1,1554.744,30,20,0,10,67,52,15
1996,横浜フリューゲルス,J1,1539.061,30,20,1,9,58,44,14
1996,横浜Ｆ・マリノス,J1,1496.354,30,13,1,16,39,40,-1
1996,ジェフユナイテッド千葉,J1,1483.914,30,13,1,16,45,47,-2
1996,湘南ベルマーレ,J1,1453.455,30,12,0,18,47,58,-11
1996,清水エスパルス,J1,1438.798,30,12,1,17,50,60,-10
1996,セレッソ大阪,J1,1434.222,30,9,1,20,38,56,-18
1996,京都サンガF.C.,J1,1419.972,30,8,0,22,22,54,-32
1996,アビスパ福岡,J1,1401.712,30,9,2,19,42,64,-22
1996,ガンバ大阪,J1,1389.235,30,10,1,19,38,59,-21
1996,サンフレッチェ広島,J1,1369.785,30,9,1,20,36,60,-24
1997,ジュビロ磐田,J1,1679.963,32,23,0,9,72,35,37
1997,鹿島アントラーズ,J1,1646.659,32,23,1,8,78,38,40
1997,横浜Ｆ・マリノス,J1,1588.236,32,22,1,9,73,59,14
1997,ガンバ大阪,J1,1565.298,32,20,0,12,66,46,20
1997,柏レイソル,J1,1562.294,32,18,2,12,63,49,14
1997,清水エスパルス,J1,1558.743,32,19,0,13,52,40,12
1997,浦和レッズ,J1,1539.323,32,16,1,15,51,45,6
1997,横浜フリューゲルス,J1,1537.784,32,18,1,13,58,43,15
1997,名古屋グランパス,J1,1535.238,32,16,0,16,41,48,-7
1997,湘南ベルマーレ,J1,1503.163,32,17,2,13,55,52,3
1997,セレッソ大阪,J1,1482.548,32,14,3,15,53,56,-3
1997,東京ヴェルディ,J1,1443.958,32,10,2,20,38,65,-27
1997,ジェフユナイテッド千葉,J1,1409.28,32,11,1,20,43,66,-23
1997,サンフレッチェ広島,J1,1399.668,32,12,1,19,43,50,-7
1997,京都サンガF.C.,J1,1357.97,32,9,2,21,40,70,-30
1997,ヴィッセル神戸,J1,1357.266,32,9,0,23,43,78,-35
1997,アビスパ福岡,J1,1332.608,32,6,1,25,29,58,-29
1998,ジュビロ磐田,J1,1719.387,34,26,0,8,107,39,68
1998,鹿島アントラーズ,J1,1691.426,34,26,0,8,79,43,36
1998,清水エスパルス,J1,1629.002,34,24,2,8,71,35,36
1998,横浜Ｆ・マリノス,J1,1624.255,34,22,0,12,79,48,31
1998,名古屋グランパス,J1,1605.801,34,22,2,10,71,47,24
1998,浦和レッズ,J1,1597.721,34,20,2,12,62,40,22
1998,横浜フリューゲルス,J1,1546.234,34,17,2,15,70,64,6
1998,柏レイソル,J1,1505.456,34,15,4,15,56,61,-5
1998,サンフレッチェ広島,J1,1475.269,34,15,4,15,45,52,-7
