date,home,away,home_goals,away_goals,home_shots_official,away_shots_official,home_ck,away_ck,home_fk,away_fk,home_first_half_goals,away_first_half_goals,home_second_half_goals,away_second_half_goals,home_livetxt,away_livetxt,home_shots_livetxt,away_shots_livetxt,home_shots_on_target,away_shots_on_target,home_xg,away_xg,livetxt_found,url
2024-02-23,広島,浦和,2,0,24,14,9,5,8,16,1,0,1,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/022301/live/
2024-02-23,名古屋,鹿島,0,3,5,14,4,9,11,13,0,1,0,2,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/022302/live/
2024-02-24,磐田,神戸,0,2,6,10,1,8,11,18,0,1,0,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/022402/live/
2024-02-24,福岡,札幌,0,0,7,7,2,2,10,13,0,0,0,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/022403/live/
2024-02-24,鳥栖,新潟,1,2,11,13,5,6,9,10,1,1,0,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/022404/live/
2024-02-24,町田,G大阪,1,1,10,9,4,2,12,13,1,0,0,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/022405/live/
2024-02-24,湘南,川崎F,1,2,7,8,3,1,13,24,1,1,0,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/022406/live/
2024-02-24,C大阪,FC東京,2,2,12,7,7,4,32,14,1,1,1,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/022407/live/
2024-02-25,柏,京都,1,1,9,11,5,5,17,16,0,0,1,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/022501/live/
2024-02-25,東京V,横浜FM,1,2,13,5,6,5,17,17,1,0,0,2,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/022502/live/
2024-03-01,川崎F,磐田,4,5,15,9,7,1,11,15,1,3,3,2,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/030101/live/
2024-03-01,横浜FM,福岡,0,1,17,5,8,1,18,7,0,0,0,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/030102/live/
2024-03-02,神戸,柏,0,1,9,8,3,4,13,14,0,0,0,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/030201/live/
2024-03-02,名古屋,町田,0,1,6,8,1,6,23,14,0,1,0,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/030202/live/
2024-03-02,京都,湘南,1,2,12,12,7,8,12,11,1,1,0,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/030203/live/
2024-03-02,鳥栖,札幌,4,0,11,8,5,5,13,14,1,0,3,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/030204/live/
2024-03-02,鹿島,C大阪,1,1,5,10,7,4,9,21,0,0,1,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/030205/live/
2024-03-02,FC東京,広島,1,1,6,12,4,5,18,12,0,0,1,1,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/030206/live/
2024-03-02,G大阪,新潟,1,0,10,3,6,2,10,17,0,0,1,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/030207/live/
2024-03-03,浦和,東京V,1,1,6,5,9,6,9,12,0,1,1,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/030308/live/
2024-03-09,町田,鹿島,1,0,9,7,4,4,13,20,1,0,0,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/030901/live/
2024-03-09,新潟,名古屋,1,0,11,7,5,6,10,9,0,0,1,0,,,,,,,,,False,https://www.jleague.jp/match/j1/2024/030903/live/
