date,home,away,home_goals,away_goals,home_shots_official,away_shots_official,home_ck,away_ck,home_fk,away_fk,home_first_half_goals,away_first_half_goals,home_second_half_goals,away_second_half_goals,home_livetxt,away_livetxt,home_shots_livetxt,away_shots_livetxt,home_shots_on_target,away_shots_on_target,home_xg,away_xg,livetxt_found,url,source_file
2025-02-14,G大阪,C大阪,2,5,16,11,6,3,7,6,1,1,1,4,G大阪,C大阪,16,12,5,7,1.43,1.33,True,https://www.jleague.jp/match/j1/2025/021401/live/,j1_2025_match_stats.csv
2025-02-15,横浜FM,新潟,1,1,4,14,3,3,14,15,0,1,1,0,横浜FM,新潟,5,15,2,5,1.22,1.35,True,https://www.jleague.jp/match/j1/2025/021501/live/,j1_2025_match_stats.csv
2025-02-15,横浜FC,FC東京,0,1,10,5,5,1,11,13,0,0,0,1,横浜FC,FC東京,14,7,5,1,0.85,0.59,True,https://www.jleague.jp/match/j1/2025/021502/live/,j1_2025_match_stats.csv
2025-02-15,神戸,浦和,0,0,5,16,3,9,17,11,0,0,0,0,神戸,浦和,7,18,1,4,1.78,1.17,True,https://www.jleague.jp/match/j1/2025/021503/live/,j1_2025_match_stats.csv
2025-02-15,岡山,京都,2,0,9,11,4,11,8,15,2,0,0,0,岡山,京都,9,18,3,5,0.98,1.2,True,https://www.jleague.jp/match/j1/2025/021504/live/,j1_2025_match_stats.csv
2025-02-15,福岡,柏,0,1,6,11,2,6,12,12,0,0,0,1,福岡,柏,9,13,3,5,0.56,1.37,True,https://www.jleague.jp/match/j1/2025/021505/live/,j1_2025_match_stats.csv
2025-02-15,川崎F,名古屋,4,0,16,7,6,5,19,8,0,0,4,0,川崎F,名古屋,18,8,8,0,2.37,0.38,True,https://www.jleague.jp/match/j1/2025/021506/live/,j1_2025_match_stats.csv
2025-02-15,湘南,鹿島,1,0,13,7,9,10,9,18,0,0,1,0,湘南,鹿島,14,10,6,6,1.5,0.76,True,https://www.jleague.jp/match/j1/2025/021507/live/,j1_2025_match_stats.csv
2025-02-16,東京V,清水,0,1,3,4,6,5,12,12,0,1,0,0,東京V,清水,6,8,2,2,0.83,0.53,True,https://www.jleague.jp/match/j1/2025/021601/live/,j1_2025_match_stats.csv
2025-02-16,町田,広島,1,2,5,10,3,7,11,23,1,0,0,2,町田,広島,8,14,1,5,0.65,0.98,True,https://www.jleague.jp/match/j1/2025/021602/live/,j1_2025_match_stats.csv
2025-02-22,柏,川崎F,1,1,8,5,7,4,11,11,0,0,1,1,柏,川崎F,10,8,3,2,0.72,0.91,True,https://www.jleague.jp/match/j1/2025/022201/live/,j1_2025_match_stats.csv
2025-02-22,横浜FC,岡山,1,0,7,7,4,7,14,10,0,0,1,0,横浜FC,岡山,9,9,4,1,1.35,0.81,True,https://www.jleague.jp/match/j1/2025/022202/live/,j1_2025_match_stats.csv
2025-02-22,清水,新潟,2,0,10,6,7,6,11,10,1,0,1,0,清水,新潟,13,6,3,4,1.43,0.37,True,https://www.jleague.jp/match/j1/2025/022203/live/,j1_2025_match_stats.csv
2025-02-22,名古屋,神戸,2,2,7,10,3,6,10,13,0,0,2,2,名古屋,神戸,9,13,5,7,1.49,1.58,True,https://www.jleague.jp/match/j1/2025/022204/live/,j1_2025_match_stats.csv
2025-02-22,京都,浦和,1,1,12,9,6,3,15,16,0,0,1,1,京都,浦和,13,11,7,5,1.31,1.01,True,https://www.jleague.jp/match/j1/2025/022205/live/,j1_2025_match_stats.csv
2025-02-22,鹿島,東京V,4,0,12,5,6,2,11,11,3,0,1,0,鹿島,東京V,15,5,9,2,2.03,0.5,True,https://www.jleague.jp/match/j1/2025/022206/live/,j1_2025_match_stats.csv
2025-02-22,FC東京,町田,0,1,7,5,5,4,12,15,0,0,0,1,FC東京,町田,9,8,1,1,0.94,1.06,True,https://www.jleague.jp/match/j1/2025/022207/live/,j1_2025_match_stats.csv
2025-02-22,G大阪,福岡,2,1,5,12,3,8,17,14,1,0,1,1,G大阪,福岡,7,15,2,5,0.71,1.22,True,https://www.jleague.jp/match/j1/2025/022208/live/,j1_2025_match_stats.csv
2025-02-22,C大阪,湘南,1,2,9,11,7,7,12,8,0,1,1,1,C大阪,湘南,13,14,4,4,1.34,1.88,True,https://www.jleague.jp/match/j1/2025/022209/live/,j1_2025_match_stats.csv
2025-02-23,広島,横浜FM,1,0,6,6,3,1,16,20,0,0,1,0,広島,横浜FM,7,7,3,1,1.27,0.87,True,https://www.jleague.jp/match/j1/2025/022303/live/,j1_2025_match_stats.csv
2025-02-26,鹿島,新潟,2,1,10,7,5,3,13,5,1,1,1,0,鹿島,新潟,12,12,3,5,0.97,1.36,True,https://www.jleague.jp/match/j1/2025/022603/live/,j1_2025_match_stats.csv
2025-02-26,柏,C大阪,2,1,6,9,4,5,10,12,0,1,2,0,柏,C大阪,12,11,4,3,1.21,1.16,True,https://www.jleague.jp/match/j1/2025/022604/live/,j1_2025_match_stats.csv
2025-02-26,FC東京,名古屋,3,1,11,9,3,2,13,12,1,0,2,1,FC東京,名古屋,13,12,7,7,1.87,1.53,True,https://www.jleague.jp/match/j1/2025/022605/live/,j1_2025_match_stats.csv
2025-02-26,町田,東京V,0,1,9,5,5,1,17,12,0,1,0,0,町田,東京V,10,6,3,4,0.76,0.81,True,https://www.jleague.jp/match/j1/2025/022606/live/,j1_2025_match_stats.csv
2025-02-26,横浜FM,横浜FC,0,0,11,5,2,4,11,7,0,0,0,0,横浜FM,横浜FC,13,6,2,2,1.25,0.85,True,https://www.jleague.jp/match/j1/2025/022607/live/,j1_2025_match_stats.csv
2025-02-26,湘南,浦和,2,1,11,4,10,4,4,10,1,0,1,1,湘南,浦和,16,8,6,3,3.02,0.57,True,https://www.jleague.jp/match/j1/2025/022608/live/,j1_2025_match_stats.csv
2025-02-26,清水,広島,1,1,10,7,5,6,7,12,1,0,0,1,清水,広島,15,13,1,2,1.39,0.69,True,https://www.jleague.jp/match/j1/2025/022609/live/,j1_2025_match_stats.csv
2025-02-26,神戸,京都,1,1,15,5,9,0,22,17,0,1,1,0,神戸,京都,16,5,5,4,1.47,0.33,True,https://www.jleague.jp/match/j1/2025/022610/live/,j1_2025_match_stats.csv
2025-02-26,岡山,G大阪,2,0,10,5,3,3,6,9,1,0,1,0,岡山,G大阪,14,6,4,0,1.65,0.38,True,https://www.jleague.jp/match/j1/2025/022611/live/,j1_2025_match_stats.csv
2025-02-26,福岡,川崎F,1,2,10,6,2,7,15,8,1,1,0,1,福岡,川崎F,12,9,4,6,0.99,0.9,True,https://www.jleague.jp/match/j1/2025/022612/live/,j1_2025_match_stats.csv
2025-03-01,横浜FM,湘南,1,1,8,8,3,6,18,9,1,0,0,1,横浜FM,湘南,9,8,3,6,0.47,0.86,True,https://www.jleague.jp/match/j1/2025/030101/live/,j1_2025_match_stats.csv
2025-03-01,鹿島,FC東京,2,0,13,10,7,5,18,16,0,0,2,0,鹿島,FC東京,14,12,9,2,1.83,0.96,True,https://www.jleague.jp/match/j1/2025/030102/live/,j1_2025_match_stats.csv
2025-03-01,川崎F,京都,0,1,10,5,6,7,20,17,0,0,0,1,川崎F,京都,14,9,3,3,1.18,1.01,True,https://www.jleague.jp/match/j1/2025/030103/live/,j1_2025_match_stats.csv
2025-03-01,神戸,福岡,0,1,9,7,2,3,23,16,0,1,0,0,神戸,福岡,9,10,1,1,0.53,0.97,True,https://www.jleague.jp/match/j1/2025/030104/live/,j1_2025_match_stats.csv
2025-03-02,東京V,G大阪,0,1,7,14,6,14,7,8,0,0,0,1,東京V,G大阪,12,19,4,4,0.81,1.57,True,https://www.jleague.jp/match/j1/2025/030201/live/,j1_2025_match_stats.csv
