year,date,home,away,home_goal,away_goal,home_pk,away_pk,has_pk,pk_winner,normal_home_result,normal_away_result,official_home_result,official_away_result,home_raw,away_raw,parser,source_url
1999,1999-03-14,ベガルタ仙台,モンテディオ山形,2,3,,,False,,L,W,L,W,ベガルタ仙台,モンテディオ山形,text_regex,https://soccer-db.net/competition/results/1002/1999
1999,1999-03-14,ヴァンフォーレ甲府,大宮アルディージャ,1,2,,,False,,L,W,L,W,ヴァンフォーレ甲府,大宮アルディージャ,text_regex,https://soccer-db.net/competition/results/1002/1999
1999,1999-03-14,大分トリニータ,北海道コンサドーレ札幌,1,0,,,False,,W,L,W,L,大分トリニータ,北海道コンサドーレ札幌,text_regex,https://soccer-db.net/competition/results/1002/1999
1999,1999-03-14,川崎フロンターレ,アルビレックス新潟,0,1,,,False,,L,W,L,W,川崎フロンターレ,アルビレックス新潟,text_regex,https://soccer-db.net/competition/results/1002/1999
1999,1999-03-14,ＦＣ東京,サガン鳥栖,2,0,,,False,,W,L,W,L,ＦＣ東京,サガン鳥栖,text_regex,https://soccer-db.net/competition/results/1002/1999
1999,1999-03-20,アルビレックス新潟,モンテディオ山形,1,0,,,False,,W,L,W,L,アルビレックス新潟,モンテディオ山形,text_regex,https://soccer-db.net/competition/results/1002/1999
1999,1999-03-21,サガン鳥栖,ヴァンフォーレ甲府,4,0,,,False,,W,L,W,L,サガン鳥栖,ヴァンフォーレ甲府,text_regex,https://soccer-db.net/competition/results/1002/1999
1999,1999-03-21,ベガルタ仙台,ＦＣ東京,1,2,,,False,,L,W,L,W,ベガルタ仙台,ＦＣ東京,text_regex,https://soccer-db.net/competition/results/1002/1999
1999,1999-03-21,大分トリニータ,川崎フロンターレ,1,0,,,False,,W,L,W,L,大分トリニータ,川崎フロンターレ,text_regex,https://soccer-db.net/competition/results/1002/1999
1999,1999-03-21,大宮アルディージャ,北海道コンサドーレ札幌,1,2,,,False,,L,W,L,W,大宮アルディージャ,北海道コンサドーレ札幌,text_regex,https://soccer-db.net/competition/results/1002/1999
1999,1999-03-28,モンテディオ山形,川崎フロンターレ,2,1,,,False,,W,L,W,L,モンテディオ山形,川崎フロンターレ,text_regex,https://soccer-db.net/competition/results/1002/1999
1999,1999-03-28,ヴァンフォーレ甲府,ベガルタ仙台,1,2,,,False,,L,W,L,W,ヴァンフォーレ甲府,ベガルタ仙台,text_regex,https://soccer-db.net/competition/results/1002/1999
1999,1999-03-28,北海道コンサドーレ札幌,サガン鳥栖,2,3,,,False,,L,W,L,W,北海道コンサドーレ札幌,サガン鳥栖,text_regex,https://soccer-db.net/competition/results/1002/1999
1999,1999-03-28,大宮アルディージャ,大分トリニータ,5,0,,,False,,W,L,W,L,大宮アルディージャ,大分トリニータ,text_regex,https://soccer-db.net/competition/results/1002/1999
1999,1999-03-28,ＦＣ東京,アルビレックス新潟,0,1,,,False,,L,W,L,W,ＦＣ東京,アルビレックス新潟,text_regex,https://soccer-db.net/competition/results/1002/1999
1999,1999-04-04,アルビレックス新潟,ヴァンフォーレ甲府,6,1,,,False,,W,L,W,L,アルビレックス新潟,ヴァンフォーレ甲府,text_regex,https://soccer-db.net/competition/results/1002/1999
1999,1999-04-04,サガン鳥栖,大宮アルディージャ,4,2,,,False,,W,L,W,L,サガン鳥栖,大宮アルディージャ,text_regex,https://soccer-db.net/competition/results/1002/1999
1999,1999-04-04,ベガルタ仙台,北海道コンサドーレ札幌,1,1,,,False,,D,D,D,D,ベガルタ仙台,北海道コンサドーレ札幌,text_regex,https://soccer-db.net/competition/results/1002/1999
1999,1999-04-04,大分トリニータ,モンテディオ山形,2,1,,,False,,W,L,W,L,大分トリニータ,モンテディオ山形,text_regex,https://soccer-db.net/competition/results/1002/1999
1999,1999-04-04,川崎フロンターレ,ＦＣ東京,2,2,,,False,,D,D,D,D,川崎フロンターレ,ＦＣ東京,text_regex,https://soccer-db.net/competition/results/1002/1999
1999,1999-04-10,ヴァンフォーレ甲府,川崎フロンターレ,1,2,,,False,,L,W,L,W,ヴァンフォーレ甲府,川崎フロンターレ,text_regex,https://soccer-db.net/competition/results/1002/1999
1999,1999-04-11,サガン鳥栖,大分トリニータ,1,3,,,False,,L,W,L,W,サガン鳥栖,大分トリニータ,text_regex,https://soccer-db.net/competition/results/1002/1999
1999,1999-04-11,北海道コンサドーレ札幌,アルビレックス新潟,0,1,,,False,,L,W,L,W,北海道コンサドーレ札幌,アルビレックス新潟,text_regex,https://soccer-db.net/competition/results/1002/1999
1999,1999-04-11,大宮アルディージャ,ベガルタ仙台,4,0,,,False,,W,L,W,L,大宮アルディージャ,ベガルタ仙台,text_regex,https://soccer-db.net/competition/results/1002/1999
1999,1999-04-11,ＦＣ東京,モンテディオ山形,0,1,,,False,,L,W,L,W,ＦＣ東京,モンテディオ山形,text_regex,https://soccer-db.net/competition/results/1002/1999
1999,1999-04-17,大分トリニータ,ＦＣ東京,1,1,,,False,,D,D,D,D,大分トリニータ,ＦＣ東京,text_regex,https://soccer-db.net/competition/results/1002/1999
1999,1999-04-18,アルビレックス新潟,大宮アルディージャ,3,1,,,False,,W,L,W,L,アルビレックス新潟,大宮アルディージャ,text_regex,https://soccer-db.net/competition/results/1002/1999
1999,1999-04-18,サガン鳥栖,ベガルタ仙台,0,1,,,False,,L,W,L,W,サガン鳥栖,ベガルタ仙台,text_regex,https://soccer-db.net/competition/results/1002/1999
1999,1999-04-18,モンテディオ山形,ヴァンフォーレ甲府,4,1,,,False,,W,L,W,L,モンテディオ山形,ヴァンフォーレ甲府,text_regex,https://soccer-db.net/competition/results/1002/1999
1999,1999-04-18,川崎フロンターレ,北海道コンサドーレ札幌,2,0,,,False,,W,L,W,L,川崎フロンターレ,北海道コンサドーレ札幌,text_regex,https://soccer-db.net/competition/results/1002/1999
1999,1999-04-23,ヴァンフォーレ甲府,ＦＣ東京,0,3,,,False,,L,W,L,W,ヴァンフォーレ甲府,ＦＣ東京,text_regex,https://soccer-db.net/competition/results/1002/1999
1999,1999-04-25,サガン鳥栖,アルビレックス新潟,0,1,,,False,,L,W,L,W,サガン鳥栖,アルビレックス新潟,text_regex,https://soccer-db.net/competition/results/1002/1999
1999,1999-04-25,ベガルタ仙台,大分トリニータ,1,3,,,False,,L,W,L,W,ベガルタ仙台,大分トリニータ,text_regex,https://soccer-db.net/competition/results/1002/1999
1999,1999-04-25,北海道コンサドーレ札幌,モンテディオ山形,3,2,,,False,,W,L,W,L,北海道コンサドーレ札幌,モンテディオ山形,text_regex,https://soccer-db.net/competition/results/1002/1999
1999,1999-04-25,大宮アルディージャ,川崎フロンターレ,0,2,,,False,,L,W,L,W,大宮アルディージャ,川崎フロンターレ,text_regex,https://soccer-db.net/competition/results/1002/1999
1999,1999-04-28,アルビレックス新潟,ベガルタ仙台,0,3,,,False,,L,W,L,W,アルビレックス新潟,ベガルタ仙台,text_regex,https://soccer-db.net/competition/results/1002/1999
1999,1999-04-29,モンテディオ山形,大宮アルディージャ,1,2,,,False,,L,W,L,W,モンテディオ山形,大宮アルディージャ,text_regex,https://soccer-db.net/competition/results/1002/1999
