season,window,window_start,window_end,n_matches,n_events,mean_expected_points,mean_actual_points,mean_points_residual,sum_expected_points,sum_actual_points,sum_points_residual,points_residual_ci_low,points_residual_ci_high,mean_lambda_for,mean_actual_goals_for,mean_goal_for_residual,mean_lambda_against,mean_actual_goals_against,mean_goals_against_improvement,goals_against_improvement_ci_low,goals_against_improvement_ci_high,mean_goal_diff_residual,mean_team_win_prob,mean_team_draw_prob,mean_team_loss_prob,home_match_rate,mean_team_games_in_train_at_cutoff
2023,after_1_3,1,3,6,2,0.9416199025717781,1.3333333333333333,0.3917134307615553,5.649719415430669,8.0,2.3502805845693318,-0.4717415658419909,1.2551684273651014,1.0038455283482757,1.3333333333333333,0.32948780498505775,1.803301680060029,1.3333333333333333,0.4699683467266957,-1.03034888765779,1.9702855811111815,0.7994561517117535,0.23348635604408033,0.24116083443953704,0.5253528095163827,0.6666666666666666,15.0
2023,after_1_5,1,5,10,2,0.9038755000704682,1.2,0.2961244999295318,9.038755000704683,12.0,2.9612449992953183,-0.4293730656722522,1.0216220655313157,0.9044900004700691,1.3,0.39550999952993077,1.6775622995426318,1.5,0.1775622995426315,-0.9836504014608497,1.3387750005461128,0.5730722990725623,0.21238844398729623,0.2667101681085795,0.5209013879041244,0.6,15.0
2023,after_1_10,1,10,20,2,0.9995229243467556,1.05,0.05047707565324442,19.99045848693511,21.0,1.0095415130648884,-0.44606772632930247,0.5470218776357914,0.9942687636703024,1.15,0.15573123632969743,1.6009803805442906,1.4,0.20098038054429082,-0.4509779043109995,0.8529386653995811,0.3567116168739883,0.2434233510844867,0.2692528710932955,0.4873237778222178,0.55,15.0
2023,after_4_6,4,6,6,2,0.990542666794617,1.1666666666666667,0.17612399987204977,5.943256000767702,7.0,1.0567439992322987,-0.8693168727552251,1.2215648724993247,0.9656606308032568,1.1666666666666667,0.2010060358634099,1.462426470594519,1.3333333333333333,0.12909313726118576,-1.2728473549547008,1.5310336294770721,0.33009917312459564,0.23038609997158374,0.29938436687986575,0.47022953314855065,0.5,15.0
2023,after_7_10,7,10,8,2,1.0496853838420925,0.75,-0.2996853838420927,8.39748307073674,6.0,-2.3974830707367416,-1.0523049554785513,0.45293418779436595,1.008542289812107,1.0,-0.008542289812107084,1.553154838369816,1.5,0.05315483836981599,-0.7094621121781026,0.8157717889177345,0.04461254855770891,0.2606540356994687,0.26772327674368657,0.4716226875568447,0.5,15.0
2024,after_1_3,1,3,12,4,1.2988875488452136,1.3333333333333333,0.03444578448811982,15.586650586142563,16.0,0.41334941385743784,-0.7423385863653658,0.8112301553416055,1.3434934577150444,1.3333333333333333,-0.010160124381710878,1.428440123050214,1.5,-0.07155987694978579,-0.8725935702475057,0.7294738163479341,-0.08172000133149662,0.3399528153631575,0.27902910275574094,0.3810180818811017,0.5,26.5
2024,after_1_5,1,5,20,4,1.267232707015041,1.3,0.032767292984958965,25.344654140300822,26.0,0.6553458596991792,-0.5743220792866368,0.6398566652565547,1.3581959518042548,1.4,0.04180404819574505,1.506572835297876,1.3,0.20657283529787596,-0.33433230661279423,0.7474779772085461,0.24837688349362114,0.32944623841419896,0.27889399177244417,0.391659769813357,0.45,26.5
2024,after_1_10,1,10,36,4,1.2668813059399295,1.1944444444444444,-0.07243686149548484,45.60772701383746,43.0,-2.6077270138374544,-0.5197393054694368,0.3748655824784672,1.3498506794940401,1.2222222222222223,-0.12762845727181768,1.4955827075229962,1.3333333333333333,0.16224937418966281,-0.25734326360196935,0.5818420119812949,0.03462091691784516,0.32878631794726054,0.28052235209814746,0.390691329954592,0.5,25.88888888888889
2024,after_4_6,4,6,12,4,1.2527903635911108,1.0833333333333333,-0.1694570302577775,15.03348436309333,13.0,-2.03348436309333,-1.021171959629563,0.682257899114008,1.3000657914010463,1.4166666666666667,0.11660087526562035,1.4716141769691407,1.25,0.22161417696914096,-0.2938039519901682,0.7370323059284501,0.33821505223476134,0.32123911630014473,0.28907301469067664,0.3896878690091787,0.4166666666666667,26.5
2024,after_7_10,7,10,12,3,1.2489660053834635,1.1666666666666667,-0.08229933871679689,14.987592064601563,14.0,-0.9875920646015626,-0.8397465811405488,0.6751479037069551,1.405992789366029,0.9166666666666666,-0.48932612269936254,1.5866938225496332,1.25,0.3366938225496332,-0.5248702650282956,1.198257910127562,-0.15263230014972926,0.32516702217847954,0.27346493884802486,0.4013680389734955,0.5833333333333334,24.666666666666668
2025,after_1_3,1,3,12,4,0.9339799213391021,0.3333333333333333,-0.6006465880057688,11.207759056069225,4.0,-7.207759056069225,-1.1807614659863859,-0.02053171002515164,0.8263247993592012,0.6666666666666666,-0.15965813269253445,1.4682687166393829,2.0833333333333335,-0.6150646166939506,-1.1894076865733845,-0.040721546814516785,-0.7747227493864851,0.21272216648903242,0.2958134218720047,0.4914644116389629,0.4166666666666667,18.5
2025,after_1_5,1,5,20,4,0.9922724452662275,0.6,-0.39227244526622734,19.84544890532455,12.0,-7.845448905324547,-0.8656161058466461,0.08107121531419137,0.8431371869985822,0.75,-0.0931371869985824,1.373779467790102,1.8,-0.42622053220989803,-0.8830322052271307,0.03059114080733466,-0.5193577192084805,0.2292260833005059,0.30459419536470966,0.4661797213347845,0.5,18.5
2025,after_1_10,1,10,38,4,1.0181544295068143,0.8157894736842105,-0.2023649558226035,38.68986832125894,31.0,-7.689868321258933,-0.5708166476492227,0.16608673600401563,0.890133165967961,0.7894736842105263,-0.1006594817574347,1.3819153568113123,1.394736842105263,-0.012821485293950908,-0.3368686600300196,0.3112256894421178,-0.11348096705138556,0.23810570943752693,0.3038373011942334,0.4580569893682398,0.5,18.894736842105264
