event_id,season,team,old_manager,new_manager,effective_change_date,window,window_start,window_end,n_matches,n_events,mean_expected_points,mean_actual_points,mean_points_residual,sum_expected_points,sum_actual_points,sum_points_residual,points_residual_ci_low,points_residual_ci_high,mean_lambda_for,mean_actual_goals_for,mean_goal_for_residual,mean_lambda_against,mean_actual_goals_against,mean_goals_against_improvement,goals_against_improvement_ci_low,goals_against_improvement_ci_high,mean_goal_diff_residual,mean_team_win_prob,mean_team_draw_prob,mean_team_loss_prob,home_match_rate,mean_team_games_in_train_at_cutoff
PSEUDO_0001,2005,FC東京,no_change_control,no_change_control,2005-05-01,after_1_3,1,3,3,1,1.1733708372987657,0.3333333333333333,-0.8400375039654323,3.520112511896297,1.0,-2.520112511896297,-1.2511920699302839,-0.42888293800058086,1.0553780467010976,1.3333333333333333,0.2779552866322357,1.2937764195070198,2.3333333333333335,-1.0395569138263137,-1.9074718729192917,-0.17164195473333566,-0.7616016271940779,0.2839692725977228,0.3214630195055973,0.39456770789668,0.6666666666666666,8.0
PSEUDO_0001,2005,FC東京,no_change_control,no_change_control,2005-05-01,after_1_5,1,5,5,1,1.221866643242408,0.4,-0.821866643242408,6.10933321621204,2.0,-4.10933321621204,-1.0579937007005238,-0.5857395857842922,1.2713812308642147,1.4,0.12861876913578513,1.5017115674444323,2.2,-0.6982884325555677,-1.5300011295905451,0.1334242644794097,-0.5696696634197825,0.3073903980257485,0.2996954491651622,0.3929141528090893,0.6,8.0
PSEUDO_0001,2005,FC東京,no_change_control,no_change_control,2005-05-01,after_1_10,1,10,10,1,1.328447781934257,1.1,-0.2284477819342568,13.28447781934257,11.0,-2.284477819342568,-0.8718029257178959,0.4149073618493823,1.3053497913955208,1.3,-0.005349791395520764,1.3559352581774957,1.2,0.15593525817749568,-0.5997107207553426,0.9115812371103339,0.1505854667819749,0.34083207422580075,0.3059515592568544,0.3532163665173449,0.6,8.0
PSEUDO_0001,2005,FC東京,no_change_control,no_change_control,2005-05-01,after_4_6,4,6,3,1,1.2476059338168823,0.6666666666666666,-0.5809392671502157,3.742817801450647,2.0,-1.742817801450647,-1.0175274187744865,-0.14435111552594487,1.4901451177026546,1.0,-0.4901451177026545,1.7417127555036103,1.3333333333333333,0.408379422170277,-1.1253192573308244,1.9420781016713784,-0.08176569553237749,0.3238091014703481,0.27617862940583804,0.40001226912381393,0.3333333333333333,8.0
PSEUDO_0001,2005,FC東京,no_change_control,no_change_control,2005-05-01,after_7_10,7,10,4,1,1.505386876498906,2.0,0.4946131235010938,6.021547505995624,8.0,1.9784524940043753,-0.838211174829133,1.8274374218313205,1.354232105185988,1.5,0.1457678948140122,1.1132212641857666,0.25,0.8632212641857665,0.0536834447254132,1.67275908364612,1.0089891589997788,0.3962464050134488,0.31664766145855955,0.2871059335279918,0.75,8.0
PSEUDO_0002,2005,大宮,no_change_control,no_change_control,2005-09-24,after_1_3,1,3,3,1,1.1183133215872632,0.0,-1.1183133215872632,3.3549399647617895,0.0,-3.3549399647617895,-1.2705578782679878,-0.9660687649065385,1.092735606598871,0.3333333333333333,-0.7594022732655374,1.4437040186210233,1.3333333333333333,0.11037068528769008,-0.43465130965900195,0.6553926802343821,-0.6490315879778473,0.26939489281860624,0.3101286431314443,0.4204764640499495,0.3333333333333333,24.0
PSEUDO_0002,2005,大宮,no_change_control,no_change_control,2005-09-24,after_1_5,1,5,5,1,1.1049300197986232,0.6,-0.5049300197986231,5.524650098993115,3.0,-2.5246500989931153,-1.4985862706677184,0.4887262310704723,1.0995340931418758,0.8,-0.29953409314187557,1.4924633036546564,1.6,-0.1075366963453435,-0.6501210890215425,0.43504769633085555,-0.4070707894872191,0.268744636474869,0.2986961103740159,0.432559253151115,0.4,24.0
PSEUDO_0002,2005,大宮,no_change_control,no_change_control,2005-09-24,after_1_10,1,10,10,1,1.1842772405688269,1.3,0.11572275943117291,11.842772405688269,13.0,1.1572275943117292,-0.7474823825579076,0.9789279014202534,1.1978702776719223,1.1,-0.09787027767192238,1.465021318282519,1.3,0.16502131828251884,-0.40867379705602325,0.738716433621061,0.06715104061059643,0.2951935173524222,0.2986966885115603,0.4061097941360174,0.5,24.0
PSEUDO_0002,2005,大宮,no_change_control,no_change_control,2005-09-24,after_4_6,4,6,3,1,1.1167171199149104,2.0,0.8832828800850896,3.350151359744731,6.0,2.649848640255269,-0.6343455549978623,2.4009113151680417,1.1068118943864185,2.0,0.8931881056135818,1.4888728119931416,2.0,-0.5111271880068585,-1.2031371416195975,0.18088276560588046,0.38206091760672317,0.27342790606491163,0.29643340172017546,0.4301386922149129,0.6666666666666666,24.0
PSEUDO_0002,2005,大宮,no_change_control,no_change_control,2005-09-24,after_7_10,7,10,4,1,1.2844202702954377,1.75,0.46557972970456246,5.137681081181751,7.0,1.8623189188182498,-1.031130111642241,1.9622895710513661,1.3450150684408393,1.0,-0.3450150684408392,1.4631206727456734,0.75,0.7131206727456734,-0.40663488525625957,1.8328762307476063,0.36810560430483424,0.3308666942184172,0.2918201876401859,0.37731311814139684,0.5,24.0
PSEUDO_0003,2005,柏,no_change_control,no_change_control,2005-07-06,after_1_3,1,3,3,1,0.7388156177776087,1.3333333333333333,0.5945177155557247,2.216446853332826,4.0,1.7835531466671741,-1.5276043285856624,2.7166397596971117,0.783717137328884,1.6666666666666667,0.8829495293377828,1.7891444906468568,1.0,0.7891444906468569,-1.0400735046948792,2.6183624859885932,1.6720940199846395,0.1596687728018353,0.2598092993721027,0.580521927826062,0.6666666666666666,13.0
PSEUDO_0003,2005,柏,no_change_control,no_change_control,2005-07-06,after_1_5,1,5,5,1,1.0478232318092884,1.6,0.5521767681907118,5.239116159046442,8.0,2.760883840953559,-0.7109760743249668,1.8153296107063905,0.9488165795822143,1.8,0.8511834204177857,1.4505631315523928,0.6,0.8505631315523928,-0.15757622837127927,1.8587024914760648,1.7017465519701787,0.25331255072867553,0.28788557962326167,0.45880186964806297,0.4,13.0
PSEUDO_0003,2005,柏,no_change_control,no_change_control,2005-07-06,after_1_10,1,10,10,1,0.9903396429052143,1.3,0.3096603570947857,9.903396429052142,13.0,3.096603570947857,-0.5396338256971797,1.158954539886751,0.858947388266827,1.6,0.7410526117331729,1.4255246375888826,1.3,0.12552463758888255,-0.7553277128574639,1.0063769880352291,0.8665772493220555,0.23224656701938634,0.2935999418470552,0.47415349113355865,0.5,13.0
