event_id,competition,season,team,old_manager,new_manager,bridge_manager,last_old_manager_match_date,first_new_manager_match_date,effective_change_date,first_stable_new_manager_match_date,matches_played_at_change,remaining_matches_at_change_including_first_new,old_manager_matches_before_change,new_manager_matches_until_next_change_or_season_end,team_season_matches,next_manager,next_change_date,event_kind_auto,temporary_returns_removed_in_team_season,is_boost_candidate_auto,source,pseudo_last5_points,pseudo_last5_gf,pseudo_last5_ga,pseudo_last5_gd,timing_bucket,original_pseudo_event_id
PSEUDO_0001,J1,2005,FC東京,no_change_control,no_change_control,,2005-04-28,2005-05-01,2005-05-01,2005-05-01,8,26,8,26,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,3,4,10,-6,00_08,PSEUDO_2005_FC東京_08
PSEUDO_0002,J1,2005,大宮,no_change_control,no_change_control,,2005-09-17,2005-09-24,2005-09-24,2005-09-24,24,10,24,10,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,3,5,11,-6,17_24,PSEUDO_2005_大宮_24
PSEUDO_0003,J1,2005,柏,no_change_control,no_change_control,,2005-07-02,2005-07-06,2005-07-06,2005-07-06,13,21,13,21,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,2,1,7,-6,09_16,PSEUDO_2005_柏_13
PSEUDO_0004,J1,2005,横浜FM,no_change_control,no_change_control,,2005-08-27,2005-09-03,2005-09-03,2005-09-03,21,13,21,13,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,1,3,12,-9,17_24,PSEUDO_2005_横浜FM_21
PSEUDO_0005,J1,2005,清水,no_change_control,no_change_control,,2005-08-24,2005-08-28,2005-08-28,2005-08-28,20,14,20,14,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,2,5,8,-3,17_24,PSEUDO_2005_清水_20
PSEUDO_0006,J1,2006,C大阪,no_change_control,no_change_control,,2006-08-19,2006-08-23,2006-08-23,2006-08-23,18,16,18,16,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,3,4,11,-7,17_24,PSEUDO_2006_C大阪_18
PSEUDO_0007,J1,2006,京都,no_change_control,no_change_control,,2006-03-26,2006-04-02,2006-04-02,2006-04-02,5,29,5,29,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,2,7,16,-9,00_08,PSEUDO_2006_京都_05
PSEUDO_0008,J1,2006,京都,no_change_control,no_change_control,,2006-07-29,2006-08-12,2006-08-12,2006-08-12,16,18,16,18,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,3,5,9,-4,09_16,PSEUDO_2006_京都_16
PSEUDO_0009,J1,2006,名古屋,no_change_control,no_change_control,,2006-07-22,2006-07-26,2006-07-26,2006-07-26,14,20,14,20,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,2,7,13,-6,09_16,PSEUDO_2006_名古屋_14
PSEUDO_0010,J1,2006,横浜FM,no_change_control,no_change_control,,2006-04-23,2006-04-29,2006-04-29,2006-04-29,9,25,9,25,34,,,pseudo_no_manager_change_low_form,0,,pseudo_low_form_no_manager_change,1,6,11,-5,09_16,PSEUDO_2006_横浜FM_09
