event_id,season,team,old_manager,new_manager,effective_change_date,matches_played_at_change,sum_points_residual_after_1_3,sum_points_residual_after_1_5,mean_goal_for_residual_after_1_3,mean_goals_against_improvement_after_1_3,team_elo_at_cutoff,opponent_elo_mean_after_1_3,last5_points,last5_gd,pre_context_auto
J1C_2013_0046,2013,大宮,ベルデニック,小倉 勉,2013-08-17,20,-4.919135938178345,-4.824545424512551,-0.3646752960818615,-1.1080978853825405,1536.6976130196304,1500.2708250971393,0,-8,both_attack_defense_bad
J1C_2019_0085,2019,神戸,フアン マヌエル リージョ,吉田 孝行,2019-04-20,7,-4.565302926288228,-7.036620906362932,-1.462846699155511,0.1583392616210668,1476.0091728204611,1549.4919928035254,7,0,defense_collapse
J1C_2008_0022,2008,磐田,内山 篤,ハンス オフト,2008-09-13,23,-4.084378040964466,-1.4667658416630114,-0.925842852327965,-1.441729449183182,1478.607005194804,1505.1327108585608,3,-3,attack_stagnation
J1C_2021_0098,2021,徳島,甲本 偉嗣,ダニエル ポヤトス,2021-04-17,10,-3.7014156919464303,-3.593065389770949,-0.6069438167867207,-1.6148591700694428,1503.2997335277114,1512.282527735886,12,5,mixed_or_unclear
J1C_2021_0097,2021,広島,城福 浩,沢田 謙太郎,2021-11-03,33,-3.687908182493884,-3.758287339355516,-0.8421984363897886,-0.7971043949731641,1521.9603446168262,1477.833482899259,9,3,mixed_or_unclear
J1C_2018_0075,2018,神戸,吉田 孝行,フアン マヌエル リージョ,2018-09-23,26,-3.359692944340454,-2.6039962348663344,-1.1712693338373124,-2.0179511268511585,1494.0116433997864,1505.0315558712336,4,-3,mixed_or_unclear
J1C_2025_0124,2025,横浜FM,パトリック キスノーボ,大島 秀夫,2025-06-21,19,-3.356610284947438,-0.1207123487138197,-0.78320766757945,-0.6768079211189191,1452.1992575321458,1467.0400718948424,6,0,low_base_strength
J1C_2013_0047,2013,磐田,森下 仁志,長澤 徹,2013-05-06,9,-3.22489805372357,-3.713036278879746,-0.516345713481595,-0.5599763763390077,1461.9451944404134,1510.9170950692198,3,-1,low_base_strength
J1C_2022_0111,2022,神戸,三浦 淳寛,ミゲル アンヘル ロティーナ,2022-04-02,7,-3.190214731290799,-3.183577659290852,-0.4457114923934394,-0.6938558703756996,1556.7914673746534,1490.2229090678418,3,-4,attack_stagnation
J1C_2019_0082,2019,湘南,高橋 健二,浮嶋 敏,2019-10-19,28,-2.7868010297291264,-0.0679755086495137,-0.864656204040508,-0.3915050449126799,1421.9229681825043,1544.9681366013756,2,-12,both_attack_defense_bad
J1C_2010_0029,2010,京都,加藤 久,秋田 豊,2010-07-28,14,-2.651006270549519,-3.7211129702004433,-1.0351934986128468,-1.1930558123862431,1407.930966660831,1532.932347947187,2,-4,defense_collapse
J1C_2025_0123,2025,横浜FM,スティーブ ホーランド,パトリック キスノーボ,2025-04-20,11,-2.627709898176763,-4.934608038833787,-0.5005996200177228,-0.4532387289229433,1466.0842562159603,1490.4428196857914,2,-4,defense_collapse
J1C_2005_0004,2005,神戸,松永 英機,エメルソン レオン,2005-04-23,6,-2.526380731129981,-3.064767472105042,-0.2741859950778092,-0.3793747795951869,1452.8709784260118,1517.5353926680225,2,-8,both_attack_defense_bad
J1C_2021_0103,2021,湘南,浮嶋 敏,山口 智,2021-09-11,27,-2.461462011395489,-2.9919769477968288,-0.3023812700017622,-0.2382013935945931,1435.8138993996918,1542.5923754071498,5,2,low_base_strength
J1C_2014_0054,2014,鳥栖,ユン ジョンファン,吉田 恵,2014-08-11,18,-2.458603231141783,-5.235401643637195,-0.6626874197349002,-0.4417346557346298,1569.9532485788463,1521.1518127902339,10,2,attack_stagnation
J1C_2019_0078,2019,名古屋,風間 八宏,マッシモ フィッカデンティ,2019-09-28,26,-2.4278740222045503,-1.8725971798861012,-0.6639483984923542,-0.2164598861570859,1463.424532528023,1514.9228157233902,4,-3,defense_collapse
J1C_2012_0040,2012,川崎F,相馬 直樹,風間 八宏,2012-04-14,5,-2.369692060677726,1.849449176837268,0.6847463714232777,-2.4051705025710457,1481.462547920565,1524.8651346890526,7,0,attack_stagnation
J1C_2021_0096,2021,名古屋,ブルーノ コンカ,マッシモ フィッカデンティ,2021-05-15,16,-2.348727060550183,-4.056522672530699,-0.6797376219768738,0.2043760569056843,1592.6939075012965,1415.2581173006765,6,-4,defense_collapse
J1C_2008_0020,2008,横浜FM,桑原 隆,木村 浩吉,2008-07-16,16,-2.320581242073511,-1.3309737891374964,-0.6625219481853589,0.0441497986656194,1515.1860101967534,1560.8977443436154,1,-4,attack_stagnation
J1C_2025_0121,2025,新潟,樹森 大介,入江 徹,2025-06-25,20,-2.207223704304191,-3.8303563155647007,-0.1981592351557536,-1.1118656036524948,1421.514493397411,1548.3652601349502,6,-3,defense_collapse
J1C_2019_0081,2019,湘南,チョウ キジェ,高橋 健二,2019-08-17,22,-2.179768065873726,-4.459401694973448,0.0147857643791233,-0.3863416621741487,1470.6227307067377,1467.4158994052352,12,3,defense_collapse
J1C_2007_0016,2007,横浜FC,高木 琢也,ジュリオ レアル,2007-08-29,22,-2.119351540302698,-3.0745900349369792,-0.601498248994582,0.4324827581823487,1378.6339208881718,1492.8370938691198,1,-11,both_attack_defense_bad
J1C_2024_0119,2024,鳥栖,川井 健太,木谷 公亮,2024-08-11,25,-2.1118547664957448,-3.8738675726987815,0.1845947028566009,-0.9881548521537804,1415.9335008518126,1508.40033516304,6,-6,defense_collapse
J1C_2017_0064,2017,大宮,伊藤 彰,石井 正忠,2017-11-18,31,-2.1076611664222837,-2.1076611664222837,-1.041618876942995,-0.8894551715306144,1443.7002055470184,1520.230950930166,3,-2,attack_stagnation
J1C_2015_0055,2015,清水,大榎 克己,田坂 和昭,2015-08-12,22,-2.100484691006502,-2.0271230868196093,-0.8707268517389884,0.804198718652791,1405.9434241984266,1526.3902454978627,5,-5,defense_collapse
J1C_2014_0049,2014,C大阪,ランコ ポポビッチ,マルコ ペッツァイオリ,2014-07-15,13,-1.9530905575686264,-4.5690860463640846,0.268911306648937,-0.5040989089940356,1561.886887931071,1540.544590358343,5,-1,mixed_or_unclear
J1C_2021_0095,2021,名古屋,マッシモ フィッカデンティ,ブルーノ コンカ,2021-04-29,12,-1.910708374146278,-3.969540839083705,-0.1050309000783694,-1.640055391919817,1619.2728612222568,1673.4323469341077,10,5,mixed_or_unclear
J1C_2006_0006,2006,C大阪,小林 伸二,塚田 雄二,2006-04-22,8,-1.8978767877096157,-3.327005353091599,-0.8820314837751114,0.8381366035570896,1509.369608757135,1471.2121956651479,4,-3,defense_collapse
J1C_2005_0005,2005,神戸,エメルソン レオン,パベル ジェハーク,2005-07-02,12,-1.8212569443857085,-2.9019317350850784,0.1439117708171035,-0.8931760829710523,1442.2806270135052,1483.8311028689966,4,-3,attack_stagnation
J1C_2010_0028,2010,FC東京,城福 浩,大熊 清,2010-09-25,23,-1.813430076498112,0.2702212198839953,0.4480686779443706,-0.4663000951140096,1477.8404971301466,1433.2611183216002,1,-7,both_attack_defense_bad
