summary_axis,timing_bucket,new_manager_type,n_events,mean_uplift,median_uplift,mean_raw_residual,uplift_rate,strong_uplift_rate,strong_downlift_rate,reason_category,pre_context_auto,uplift_rule_level
timing_bucket × new_manager_type,09_16,returning,4,3.990457858592315,3.07907565739169,4.2817292011867325,0.75,0.5,0.0,,,
timing_bucket × new_manager_type,00_08,caretaker,2,3.6489663326010584,3.6489663326010584,4.979238662522433,1.0,1.0,0.0,,,
timing_bucket × new_manager_type,17_24,external,12,1.2309562758962822,1.4080882949136864,1.3861175897991085,0.75,0.5,0.16666666666666666,,,
timing_bucket × new_manager_type,00_08,internal,4,1.1031390326081136,0.8489798713707775,2.433411362529488,0.75,0.25,0.25,,,
timing_bucket × new_manager_type,17_24,returning,6,0.8435310397689096,-0.33504309111252867,0.9986923536717359,0.5,0.3333333333333333,0.3333333333333333,,,
timing_bucket × new_manager_type,25_plus,internal,15,0.4933030575075478,-0.474812605219906,0.9001401540779399,0.4,0.3333333333333333,0.26666666666666666,,,
timing_bucket × new_manager_type,09_16,internal,7,0.25776539369894597,-1.6222451317319138,0.5490367362933631,0.42857142857142855,0.42857142857142855,0.5714285714285714,,,
timing_bucket × new_manager_type,17_24,internal,21,0.16772666453375576,-0.4158371131522661,0.32288797843658185,0.42857142857142855,0.42857142857142855,0.42857142857142855,,,
timing_bucket × new_manager_type,09_16,external,14,-0.3694621747087789,0.4474135419365585,-0.07819083211436169,0.5714285714285714,0.2857142857142857,0.35714285714285715,,,
timing_bucket × new_manager_type,25_plus,caretaker,3,-0.8688259220724541,-1.403589813537527,-0.4619888255020623,0.3333333333333333,0.3333333333333333,0.6666666666666666,,,
timing_bucket × new_manager_type,17_24,caretaker,3,-0.9906403496362163,-3.706750450954475,-0.8354790357333902,0.3333333333333333,0.3333333333333333,0.6666666666666666,,,
timing_bucket × new_manager_type,25_plus,returning,2,-1.5932817138663302,-1.5932817138663302,-1.1864446172959384,0.0,0.0,0.5,,,
timing_bucket × new_manager_type,09_16,caretaker,4,-1.619830671503021,-2.5673991184493397,-1.328559328908604,0.25,0.25,0.75,,,
timing_bucket × new_manager_type,00_08,external,4,-2.1890847993372313,-2.380833027526296,-0.8588124694158566,0.25,0.0,0.5,,,
timing_bucket × new_manager_type,25_plus,external,3,-2.6015886236286314,-2.5144982629926758,-2.1947515270582394,0.0,0.0,1.0,,,
timing_bucket × new_manager_type,00_08,returning,2,-6.51208545964864,-6.51208545964864,-5.181813129727265,0.0,0.0,1.0,,,
timing_bucket × reason_category,09_16,,1,5.568740930895334,5.568740930895334,5.860012273489751,1.0,1.0,0.0,title_pressure,,
timing_bucket × reason_category,00_08,,1,5.5401333136206095,5.5401333136206095,6.870405643541984,1.0,1.0,0.0,title_pressure,,
timing_bucket × reason_category,09_16,,1,3.8813549323147982,3.8813549323147982,4.172626274909216,1.0,1.0,0.0,scheduled_transition,,
timing_bucket × reason_category,17_24,,2,2.6657897013413816,2.6657897013413816,2.8209510152442077,0.5,0.5,0.5,title_pressure,,
timing_bucket × reason_category,17_24,,1,1.9897624111122332,1.9897624111122332,2.1449237250150595,1.0,1.0,0.0,scheduled_transition,,
timing_bucket × reason_category,17_24,,8,0.7054154132122858,1.257590987739787,0.8605767271151119,0.625,0.625,0.375,poor_form,,
timing_bucket × reason_category,00_08,,7,0.6415950455457737,0.8202334381793228,1.9718673754671485,0.7142857142857143,0.2857142857142857,0.14285714285714285,poor_form,,
timing_bucket × reason_category,25_plus,,14,0.5870241392225991,-0.5270368895350848,0.993861235792991,0.35714285714285715,0.35714285714285715,0.2857142857142857,relegation_battle,,
timing_bucket × reason_category,17_24,,25,0.5248436389235198,0.0726900007360805,0.6800049528263459,0.52,0.36,0.32,relegation_battle,,
timing_bucket × reason_category,09_16,,15,0.3267221950534413,0.45534073922984597,0.6179935376478586,0.6,0.4,0.4,relegation_battle,,
timing_bucket × reason_category,09_16,,8,0.004153381626139319,-0.1984263991755647,0.2954247242205565,0.375,0.25,0.375,poor_form,,
timing_bucket × reason_category,17_24,,6,-0.9504592728187018,-2.4452183357464605,-0.7952979589158757,0.3333333333333333,0.3333333333333333,0.5,club_disruption,,
timing_bucket × reason_category,09_16,,3,-1.1364674649118245,-1.1304906154245158,-0.845196122317407,0.3333333333333333,0.0,0.6666666666666666,club_disruption,,
timing_bucket × reason_category,25_plus,,7,-1.5615647449546362,-2.279434276456493,-1.1547276483842446,0.2857142857142857,0.14285714285714285,0.7142857142857143,poor_form,,
timing_bucket × reason_category,25_plus,,2,-1.742822968328316,-1.742822968328316,-1.335985871757924,0.0,0.0,0.5,club_disruption,,
timing_bucket × reason_category,00_08,,2,-3.6696934575709683,-3.6696934575709683,-2.3394211276495938,0.0,0.0,1.0,relegation_battle,,
timing_bucket × reason_category,09_16,,1,-4.8603573889585014,-4.8603573889585014,-4.5690860463640846,0.0,0.0,1.0,tactical_mismatch,,
timing_bucket × reason_category,00_08,,2,-6.380966519155361,-6.380966519155361,-5.050694189233987,0.0,0.0,1.0,club_disruption,,
new_manager_type × reason_category,,internal,4,4.110113411799677,5.554437122257972,4.593079986880038,0.75,0.75,0.25,title_pressure,,
new_manager_type × reason_category,,caretaker,1,3.8813549323147982,3.8813549323147982,4.172626274909216,1.0,1.0,0.0,scheduled_transition,,
new_manager_type × reason_category,,returning,10,2.077104101761052,0.38708769034187296,2.298266002538112,0.6,0.4,0.2,relegation_battle,,
new_manager_type × reason_category,,external,1,1.9897624111122332,1.9897624111122332,2.1449237250150595,1.0,1.0,0.0,scheduled_transition,,
new_manager_type × reason_category,,caretaker,6,0.5619767292843848,0.18112791807817308,1.192733642749249,0.5,0.5,0.5,poor_form,,
new_manager_type × reason_category,,internal,14,0.39847383658851726,0.8872434796420694,0.8046051123566696,0.6428571428571429,0.42857142857142855,0.35714285714285715,poor_form,,
new_manager_type × reason_category,,external,20,0.3857573428472392,0.4474135419365585,0.659896506726428,0.65,0.4,0.3,relegation_battle,,
