event_id,competition,season,team,old_manager,new_manager,bridge_manager,last_old_manager_match_date,first_new_manager_match_date,effective_change_date,first_stable_new_manager_match_date,matches_played_at_change,remaining_matches_at_change_including_first_new,old_manager_matches_before_change,new_manager_matches_until_next_change_or_season_end,team_season_matches,next_manager,next_change_date,event_kind_auto,temporary_returns_removed_in_team_season,is_boost_candidate_auto,source
J1C_2005_0001,J1,2005,名古屋,ネルシーニョ,中田 仁司,,2005-09-17,2005-09-24,2005-09-24,2005-09-24,24,10,24,10,34,,,direct_change,0,True,soccer-db_inferred_collapsed_from_match_record
J1C_2005_0002,J1,2005,大分,ファンボ グァン,ペリクレス シャムスカ,アーリ スカンズ,2005-08-27,2005-09-03,2005-09-03,2005-09-10,21,13,21,13,34,,,bridge_to_stable_manager,0,True,soccer-db_inferred_collapsed_from_match_record
J1C_2005_0003,J1,2005,東京V,オズワルド アルディレス,バドン,石崎 信弘,2005-07-17,2005-07-23,2005-07-23,2005-08-21,17,17,17,17,34,,,bridge_to_stable_manager,0,True,soccer-db_inferred_collapsed_from_match_record
J1C_2005_0004,J1,2005,神戸,松永 英機,エメルソン レオン,パベル ジェハーク,2005-04-16,2005-04-23,2005-04-23,2005-05-01,6,28,6,6,34,パベル ジェハーク,2005-07-02,bridge_to_stable_manager,1,True,soccer-db_inferred_collapsed_from_match_record
J1C_2005_0005,J1,2005,神戸,エメルソン レオン,パベル ジェハーク,,2005-05-14,2005-07-02,2005-07-02,2005-07-02,12,22,4,22,34,,,direct_change,1,True,soccer-db_inferred_collapsed_from_match_record
J1C_2006_0006,J1,2006,C大阪,小林 伸二,塚田 雄二,,2006-04-15,2006-04-22,2006-04-22,2006-04-22,8,26,8,26,34,,,direct_change,0,True,soccer-db_inferred_collapsed_from_match_record
J1C_2006_0007,J1,2006,FC東京,アレッシャンドレ ガーロ,倉又 寿雄,,2006-08-12,2006-08-20,2006-08-20,2006-08-20,17,17,17,17,34,,,direct_change,0,True,soccer-db_inferred_collapsed_from_match_record
J1C_2006_0008,J1,2006,京都,柱谷 幸一,美濃部 直彦,,2006-09-30,2006-10-06,2006-10-06,2006-10-06,25,9,25,9,34,,,direct_change,0,True,soccer-db_inferred_collapsed_from_match_record
J1C_2006_0009,J1,2006,千葉,イビツァ オシム,アマル オシム,,2006-05-06,2006-07-19,2006-07-19,2006-07-19,12,22,12,22,34,,,direct_change,0,True,soccer-db_inferred_collapsed_from_match_record
J1C_2006_0010,J1,2006,広島,小野 剛,望月 一頼,,2006-04-16,2006-04-22,2006-04-22,2006-04-22,8,26,8,4,34,ミハイロ ペトロビッチ,2006-07-19,direct_change,0,True,soccer-db_inferred_collapsed_from_match_record
J1C_2006_0011,J1,2006,広島,望月 一頼,ミハイロ ペトロビッチ,,2006-05-06,2006-07-19,2006-07-19,2006-07-19,12,22,4,22,34,,,direct_change,0,True,soccer-db_inferred_collapsed_from_match_record
J1C_2006_0012,J1,2006,横浜FM,岡田 武史,水沼 貴史,,2006-08-23,2006-08-27,2006-08-27,2006-08-27,19,15,19,15,34,,,direct_change,0,True,soccer-db_inferred_collapsed_from_match_record
J1C_2006_0013,J1,2006,磐田,山本 昌邦,アジウソン,,2006-05-06,2006-07-12,2006-07-12,2006-07-12,11,23,11,23,34,,,direct_change,0,True,soccer-db_inferred_collapsed_from_match_record
J1C_2006_0014,J1,2006,福岡,松田 浩,川勝 良一,,2006-05-06,2006-07-19,2006-07-19,2006-07-19,12,22,12,22,34,,,direct_change,0,True,soccer-db_inferred_collapsed_from_match_record
J1C_2007_0015,J1,2007,大宮,ロバート ファーベーク,佐久間 悟,,2007-06-30,2007-08-11,2007-08-11,2007-08-11,18,16,18,16,34,,,direct_change,0,True,soccer-db_inferred_collapsed_from_match_record
J1C_2007_0016,J1,2007,横浜FC,高木 琢也,ジュリオ レアル,,2007-08-25,2007-08-29,2007-08-29,2007-08-29,22,12,22,12,34,,,direct_change,0,True,soccer-db_inferred_collapsed_from_match_record
J1C_2007_0017,J1,2007,磐田,アジウソン,内山 篤,,2007-09-01,2007-09-15,2007-09-15,2007-09-15,24,10,24,10,34,,,direct_change,0,True,soccer-db_inferred_collapsed_from_match_record
J1C_2008_0018,J1,2008,千葉,ヨジップ クゼ,アレックス ミラー,澤入 重雄,2008-05-06,2008-05-10,2008-05-10,2008-06-29,11,23,11,23,34,,,bridge_to_stable_manager,0,True,soccer-db_inferred_collapsed_from_match_record
