target_year,previous_year,prev_weight,prev_decay,elo_lambda_weight,compat_weight,current_decay,shrinkage,draw_factor,max_match_draw_prob_label,max_match_draw_prob,matchup_prior_n,matchup_time_decay,compat_factor_min,compat_factor_max,goal_adjust_name,goal_adjust_mode,goal_cap_for_strength,n_sim,n_teams,n_previous_matches,n_target_matches,n_train_matches,n_test_matches,mae,mean_prob_actual_position,sim_draw_rate,京都_actual_position,京都_avg_pred_position,京都_error,柏_actual_position,柏_avg_pred_position,柏_error,川崎F_actual_position,川崎F_avg_pred_position,川崎F_error,神戸_actual_position,神戸_avg_pred_position,神戸_error,横浜FM_actual_position,横浜FM_avg_pred_position,横浜FM_error,名古屋_actual_position,名古屋_avg_pred_position,名古屋_error,G大阪_actual_position,G大阪_avg_pred_position,G大阪_error,浦和_actual_position,浦和_avg_pred_position,浦和_error,prev_setting_name,町田_actual_position,町田_avg_pred_position,町田_error,清水_actual_position,清水_avg_pred_position,清水_error
2023,2022,0.2,0.995,0.2,0.2,1.0,1.0,1.2,cap033,0.33,30,0.97,0.95,1.05,cap4,cap,4,3000,18,306,306,153,153,2.033740740740741,0.16966666666666666,0.27668409586056647,13,14.706666666666667,1.706666666666667,17,16.155666666666665,0.8443333333333349,8,7.793666666666667,0.20633333333333326,1,2.544333333333333,1.544333333333333,2,1.556,0.44399999999999995,6,3.4876666666666667,2.5123333333333333,16,13.875666666666666,2.1243333333333343,4,4.3610000000000015,0.36100000000000154,prev020_decay0995,,,,,,
2024,2023,0.2,0.995,0.2,0.2,1.0,1.0,1.2,cap033,0.33,30,0.97,0.95,1.05,cap4,cap,4,3000,20,306,380,190,190,2.5804666666666667,0.09926666666666667,0.2872140350877193,14,18.692666666666668,4.692666666666668,17,15.291333333333334,1.708666666666666,8,12.466333333333335,4.466333333333335,1,3.712,2.712,9,7.944333333333335,1.0556666666666654,11,9.382333333333332,1.6176666666666684,4,4.686999999999999,0.6869999999999994,13,9.252666666666666,3.7473333333333336,prev020_decay0995,3.0,1.6073333333333333,1.3926666666666667,,,
2025,2024,0.2,0.995,0.2,0.2,1.0,1.0,1.2,cap033,0.33,30,0.97,0.95,1.05,cap4,cap,4,3000,20,380,380,190,190,2.2524666666666664,0.1508833333333333,0.30927894736842104,3,4.702999999999999,1.7029999999999994,2,5.429666666666666,3.429666666666666,8,4.730999999999999,3.269000000000001,5,5.341333333333335,0.3413333333333348,15,18.110000000000003,3.110000000000003,16,11.575333333333335,4.424666666666665,9,11.369666666666665,2.3696666666666655,7,6.081666666666666,0.9183333333333339,prev020_decay0995,6.0,10.126666666666665,4.126666666666665,14.0,9.907666666666666,4.092333333333334
2023,2022,0.2,0.995,0.2,0.2,0.995,1.0,1.2,cap033,0.33,30,0.97,0.95,1.05,cap4,cap,4,3000,18,306,306,153,153,2.0406666666666657,0.17083333333333334,0.27683006535947713,13,14.732333333333333,1.732333333333333,17,16.129,0.8709999999999987,8,7.76,0.2400000000000002,1,2.5629999999999997,1.5629999999999997,2,1.5606666666666666,0.43933333333333335,6,3.527,2.473,16,13.825999999999999,2.1740000000000013,4,4.4270000000000005,0.4270000000000005,prev020_decay0995,,,,,,
2024,2023,0.2,0.995,0.2,0.2,0.995,1.0,1.2,cap033,0.33,30,0.97,0.95,1.05,cap4,cap,4,3000,20,306,380,190,190,2.601066666666666,0.09493333333333333,0.28523157894736845,14,18.690666666666665,4.690666666666665,17,15.381333333333334,1.618666666666666,8,12.413000000000004,4.413000000000004,1,3.8346666666666667,2.8346666666666667,9,7.933,1.0670000000000002,11,9.38966666666667,1.6103333333333296,4,4.667333333333333,0.6673333333333327,13,9.272000000000002,3.727999999999998,prev020_decay0995,3.0,1.5666666666666669,1.4333333333333331,,,
2025,2024,0.2,0.995,0.2,0.2,0.995,1.0,1.2,cap033,0.33,30,0.97,0.95,1.05,cap4,cap,4,3000,20,380,380,190,190,2.2626666666666666,0.14965,0.309459649122807,3,4.669999999999999,1.669999999999999,2,5.519666666666665,3.519666666666665,8,4.723666666666667,3.2763333333333327,5,5.3583333333333325,0.3583333333333325,15,18.163666666666664,3.163666666666664,16,11.61,4.390000000000001,9,11.466333333333335,2.466333333333335,7,6.027,0.9729999999999999,prev020_decay0995,6.0,10.113333333333333,4.113333333333333,14.0,9.966000000000001,4.033999999999999
2023,2022,0.2,0.995,0.2,0.2,0.99,1.0,1.2,cap033,0.33,30,0.97,0.95,1.05,cap4,cap,4,3000,18,306,306,153,153,2.02925925925926,0.16996296296296298,0.2755925925925926,13,14.690000000000001,1.6900000000000013,17,16.150333333333332,0.8496666666666677,8,7.744,0.2560000000000002,1,2.5186666666666673,1.5186666666666673,2,1.5736666666666665,0.42633333333333345,6,3.502333333333333,2.497666666666667,16,13.842333333333332,2.1576666666666675,4,4.361000000000001,0.36100000000000065,prev020_decay0995,,,,,,
2024,2023,0.2,0.995,0.2,0.2,0.99,1.0,1.2,cap033,0.33,30,0.97,0.95,1.05,cap4,cap,4,3000,20,306,380,190,190,2.593566666666667,0.09626666666666665,0.2860157894736842,14,18.72533333333333,4.725333333333332,17,15.431333333333335,1.5686666666666653,8,12.340666666666667,4.340666666666667,1,3.8649999999999998,2.8649999999999998,9,7.994666666666667,1.0053333333333327,11,9.451666666666666,1.5483333333333338,4,4.635,0.6349999999999998,13,9.226666666666667,3.7733333333333334,prev020_decay0995,3.0,1.5656666666666665,1.4343333333333335,,,
2025,2024,0.2,0.995,0.2,0.2,0.99,1.0,1.2,cap033,0.33,30,0.97,0.95,1.05,cap4,cap,4,3000,20,380,380,190,190,2.266766666666667,0.15121666666666667,0.30984912280701754,3,4.6643333333333326,1.6643333333333326,2,5.468000000000001,3.468000000000001,8,4.68,3.3200000000000003,5,5.388333333333334,0.38833333333333364,15,18.118000000000002,3.118000000000002,16,11.479666666666667,4.520333333333333,9,11.489999999999998,2.4899999999999984,7,6.044,0.9560000000000004,prev020_decay0995,6.0,10.193666666666667,4.193666666666667,14.0,10.040999999999999,3.9590000000000014
2023,2022,0.2,0.995,0.2,0.2,0.985,1.0,1.2,cap033,0.33,30,0.97,0.95,1.05,cap4,cap,4,3000,18,306,306,153,153,2.0392962962962966,0.16905555555555557,0.2754640522875817,13,14.769666666666666,1.7696666666666658,17,16.12966666666667,0.8703333333333312,8,7.787333333333334,0.21266666666666634,1,2.5460000000000007,1.5460000000000007,2,1.5479999999999998,0.4520000000000002,6,3.5946666666666665,2.4053333333333335,16,13.83,2.17,4,4.3549999999999995,0.35499999999999954,prev020_decay0995,,,,,,
