target_year,previous_year,prev_weight,prev_decay,elo_lambda_weight,compat_weight,shrinkage,draw_factor,max_match_draw_prob_label,max_match_draw_prob,matchup_prior_n,matchup_time_decay,compat_factor_min,compat_factor_max,goal_adjust_name,goal_adjust_mode,goal_cap_for_strength,n_sim,n_teams,n_previous_matches,n_target_matches,n_train_matches,n_test_matches,mae,mean_prob_actual_position,sim_draw_rate,京都_actual_position,京都_avg_pred_position,京都_error,柏_actual_position,柏_avg_pred_position,柏_error,川崎F_actual_position,川崎F_avg_pred_position,川崎F_error,神戸_actual_position,神戸_avg_pred_position,神戸_error,横浜FM_actual_position,横浜FM_avg_pred_position,横浜FM_error,名古屋_actual_position,名古屋_avg_pred_position,名古屋_error,G大阪_actual_position,G大阪_avg_pred_position,G大阪_error,浦和_actual_position,浦和_avg_pred_position,浦和_error,prev_setting_name,町田_actual_position,町田_avg_pred_position,町田_error,清水_actual_position,清水_avg_pred_position,清水_error
2023,2022,0.2,0.995,0.2,0.2,1.0,1.2,cap033,0.33,30,0.97,0.95,1.05,cap4,cap,4,3000,18,306,306,153,153,2.0328518518518512,0.17296296296296296,0.2771525054466231,13,14.652000000000001,1.652000000000001,17,16.148666666666667,0.8513333333333328,8,7.764,0.23599999999999977,1,2.5176666666666665,1.5176666666666665,2,1.5593333333333337,0.4406666666666663,6,3.549666666666666,2.450333333333334,16,13.932333333333334,2.067666666666666,4,4.4046666666666665,0.4046666666666665,prev020_decay0995,,,,,,
2024,2023,0.2,0.995,0.2,0.2,1.0,1.2,cap033,0.33,30,0.97,0.95,1.05,cap4,cap,4,3000,20,306,380,190,190,2.5934333333333335,0.09426666666666667,0.28590175438596493,14,18.688000000000002,4.688000000000002,17,15.306666666666665,1.6933333333333351,8,12.433666666666667,4.433666666666667,1,3.765666666666667,2.765666666666667,9,7.985333333333335,1.014666666666665,11,9.457333333333333,1.5426666666666673,4,4.730666666666668,0.7306666666666679,13,9.139666666666669,3.8603333333333314,prev020_decay0995,3.0,1.5863333333333334,1.4136666666666666,,,
2025,2024,0.2,0.995,0.2,0.2,1.0,1.2,cap033,0.33,30,0.97,0.95,1.05,cap4,cap,4,3000,20,380,380,190,190,2.2590999999999997,0.15005000000000002,0.3108,3,4.657666666666666,1.6576666666666657,2,5.389999999999999,3.389999999999999,8,4.644,3.356,5,5.394999999999999,0.3949999999999987,15,18.177,3.1769999999999996,16,11.611666666666665,4.388333333333335,9,11.454,2.4540000000000006,7,6.0876666666666654,0.9123333333333346,prev020_decay0995,6.0,10.168333333333331,4.168333333333331,14.0,9.927666666666665,4.072333333333335
2023,2022,0.2,0.995,0.2,0.2,0.95,1.2,cap033,0.33,30,0.97,0.95,1.05,cap4,cap,4,3000,18,306,306,153,153,2.021074074074074,0.16766666666666669,0.27742701525054464,13,14.645666666666667,1.645666666666667,17,16.16,0.8399999999999999,8,7.794333333333332,0.20566666666666844,1,2.5509999999999993,1.5509999999999993,2,1.5919999999999999,0.40800000000000014,6,3.611666666666667,2.388333333333333,16,13.834666666666669,2.165333333333331,4,4.349666666666667,0.3496666666666668,prev020_decay0995,,,,,,
2024,2023,0.2,0.995,0.2,0.2,0.95,1.2,cap033,0.33,30,0.97,0.95,1.05,cap4,cap,4,3000,20,306,380,190,190,2.5826000000000002,0.09613333333333333,0.2876736842105263,14,18.698666666666668,4.698666666666668,17,15.278,1.7219999999999995,8,12.467,4.4670000000000005,1,3.7819999999999996,2.7819999999999996,9,8.01233333333333,0.9876666666666694,11,9.454000000000002,1.5459999999999976,4,4.688333333333334,0.6883333333333344,13,9.205666666666666,3.7943333333333342,prev020_decay0995,3.0,1.614666666666667,1.385333333333333,,,
2025,2024,0.2,0.995,0.2,0.2,0.95,1.2,cap033,0.33,30,0.97,0.95,1.05,cap4,cap,4,3000,20,380,380,190,190,2.2652333333333337,0.14993333333333334,0.3122877192982456,3,4.675,1.6749999999999998,2,5.429999999999999,3.429999999999999,8,4.691333333333333,3.3086666666666673,5,5.313666666666665,0.31366666666666543,15,18.180333333333333,3.1803333333333335,16,11.586333333333336,4.413666666666664,9,11.590666666666667,2.5906666666666673,7,6.142666666666668,0.8573333333333322,prev020_decay0995,6.0,10.153333333333332,4.153333333333332,14.0,9.987333333333332,4.012666666666668
2023,2022,0.2,0.995,0.2,0.2,0.9,1.2,cap033,0.33,30,0.97,0.95,1.05,cap4,cap,4,3000,18,306,306,153,153,2.0404444444444447,0.1662777777777778,0.2807930283224401,13,14.598666666666666,1.5986666666666665,17,16.094333333333335,0.9056666666666651,8,7.796333333333334,0.203666666666666,1,2.5850000000000004,1.5850000000000004,2,1.6013333333333333,0.3986666666666667,6,3.5446666666666666,2.4553333333333334,16,13.799333333333333,2.2006666666666668,4,4.403666666666666,0.4036666666666662,prev020_decay0995,,,,,,
2024,2023,0.2,0.995,0.2,0.2,0.9,1.2,cap033,0.33,30,0.97,0.95,1.05,cap4,cap,4,3000,20,306,380,190,190,2.569033333333334,0.09606666666666668,0.28896491228070176,14,18.656666666666666,4.656666666666666,17,15.201666666666666,1.7983333333333338,8,12.462666666666667,4.462666666666667,1,3.846333333333333,2.846333333333333,9,8.111999999999998,0.8880000000000017,11,9.394666666666666,1.6053333333333342,4,4.624,0.6239999999999997,13,9.307333333333334,3.692666666666666,prev020_decay0995,3.0,1.6836666666666666,1.3163333333333334,,,
2025,2024,0.2,0.995,0.2,0.2,0.9,1.2,cap033,0.33,30,0.97,0.95,1.05,cap4,cap,4,3000,20,380,380,190,190,2.2628999999999997,0.14686666666666665,0.3131543859649123,3,4.684999999999999,1.6849999999999987,2,5.345999999999998,3.3459999999999983,8,4.7603333333333335,3.2396666666666665,5,5.3726666666666665,0.3726666666666665,15,18.111333333333334,3.1113333333333344,16,11.669,4.3309999999999995,9,11.536999999999999,2.536999999999999,7,6.106,0.8940000000000001,prev020_decay0995,6.0,10.238999999999999,4.238999999999999,14.0,10.126666666666669,3.8733333333333313
2023,2022,0.2,0.995,0.2,0.2,0.85,1.2,cap033,0.33,30,0.97,0.95,1.05,cap4,cap,4,3000,18,306,306,153,153,2.032962962962964,0.16492592592592592,0.28208061002178647,13,14.572333333333333,1.572333333333333,17,16.096,0.9039999999999999,8,7.767666666666666,0.23233333333333395,1,2.6086666666666667,1.6086666666666667,2,1.6140000000000003,0.3859999999999997,6,3.6073333333333326,2.3926666666666674,16,13.822666666666665,2.177333333333335,4,4.489,0.4889999999999999,prev020_decay0995,,,,,,
2024,2023,0.2,0.995,0.2,0.2,0.85,1.2,cap033,0.33,30,0.97,0.95,1.05,cap4,cap,4,3000,20,306,380,190,190,2.5755000000000003,0.0967,0.2914824561403509,14,18.625,4.625,17,15.210666666666667,1.7893333333333334,8,12.509333333333334,4.509333333333334,1,3.928,2.928,9,8.102666666666668,0.8973333333333322,11,9.466333333333331,1.5336666666666687,4,4.565333333333333,0.5653333333333332,13,9.309333333333335,3.690666666666665,prev020_decay0995,3.0,1.6766666666666663,1.3233333333333337,,,
2025,2024,0.2,0.995,0.2,0.2,0.85,1.2,cap033,0.33,30,0.97,0.95,1.05,cap4,cap,4,3000,20,380,380,190,190,2.293733333333333,0.14451666666666668,0.3147964912280702,3,4.751666666666665,1.7516666666666652,2,5.398333333333332,3.3983333333333317,8,4.814999999999999,3.1850000000000014,5,5.446666666666665,0.44666666666666544,15,18.114666666666665,3.1146666666666647,16,11.67333333333333,4.32666666666667,9,11.625333333333334,2.6253333333333337,7,6.150666666666666,0.8493333333333339,prev020_decay0995,6.0,10.18,4.18,14.0,10.127333333333334,3.8726666666666656
2023,2022,0.2,0.995,0.2,0.2,0.8,1.2,cap033,0.33,30,0.97,0.95,1.05,cap4,cap,4,3000,18,306,306,153,153,2.050111111111111,0.16059259259259262,0.2858562091503268,13,14.582666666666666,1.5826666666666664,17,16.054000000000002,0.945999999999998,8,7.7556666666666665,0.2443333333333335,1,2.6576666666666666,1.6576666666666666,2,1.626666666666667,0.3733333333333331,6,3.4689999999999994,2.5310000000000006,16,13.879,2.1210000000000004,4,4.519666666666667,0.5196666666666667,prev020_decay0995,,,,,,
