config_id,prev_stats_weight,attack_goals,attack_xg,attack_sot,attack_shots,defense_ga,defense_xga,defense_sota,defense_sa,mean_mae,std_mae,max_mae,mae_2025
1,0.0,0.5,0.2,0.2,0.1,0.5,0.2,0.2,0.1,2.2081,0.0,2.2081,2.2081
2,0.05,0.5,0.2,0.2,0.1,0.5,0.2,0.2,0.1,2.2873000000000006,0.0,2.2873000000000006,2.2873000000000006
3,0.05,0.5,0.2,0.2,0.1,0.4,0.3,0.2,0.1,2.2939999999999996,0.0,2.2939999999999996,2.2939999999999996
7,0.05,0.4,0.3,0.2,0.1,0.5,0.2,0.2,0.1,2.294100000000001,0.0,2.294100000000001,2.294100000000001
17,0.05,0.35,0.35,0.2,0.1,0.5,0.2,0.2,0.1,2.2966,0.0,2.2966,2.2966
12,0.05,0.4,0.2,0.3,0.1,0.5,0.2,0.2,0.1,2.2971999999999997,0.0,2.2971999999999997,2.2971999999999997
16,0.05,0.4,0.2,0.3,0.1,0.3,0.4,0.2,0.1,2.2972,0.0,2.2972,2.2972
25,0.05,0.3,0.4,0.2,0.1,0.35,0.35,0.2,0.1,2.2973999999999997,0.0,2.2973999999999997,2.2973999999999997
18,0.05,0.35,0.35,0.2,0.1,0.4,0.3,0.2,0.1,2.2976,0.0,2.2976,2.2976
23,0.05,0.3,0.4,0.2,0.1,0.4,0.3,0.2,0.1,2.2984000000000004,0.0,2.2984000000000004,2.2984000000000004
20,0.05,0.35,0.35,0.2,0.1,0.35,0.35,0.2,0.1,2.2985000000000007,0.0,2.2985000000000007,2.2985000000000007
24,0.05,0.3,0.4,0.2,0.1,0.4,0.2,0.3,0.1,2.2990000000000004,0.0,2.2990000000000004,2.2990000000000004
8,0.05,0.4,0.3,0.2,0.1,0.4,0.3,0.2,0.1,2.2993,0.0,2.2993,2.2993
13,0.05,0.4,0.2,0.3,0.1,0.4,0.3,0.2,0.1,2.2996000000000003,0.0,2.2996000000000003,2.2996000000000003
10,0.05,0.4,0.3,0.2,0.1,0.35,0.35,0.2,0.1,2.300100000000001,0.0,2.300100000000001,2.300100000000001
4,0.05,0.5,0.2,0.2,0.1,0.4,0.2,0.3,0.1,2.300299999999999,0.0,2.300299999999999,2.300299999999999
21,0.05,0.35,0.35,0.2,0.1,0.3,0.4,0.2,0.1,2.3006,0.0,2.3006,2.3006
26,0.05,0.3,0.4,0.2,0.1,0.3,0.4,0.2,0.1,2.3013,0.0,2.3013,2.3013
22,0.05,0.3,0.4,0.2,0.1,0.5,0.2,0.2,0.1,2.3022,0.0,2.3022,2.3022
38,0.1,0.4,0.2,0.3,0.1,0.4,0.3,0.2,0.1,2.302300000000001,0.0,2.302300000000001,2.302300000000001
5,0.05,0.5,0.2,0.2,0.1,0.35,0.35,0.2,0.1,2.3028000000000004,0.0,2.3028000000000004,2.3028000000000004
11,0.05,0.4,0.3,0.2,0.1,0.3,0.4,0.2,0.1,2.303,0.0,2.303,2.303
19,0.05,0.35,0.35,0.2,0.1,0.4,0.2,0.3,0.1,2.3031999999999995,0.0,2.3031999999999995,2.3031999999999995
9,0.05,0.4,0.3,0.2,0.1,0.4,0.2,0.3,0.1,2.3036000000000003,0.0,2.3036000000000003,2.3036000000000003
15,0.05,0.4,0.2,0.3,0.1,0.35,0.35,0.2,0.1,2.3037000000000005,0.0,2.3037000000000005,2.3037000000000005
45,0.1,0.35,0.35,0.2,0.1,0.35,0.35,0.2,0.1,2.3039,0.0,2.3039,2.3039
33,0.1,0.4,0.3,0.2,0.1,0.4,0.3,0.2,0.1,2.3039999999999994,0.0,2.3039999999999994,2.3039999999999994
6,0.05,0.5,0.2,0.2,0.1,0.3,0.4,0.2,0.1,2.3042000000000007,0.0,2.3042000000000007,2.3042000000000007
36,0.1,0.4,0.3,0.2,0.1,0.3,0.4,0.2,0.1,2.3044,0.0,2.3044,2.3044
35,0.1,0.4,0.3,0.2,0.1,0.35,0.35,0.2,0.1,2.3044000000000002,0.0,2.3044000000000002,2.3044000000000002
14,0.05,0.4,0.2,0.3,0.1,0.4,0.2,0.3,0.1,2.3061999999999996,0.0,2.3061999999999996,2.3061999999999996
37,0.1,0.4,0.2,0.3,0.1,0.5,0.2,0.2,0.1,2.307900000000001,0.0,2.307900000000001,2.307900000000001
43,0.1,0.35,0.35,0.2,0.1,0.4,0.3,0.2,0.1,2.3085999999999993,0.0,2.3085999999999993,2.3085999999999993
44,0.1,0.35,0.35,0.2,0.1,0.4,0.2,0.3,0.1,2.311,0.0,2.311,2.311
65,0.15,0.4,0.2,0.3,0.1,0.35,0.35,0.2,0.1,2.3116999999999996,0.0,2.3116999999999996,2.3116999999999996
41,0.1,0.4,0.2,0.3,0.1,0.3,0.4,0.2,0.1,2.3121999999999994,0.0,2.3121999999999994,2.3121999999999994
63,0.15,0.4,0.2,0.3,0.1,0.4,0.3,0.2,0.1,2.3127000000000004,0.0,2.3127000000000004,2.3127000000000004
39,0.1,0.4,0.2,0.3,0.1,0.4,0.2,0.3,0.1,2.3132,0.0,2.3132,2.3132
84,0.2,0.4,0.3,0.2,0.1,0.4,0.2,0.3,0.1,2.3137,0.0,2.3137,2.3137
31,0.1,0.5,0.2,0.2,0.1,0.3,0.4,0.2,0.1,2.3147000000000006,0.0,2.3147000000000006,2.3147000000000006
40,0.1,0.4,0.2,0.3,0.1,0.35,0.35,0.2,0.1,2.3154999999999997,0.0,2.3154999999999997,2.3154999999999997
49,0.1,0.3,0.4,0.2,0.1,0.4,0.2,0.3,0.1,2.3156000000000003,0.0,2.3156000000000003,2.3156000000000003
47,0.1,0.3,0.4,0.2,0.1,0.5,0.2,0.2,0.1,2.317799999999999,0.0,2.317799999999999,2.317799999999999
50,0.1,0.3,0.4,0.2,0.1,0.35,0.35,0.2,0.1,2.3181000000000003,0.0,2.3181000000000003,2.3181000000000003
28,0.1,0.5,0.2,0.2,0.1,0.4,0.3,0.2,0.1,2.3182,0.0,2.3182,2.3182
34,0.1,0.4,0.3,0.2,0.1,0.4,0.2,0.3,0.1,2.3182,0.0,2.3182,2.3182
30,0.1,0.5,0.2,0.2,0.1,0.35,0.35,0.2,0.1,2.3186,0.0,2.3186,2.3186
29,0.1,0.5,0.2,0.2,0.1,0.4,0.2,0.3,0.1,2.3199999999999994,0.0,2.3199999999999994,2.3199999999999994
46,0.1,0.35,0.35,0.2,0.1,0.3,0.4,0.2,0.1,2.3201,0.0,2.3201,2.3201
42,0.1,0.35,0.35,0.2,0.1,0.5,0.2,0.2,0.1,2.3204,0.0,2.3204,2.3204
66,0.15,0.4,0.2,0.3,0.1,0.3,0.4,0.2,0.1,2.3204000000000002,0.0,2.3204000000000002,2.3204000000000002
87,0.2,0.4,0.2,0.3,0.1,0.5,0.2,0.2,0.1,2.3211000000000004,0.0,2.3211000000000004,2.3211000000000004
78,0.2,0.5,0.2,0.2,0.1,0.4,0.3,0.2,0.1,2.3212,0.0,2.3212,2.3212
27,0.1,0.5,0.2,0.2,0.1,0.5,0.2,0.2,0.1,2.3213999999999997,0.0,2.3213999999999997,2.3213999999999997
48,0.1,0.3,0.4,0.2,0.1,0.4,0.3,0.2,0.1,2.3227999999999995,0.0,2.3227999999999995,2.3227999999999995
32,0.1,0.4,0.3,0.2,0.1,0.5,0.2,0.2,0.1,2.3238999999999996,0.0,2.3238999999999996,2.3238999999999996
64,0.15,0.4,0.2,0.3,0.1,0.4,0.2,0.3,0.1,2.3249999999999993,0.0,2.3249999999999993,2.3249999999999993
51,0.1,0.3,0.4,0.2,0.1,0.3,0.4,0.2,0.1,2.3251,0.0,2.3251,2.3251
79,0.2,0.5,0.2,0.2,0.1,0.4,0.2,0.3,0.1,2.3254,0.0,2.3254,2.3254
61,0.15,0.4,0.3,0.2,0.1,0.3,0.4,0.2,0.1,2.3268999999999993,0.0,2.3268999999999993,2.3268999999999993
71,0.15,0.35,0.35,0.2,0.1,0.3,0.4,0.2,0.1,2.3276000000000003,0.0,2.3276000000000003,2.3276000000000003
92,0.2,0.35,0.35,0.2,0.1,0.5,0.2,0.2,0.1,2.3283,0.0,2.3283,2.3283
67,0.15,0.35,0.35,0.2,0.1,0.5,0.2,0.2,0.1,2.3288,0.0,2.3288,2.3288
76,0.15,0.3,0.4,0.2,0.1,0.3,0.4,0.2,0.1,2.3295,0.0,2.3295,2.3295
97,0.2,0.3,0.4,0.2,0.1,0.5,0.2,0.2,0.1,2.3296,0.0,2.3296,2.3296
75,0.15,0.3,0.4,0.2,0.1,0.35,0.35,0.2,0.1,2.3299000000000007,0.0,2.3299000000000007,2.3299000000000007
70,0.15,0.35,0.35,0.2,0.1,0.35,0.35,0.2,0.1,2.3308,0.0,2.3308,2.3308
