config_id,prev_rating_mode,prev_weight,attack_goals,attack_xg,attack_sot,attack_shots,defense_ga,defense_xga,defense_sota,defense_sa,mean_mae,std_mae,max_mae,baseline_v14_mean_mae_search,delta_vs_baseline_search,mae_2025
25,official_stats_only,0.1,0.3,0.4,0.2,0.1,0.35,0.35,0.2,0.1,2.3489000000000004,0.0,2.3489000000000004,2.2081,0.14080000000000048,2.3489000000000004
26,official_stats_only,0.1,0.3,0.4,0.2,0.1,0.3,0.4,0.2,0.1,2.3561000000000005,0.0,2.3561000000000005,2.2081,0.14800000000000058,2.3561000000000005
16,official_stats_only,0.1,0.4,0.2,0.3,0.1,0.3,0.4,0.2,0.1,2.3571999999999997,0.0,2.3571999999999997,2.2081,0.1490999999999998,2.3571999999999997
1,official_stats_only,0.0,0.5,0.2,0.2,0.1,0.5,0.2,0.2,0.1,2.3604000000000003,0.0,2.3604000000000003,2.2081,0.15230000000000032,2.3604000000000003
21,official_stats_only,0.1,0.35,0.35,0.2,0.1,0.3,0.4,0.2,0.1,2.3613,0.0,2.3613,2.2081,0.1532,2.3613
24,official_stats_only,0.1,0.3,0.4,0.2,0.1,0.4,0.2,0.3,0.1,2.3645000000000005,0.0,2.3645000000000005,2.2081,0.15640000000000054,2.3645000000000005
23,official_stats_only,0.1,0.3,0.4,0.2,0.1,0.4,0.3,0.2,0.1,2.3657000000000004,0.0,2.3657000000000004,2.2081,0.1576000000000004,2.3657000000000004
10,official_stats_only,0.1,0.4,0.3,0.2,0.1,0.35,0.35,0.2,0.1,2.3686,0.0,2.3686,2.2081,0.16049999999999986,2.3686
2,official_stats_only,0.1,0.5,0.2,0.2,0.1,0.5,0.2,0.2,0.1,2.3705,0.0,2.3705,2.2081,0.16239999999999988,2.3705
22,official_stats_only,0.1,0.3,0.4,0.2,0.1,0.5,0.2,0.2,0.1,2.3726,0.0,2.3726,2.2081,0.16449999999999987,2.3726
13,official_stats_only,0.1,0.4,0.2,0.3,0.1,0.4,0.3,0.2,0.1,2.3728000000000007,0.0,2.3728000000000007,2.2081,0.16470000000000073,2.3728000000000007
15,official_stats_only,0.1,0.4,0.2,0.3,0.1,0.35,0.35,0.2,0.1,2.3729000000000005,0.0,2.3729000000000005,2.2081,0.1648000000000005,2.3729000000000005
20,official_stats_only,0.1,0.35,0.35,0.2,0.1,0.35,0.35,0.2,0.1,2.3738999999999995,0.0,2.3738999999999995,2.2081,0.1657999999999995,2.3738999999999995
5,official_stats_only,0.1,0.5,0.2,0.2,0.1,0.35,0.35,0.2,0.1,2.3767000000000005,0.0,2.3767000000000005,2.2081,0.16860000000000053,2.3767000000000005
9,official_stats_only,0.1,0.4,0.3,0.2,0.1,0.4,0.2,0.3,0.1,2.3767000000000005,0.0,2.3767000000000005,2.2081,0.16860000000000053,2.3767000000000005
8,official_stats_only,0.1,0.4,0.3,0.2,0.1,0.4,0.3,0.2,0.1,2.3775000000000004,0.0,2.3775000000000004,2.2081,0.16940000000000044,2.3775000000000004
11,official_stats_only,0.1,0.4,0.3,0.2,0.1,0.3,0.4,0.2,0.1,2.3777,0.0,2.3777,2.2081,0.16959999999999997,2.3777
4,official_stats_only,0.1,0.5,0.2,0.2,0.1,0.4,0.2,0.3,0.1,2.3797,0.0,2.3797,2.2081,0.1716000000000002,2.3797
18,official_stats_only,0.1,0.35,0.35,0.2,0.1,0.4,0.3,0.2,0.1,2.3817000000000004,0.0,2.3817000000000004,2.2081,0.17360000000000042,2.3817000000000004
3,official_stats_only,0.1,0.5,0.2,0.2,0.1,0.4,0.3,0.2,0.1,2.3821,0.0,2.3821,2.2081,0.17399999999999993,2.3821
6,official_stats_only,0.1,0.5,0.2,0.2,0.1,0.3,0.4,0.2,0.1,2.383,0.0,2.383,2.2081,0.17490000000000006,2.383
19,official_stats_only,0.1,0.35,0.35,0.2,0.1,0.4,0.2,0.3,0.1,2.383799999999999,0.0,2.383799999999999,2.2081,0.17569999999999908,2.383799999999999
17,official_stats_only,0.1,0.35,0.35,0.2,0.1,0.5,0.2,0.2,0.1,2.3838000000000004,0.0,2.3838000000000004,2.2081,0.1757000000000004,2.3838000000000004
12,official_stats_only,0.1,0.4,0.2,0.3,0.1,0.5,0.2,0.2,0.1,2.3849000000000005,0.0,2.3849000000000005,2.2081,0.1768000000000005,2.3849000000000005
7,official_stats_only,0.1,0.4,0.3,0.2,0.1,0.5,0.2,0.2,0.1,2.3855000000000004,0.0,2.3855000000000004,2.2081,0.17740000000000045,2.3855000000000004
51,official_stats_only,0.2,0.3,0.4,0.2,0.1,0.3,0.4,0.2,0.1,2.3939,0.0,2.3939,2.2081,0.18579999999999997,2.3939
14,official_stats_only,0.1,0.4,0.2,0.3,0.1,0.4,0.2,0.3,0.1,2.3997,0.0,2.3997,2.2081,0.19160000000000021,2.3997
36,official_stats_only,0.2,0.4,0.3,0.2,0.1,0.3,0.4,0.2,0.1,2.4000999999999997,0.0,2.4000999999999997,2.2081,0.19199999999999973,2.4000999999999997
