rank,prev_weight,n_sim,mae,max_error,kawasaki_actual_position,kawasaki_avg_pred_position,kawasaki_error,kashiwa_actual_position,kashiwa_avg_pred_position,kashiwa_error,shimizu_actual_position,shimizu_avg_pred_position,shimizu_error,machida_actual_position,machida_avg_pred_position,machida_error,nagoya_actual_position,nagoya_avg_pred_position,nagoya_error,delta_vs_prev04
1,0.6,2000,2.2064500000000002,4.7315,8,4.887,3.1130000000000004,2,6.7315,4.7315,14,10.3985,3.6014999999999997,6,8.528,2.5280000000000005,16,12.511999999999999,3.4880000000000013,-0.0006999999999997009
2,0.4,2000,2.20715,4.902500000000002,8,4.7395000000000005,3.2604999999999995,2,5.999,3.9989999999999997,14,10.322500000000002,3.6774999999999984,6,9.313,3.3130000000000006,16,12.034000000000002,3.9659999999999975,0.0
3,0.35,2000,2.2073999999999994,4.807499999999999,8,4.658500000000001,3.341499999999999,2,5.935499999999999,3.9354999999999993,14,10.344999999999999,3.655000000000001,6,9.53,3.5299999999999994,16,11.819000000000003,4.180999999999997,0.00024999999999941735
4,0.55,2000,2.2090500000000004,4.640000000000001,8,4.940500000000001,3.059499999999999,2,6.41,4.41,14,10.293499999999998,3.706500000000002,6,8.846499999999999,2.846499999999999,16,12.527,3.4730000000000008,0.0019000000000004569
5,0.5,2000,2.2327,4.7395,8,4.799999999999998,3.200000000000002,2,6.4079999999999995,4.4079999999999995,14,10.3385,3.6615,6,9.075499999999998,3.075499999999998,16,12.3735,3.6265,0.02554999999999996
6,0.45,2000,2.23855,4.7315000000000005,8,4.7044999999999995,3.2955000000000005,2,6.138499999999999,4.138499999999999,14,10.373499999999998,3.626500000000002,6,9.137999999999996,3.1379999999999963,16,12.097000000000001,3.9029999999999987,0.031400000000000095
7,0.3,2000,2.2497999999999996,5.0440000000000005,8,4.661499999999999,3.3385000000000007,2,5.745500000000001,3.7455000000000007,14,10.2035,3.7965,6,9.743,3.7430000000000003,16,11.746500000000001,4.253499999999999,0.04264999999999963
8,0.25,2000,2.2504500000000007,4.959500000000002,8,4.545999999999999,3.4540000000000006,2,5.567000000000002,3.567000000000002,14,10.1715,3.8285,6,9.849500000000004,3.8495000000000044,16,11.769,4.231,0.04330000000000078
9,0.2,2000,2.2688500000000005,4.9855,8,4.5089999999999995,3.4910000000000005,2,5.481999999999999,3.4819999999999993,14,10.068,3.9320000000000004,6,9.939499999999999,3.939499999999999,16,11.682,4.318,0.06170000000000053
10,0.15,2000,2.2695999999999996,5.046499999999998,8,4.505000000000001,3.494999999999999,2,5.320500000000001,3.320500000000001,14,10.150499999999997,3.8495000000000026,6,10.147,4.147,16,11.363000000000001,4.636999999999999,0.06244999999999967
11,0.1,2000,2.2977,5.137500000000003,8,4.4065,3.5934999999999997,2,5.217,3.2169999999999996,14,10.143999999999997,3.8560000000000034,6,10.2575,4.2575,16,11.3215,4.6785,0.09054999999999991
12,0.05,2000,2.304550000000001,5.177,8,4.400499999999998,3.5995000000000017,2,5.067500000000001,3.067500000000001,14,10.159999999999997,3.8400000000000034,6,10.438500000000001,4.438500000000001,16,11.1895,4.810499999999999,0.09740000000000126
13,0.0,2000,2.3456,5.227499999999999,8,4.382499999999999,3.6175000000000006,2,4.8865,2.8865,14,9.990499999999999,4.009500000000001,6,10.771999999999998,4.7719999999999985,16,11.027,4.973000000000001,0.13845000000000018
