rank,prev_weight,prev_decay,n_sim,mae,max_error,kawasaki_actual_position,kawasaki_avg_pred_position,kawasaki_error,kashiwa_actual_position,kashiwa_avg_pred_position,kashiwa_error,kyoto_actual_position,kyoto_avg_pred_position,kyoto_error,shimizu_actual_position,shimizu_avg_pred_position,shimizu_error,machida_actual_position,machida_avg_pred_position,machida_error,nagoya_actual_position,nagoya_avg_pred_position,nagoya_error,yokohamafm_actual_position,yokohamafm_avg_pred_position,yokohamafm_error,delta_vs_v14_prev04_decay100,rank_within_prev_weight
1,0.6,0.985,2000,2.1820500000000003,4.722,8,4.939000000000001,3.060999999999999,2,6.722,4.722,3,6.0360000000000005,3.0360000000000005,14,10.3705,3.6295,6,8.761,2.7609999999999992,16,12.7365,3.2635000000000005,15,17.578,2.5779999999999994,-0.025099999999999678,1
2,0.55,0.99,2000,2.18525,4.547999999999998,8,4.882500000000001,3.117499999999999,2,6.526000000000001,4.526000000000001,3,5.9035,2.9035,14,10.3475,3.6525,6,8.770999999999999,2.770999999999999,16,12.518999999999998,3.4810000000000016,15,17.6145,2.6144999999999996,-0.02190000000000003,1
3,0.45,0.98,2000,2.1941499999999996,4.8185,8,4.751500000000002,3.248499999999998,2,6.2524999999999995,4.2524999999999995,3,5.4799999999999995,2.4799999999999995,14,10.406500000000003,3.593499999999997,6,9.200999999999999,3.2009999999999987,16,12.2725,3.727499999999999,15,17.756,2.7560000000000002,-0.013000000000000345,1
4,0.6,0.99,2000,2.19465,4.587000000000001,8,4.854000000000001,3.145999999999999,2,6.587000000000001,4.587000000000001,3,6.079000000000001,3.0790000000000006,14,10.3265,3.6735000000000007,6,8.6545,2.6545000000000005,16,12.709,3.2910000000000004,15,17.567,2.567,-0.012499999999999734,2
5,0.6,0.98,2000,2.1958499999999996,4.6735,8,4.8675,3.1325000000000003,2,6.6735,4.6735,3,5.938,2.9379999999999997,14,10.388500000000002,3.6114999999999977,6,8.910499999999999,2.910499999999999,16,12.686499999999999,3.3135000000000012,15,17.502499999999998,2.5024999999999977,-0.01130000000000031,3
6,0.4,0.995,2000,2.2052500000000004,4.7940000000000005,8,4.727499999999999,3.272500000000001,2,5.891,3.891,3,5.265000000000001,2.2650000000000006,14,10.374499999999998,3.6255000000000024,6,9.415500000000002,3.4155000000000015,16,12.030000000000001,3.969999999999999,15,17.8925,2.8924999999999983,-0.0018999999999995687,1
7,0.6,1.0,2000,2.2064500000000002,4.7315,8,4.887,3.1130000000000004,2,6.7315,4.7315,3,6.216000000000001,3.216000000000001,14,10.3985,3.6014999999999997,6,8.528,2.5280000000000005,16,12.511999999999999,3.4880000000000013,15,17.5625,2.5625,-0.0006999999999997009,4
8,0.4,1.0,2000,2.20715,4.902500000000002,8,4.7395000000000005,3.2604999999999995,2,5.999,3.9989999999999997,3,5.298499999999999,2.298499999999999,14,10.322500000000002,3.6774999999999984,6,9.313,3.3130000000000006,16,12.034000000000002,3.9659999999999975,15,17.857,2.8569999999999993,0.0,2
9,0.35,1.0,2000,2.2073999999999994,4.807499999999999,8,4.658500000000001,3.341499999999999,2,5.935499999999999,3.9354999999999993,3,5.1979999999999995,2.1979999999999995,14,10.344999999999999,3.655000000000001,6,9.53,3.5299999999999994,16,11.819000000000003,4.180999999999997,15,17.9085,2.9085,0.00024999999999941735,1
10,0.35,0.99,2000,2.20885,4.9704999999999995,8,4.575,3.425,2,5.8715,3.8715,3,5.2185,2.2184999999999997,14,10.226,3.773999999999999,6,9.500499999999999,3.500499999999999,16,11.964,4.036,15,17.9885,2.9884999999999984,0.0017000000000000348,2
11,0.55,1.0,2000,2.2090500000000004,4.640000000000001,8,4.940500000000001,3.059499999999999,2,6.41,4.41,3,5.904,2.904,14,10.293499999999998,3.706500000000002,6,8.846499999999999,2.846499999999999,16,12.527,3.4730000000000008,15,17.659,2.658999999999999,0.0019000000000004569,2
12,0.55,0.995,2000,2.2104000000000004,4.586500000000001,8,4.896999999999999,3.1030000000000006,2,6.4875,4.4875,3,6.017000000000001,3.0170000000000012,14,10.293000000000003,3.706999999999997,6,8.7545,2.7545,16,12.507000000000001,3.4929999999999986,15,17.692,2.692,0.0032500000000004192,3
13,0.35,0.995,2000,2.2126999999999994,4.878,8,4.656499999999999,3.3435000000000006,2,5.942499999999999,3.942499999999999,3,5.223000000000002,2.2230000000000016,14,10.2405,3.759499999999999,6,9.482999999999999,3.4829999999999988,16,11.916500000000003,4.083499999999997,15,17.9705,2.9705000000000013,0.0055499999999995,3
