rank,prev_setting_name,prev_weight,prev_decay,elo_lambda_weight,n_sim,mae,max_error,kawasaki_actual_position,kawasaki_avg_pred_position,kawasaki_error,kashiwa_actual_position,kashiwa_avg_pred_position,kashiwa_error,kyoto_actual_position,kyoto_avg_pred_position,kyoto_error,shimizu_actual_position,shimizu_avg_pred_position,shimizu_error,machida_actual_position,machida_avg_pred_position,machida_error,nagoya_actual_position,nagoya_avg_pred_position,nagoya_error,yokohamafm_actual_position,yokohamafm_avg_pred_position,yokohamafm_error,fctokyo_actual_position,fctokyo_avg_pred_position,fctokyo_error,delta_vs_prev060_decay0985_elo020,delta_vs_prev040_decay0995_elo020,rank_within_prev_setting
1,prev060_decay0985,0.6,0.985,0.1,2000,2.1727000000000003,4.7225,8,5.031000000000001,2.9689999999999994,2,6.7225,4.7225,3,6.060499999999998,3.0604999999999984,14,10.372000000000003,3.6279999999999966,6,8.686999999999998,2.6869999999999976,16,12.753999999999998,3.246000000000002,15,17.438000000000002,2.4380000000000024,11,15.596000000000002,4.596000000000002,-0.00934999999999997,-0.03255000000000008,1
2,prev060_decay0985,0.6,0.985,0.2,2000,2.1820500000000003,4.722,8,4.939000000000001,3.060999999999999,2,6.722,4.722,3,6.0360000000000005,3.0360000000000005,14,10.3705,3.6295,6,8.761,2.7609999999999992,16,12.7365,3.2635000000000005,15,17.578,2.5779999999999994,11,15.481,4.481,0.0,-0.02320000000000011,2
3,prev060_decay0985,0.6,0.985,0.0,2000,2.1866999999999996,4.727,8,4.926000000000001,3.073999999999999,2,6.727,4.727,3,5.834499999999999,2.8344999999999994,14,10.367,3.632999999999999,6,8.727,2.7270000000000003,16,12.613999999999999,3.386000000000001,15,17.5035,2.503499999999999,11,15.601499999999998,4.601499999999998,0.004649999999999377,-0.018550000000000733,3
4,prev060_decay0985,0.6,0.985,0.15,2000,2.19,4.794,8,5.0235,2.9764999999999997,2,6.794,4.794,3,6.03,3.0300000000000002,14,10.354499999999998,3.645500000000002,6,8.658999999999999,2.658999999999999,16,12.673499999999997,3.326500000000003,15,17.5355,2.535499999999999,11,15.638,4.638,0.00794999999999968,-0.01525000000000043,4
5,prev060_decay0985,0.6,0.985,0.25,2000,2.191,4.7139999999999995,8,4.9990000000000006,3.0009999999999994,2,6.7139999999999995,4.7139999999999995,3,5.979500000000001,2.9795000000000007,14,10.393999999999998,3.6060000000000016,6,8.809000000000003,2.809000000000003,16,12.699,3.301,15,17.523999999999997,2.5239999999999974,11,15.5965,4.596500000000001,0.00894999999999957,-0.01425000000000054,5
6,prev060_decay0985,0.6,0.985,0.05,2000,2.1950499999999997,4.777,8,4.987000000000001,3.012999999999999,2,6.777,4.777,3,6.035000000000001,3.035000000000001,14,10.3985,3.6014999999999997,6,8.700499999999998,2.700499999999998,16,12.5775,3.4224999999999994,15,17.5385,2.538499999999999,11,15.5575,4.557499999999999,0.012999999999999456,-0.010200000000000653,6
7,prev040_decay0995,0.4,0.995,0.2,2000,2.2052500000000004,4.7940000000000005,8,4.727499999999999,3.272500000000001,2,5.891,3.891,3,5.265000000000001,2.2650000000000006,14,10.374499999999998,3.6255000000000024,6,9.415500000000002,3.4155000000000015,16,12.030000000000001,3.969999999999999,15,17.8925,2.8924999999999983,11,15.794,4.7940000000000005,0.02320000000000011,0.0,1
8,prev040_decay0995,0.4,0.995,0.05,2000,2.2085,4.7925,8,4.8215,3.1784999999999997,2,6.039,4.039,3,5.359,2.359,14,10.449499999999999,3.5505000000000013,6,9.354000000000001,3.354000000000001,16,12.062000000000001,3.937999999999999,15,17.856,2.8560000000000016,11,15.7925,4.7925,0.02644999999999964,0.003249999999999531,2
9,prev040_decay0995,0.4,0.995,0.1,2000,2.2088,4.905999999999999,8,4.8085,3.1914999999999996,2,5.9925,3.9924999999999997,3,5.312500000000001,2.312500000000001,14,10.374,3.6259999999999994,6,9.395499999999998,3.3954999999999984,16,12.0895,3.9105000000000008,15,17.838,2.838000000000001,11,15.905999999999999,4.905999999999999,0.02674999999999983,0.00354999999999972,3
10,prev040_decay0995,0.4,0.995,0.15,2000,2.21315,4.792,8,4.763,3.237,2,5.972999999999999,3.972999999999999,3,5.3735,2.3735,14,10.357,3.6430000000000007,6,9.3925,3.3925,16,12.075499999999998,3.924500000000002,15,17.929499999999997,2.9294999999999973,11,15.792,4.792,0.031099999999999905,0.007899999999999796,4
11,prev040_decay0995,0.4,0.995,0.0,2000,2.2261499999999996,4.840999999999999,8,4.721500000000001,3.2784999999999993,2,6.082999999999999,4.082999999999999,3,5.433999999999999,2.4339999999999993,14,10.243499999999997,3.7565000000000026,6,9.471,3.471,16,12.0655,3.9345,15,17.868000000000002,2.868000000000002,11,15.841,4.840999999999999,0.04409999999999936,0.020899999999999253,5
12,prev040_decay0995,0.4,0.995,0.25,2000,2.2353500000000004,4.877000000000001,8,4.667999999999999,3.3320000000000007,2,6.1135,4.1135,3,5.339,2.3390000000000004,14,10.331000000000001,3.6689999999999987,6,9.3245,3.3245000000000005,16,11.902000000000001,4.097999999999999,15,17.927500000000002,2.927500000000002,11,15.877,4.877000000000001,0.053300000000000125,0.030100000000000016,6
