season,window,window_start,window_end,n_matches,n_events,mean_expected_points,mean_actual_points,mean_points_residual,sum_expected_points,sum_actual_points,sum_points_residual,points_residual_ci_low,points_residual_ci_high,mean_lambda_for,mean_actual_goals_for,mean_goal_for_residual,mean_lambda_against,mean_actual_goals_against,mean_goals_against_improvement,mean_team_win_prob,mean_team_draw_prob,mean_team_loss_prob,home_match_rate
2023,after_1_3,1,3,3,1,1.2142013654042612,2.3333333333333335,1.119131967929072,3.6426040962127835,7.0,3.3573959037872165,0.5185633212459577,1.7844719303968617,1.2661902183199665,1.0,-0.26619021831996664,1.5555057287837257,0.0,1.5555057287837257,0.3181646572385295,0.2597073936886723,0.4221279490727981,0.6666666666666666
2023,after_1_5,1,5,6,2,1.141743727110455,1.8333333333333333,0.6915896062228785,6.8504623626627295,11.0,4.1495376373372705,-0.25860710909301093,1.5990893541439017,1.1724751021721993,0.8333333333333334,-0.33914176883886604,1.53407749335692,0.5,1.0340774933569197,0.28692196584962154,0.28097782956159023,0.43210020458878823,0.6666666666666666
2023,after_1_10,1,10,16,2,1.1161387002512724,1.25,0.13386129974872754,17.858219204020358,20.0,2.1417807959796407,-0.42848503863878357,0.7022820074835111,1.1895474598504856,0.9375,-0.25204745985048566,1.6169244882964526,1.0,0.6169244882964526,0.28238992366018334,0.26896892927072225,0.44864114706909436,0.5625
2023,after_4_6,4,6,5,2,1.1477273126688725,1.4,0.2522726873311274,5.738636563344363,7.0,1.261363436655637,-0.8451843747769475,1.4445268769178778,1.2662087643034412,0.8,-0.46620876430344105,1.5809313656651418,0.8,0.7809313656651421,0.28772311797619493,0.28455795874028766,0.42771892328351735,0.6
2023,after_7_10,7,10,8,2,1.0596223180579016,0.75,-0.3096223180579016,8.476978544463213,6.0,-2.4769785444632126,-0.9977188768258427,0.33763305309522307,1.112893110141333,1.0,-0.11289311014133313,1.6624522247582947,1.5,0.16245222475829457,0.2656411521207963,0.2626988616955126,0.47165998618369115,0.5
2024,after_1_3,1,3,12,4,1.2929794738916982,1.3333333333333333,0.04035385944163541,15.515753686700378,16.0,0.48424631329962486,-0.6234120605862468,0.7762887001004118,1.3821860964807797,1.3333333333333333,-0.048852763147446375,1.4624250917431778,1.5,-0.037574908256822415,0.33810047778605656,0.2786780405335279,0.38322148168041537,0.5
2024,after_1_5,1,5,20,4,1.3226333113745903,1.3,-0.022633311374590192,26.452666227491804,26.0,-0.45266622749180385,-0.582502589591161,0.5661547726605057,1.42916050642109,1.4,-0.029160506421089992,1.4759957219332536,1.3,0.17599572193325347,0.3498992672959485,0.27293550948674455,0.37716522321730694,0.45
2024,after_1_10,1,10,36,4,1.3234560498782186,1.1944444444444444,-0.12901160543377418,47.64441779561587,43.0,-4.644417795615871,-0.5583276058388201,0.31525364828463315,1.4155385588665146,1.2222222222222223,-0.19331633664429207,1.4766951139390772,1.3333333333333333,0.14336178060574392,0.3499004555371814,0.2737546832666744,0.3763448611961442,0.5
2024,after_4_6,4,6,12,4,1.3223074892621558,1.0833333333333333,-0.23897415592882254,15.867689871145869,13.0,-2.8676898711458705,-1.0394441152718752,0.6237003956236478,1.4382952906516158,1.4166666666666667,-0.02162862398494921,1.5151519325923812,1.25,0.2651519325923812,0.35155076677914354,0.2676551889247252,0.38079404429613134,0.4166666666666667
2024,after_7_10,7,10,12,3,1.355081186480802,1.1666666666666667,-0.1884145198141355,16.260974237769624,14.0,-2.2609742377696262,-0.8594297635024652,0.5489927652937885,1.4261342894671474,0.9166666666666666,-0.5094676228004807,1.452508317481673,1.25,0.20250831748167308,0.36005012204634407,0.2749308203417699,0.36501905761188597,0.5833333333333334
2025,after_1_3,1,3,9,3,1.019747199249422,0.4444444444444444,-0.5753027548049775,9.177724793244797,4.0,-5.177724793244797,-1.1365566087879322,0.1968944025062467,0.8254194214669676,0.7777777777777778,-0.04764164368918982,1.3222487032440824,2.111111111111111,-0.7888624078670285,0.23727737359914544,0.30791507845198546,0.45480754794886913,0.4444444444444444
2025,after_1_5,1,5,15,3,1.0694342582194019,0.8,-0.2694342582194019,16.041513873291027,12.0,-4.041513873291029,-0.7975831124509037,0.31818441928065716,0.8441396229804495,0.8666666666666667,0.022527043686217243,1.2635607942654459,1.6666666666666667,-0.4031058724012207,0.2527700701990305,0.3111240476223103,0.43610588217865914,0.4666666666666667
2025,after_1_10,1,10,33,4,1.095616859997471,0.7575757575757576,-0.33804110242171354,36.15535637991654,25.0,-11.155356379916547,-0.7133111542512561,0.05352047724155306,0.9297270802696953,0.6666666666666666,-0.26306041360302873,1.3219480142680877,1.3636363636363635,-0.0416883493682757,0.26344136194556445,0.30529277416077744,0.43126586389365795,0.5151515151515151
2025,after_4_6,4,6,9,3,1.1539571984198922,1.3333333333333333,0.17937613491344107,10.38561478577903,12.0,1.6143852142209696,-0.47796429555931813,0.87139257080425,0.930549458550082,0.8888888888888888,-0.04166056966119326,1.2475539912826632,0.8888888888888888,0.3586651023937743,0.2812792775261658,0.3101193658413947,0.40860135663243935,0.5555555555555556
2025,after_7_10,7,10,15,4,1.1061344533928479,0.6,-0.506134453392848,16.59201680089272,9.0,-7.59201680089272,-0.9955143575364503,0.05938873312676051,0.9918182485831001,0.4666666666666667,-0.5251515819164335,1.3664040146737462,1.2,0.16640401467374605,0.26843700560505507,0.3008234365776824,0.4307395578172623,0.5333333333333333
