year,team,position,probability
2023,アビスパ福岡,1,0.0
2023,アビスパ福岡,2,0.0
2023,アビスパ福岡,3,0.0
2023,アビスパ福岡,4,0.0001
2023,アビスパ福岡,5,0.0007
2023,アビスパ福岡,6,0.0012
2023,アビスパ福岡,7,0.0054
2023,アビスパ福岡,8,0.0134
2023,アビスパ福岡,9,0.0349
2023,アビスパ福岡,10,0.079
2023,アビスパ福岡,11,0.156
2023,アビスパ福岡,12,0.1997
2023,アビスパ福岡,13,0.1845
2023,アビスパ福岡,14,0.1424
2023,アビスパ福岡,15,0.0949
2023,アビスパ福岡,16,0.0597
2023,アビスパ福岡,17,0.0218
2023,アビスパ福岡,18,0.0063
2023,アルビレックス新潟,1,0.0
2023,アルビレックス新潟,2,0.0
2023,アルビレックス新潟,3,0.0
2023,アルビレックス新潟,4,0.0
2023,アルビレックス新潟,5,0.0001
2023,アルビレックス新潟,6,0.0013
2023,アルビレックス新潟,7,0.0035
2023,アルビレックス新潟,8,0.0069
2023,アルビレックス新潟,9,0.0228
2023,アルビレックス新潟,10,0.0576
2023,アルビレックス新潟,11,0.1186
2023,アルビレックス新潟,12,0.176
2023,アルビレックス新潟,13,0.1792
2023,アルビレックス新潟,14,0.1641
2023,アルビレックス新潟,15,0.1287
2023,アルビレックス新潟,16,0.0819
2023,アルビレックス新潟,17,0.0456
2023,アルビレックス新潟,18,0.0137
2023,ガンバ大阪,1,0.0
2023,ガンバ大阪,2,0.0
2023,ガンバ大阪,3,0.0
2023,ガンバ大阪,4,0.0
2023,ガンバ大阪,5,0.0
2023,ガンバ大阪,6,0.0001
2023,ガンバ大阪,7,0.0006
2023,ガンバ大阪,8,0.0013
2023,ガンバ大阪,9,0.0048
2023,ガンバ大阪,10,0.0266
2023,ガンバ大阪,11,0.0603
2023,ガンバ大阪,12,0.1174
2023,ガンバ大阪,13,0.1568
2023,ガンバ大阪,14,0.1911
2023,ガンバ大阪,15,0.1939
2023,ガンバ大阪,16,0.1441
2023,ガンバ大阪,17,0.0797
2023,ガンバ大阪,18,0.0233
2023,サガン鳥栖,1,0.0
2023,サガン鳥栖,2,0.0002
2023,サガン鳥栖,3,0.001
2023,サガン鳥栖,4,0.0047
2023,サガン鳥栖,5,0.0162
2023,サガン鳥栖,6,0.0327
2023,サガン鳥栖,7,0.0602
2023,サガン鳥栖,8,0.1031
2023,サガン鳥栖,9,0.1659
2023,サガン鳥栖,10,0.2501
