year,team,actual_position,avg_pred_position,prob_actual_position,prob_top1,prob_top3,prob_bottom3
2023,横浜Ｆ・マリノス,2,1.3855,0.2185,0.7079,0.9828,0.0
2023,ヴィッセル神戸,1,2.335,0.2165,0.2165,0.8719000000000001,0.0
2023,名古屋グランパス,6,3.3649,0.0453,0.0579,0.6233,0.0
2023,浦和レッズ,4,4.4546,0.2836,0.0146,0.30469999999999997,0.0
2023,サンフレッチェ広島,3,6.2171,0.0587,0.0009,0.0707,0.0
2023,セレッソ大阪,9,6.2578,0.0806,0.0015,0.07400000000000001,0.0
2023,鹿島アントラーズ,5,7.2246,0.1136,0.0001,0.0265,0.0
2023,川崎フロンターレ,8,7.4993,0.1795,0.0002,0.0255,0.0
2023,北海道コンサドーレ札幌,12,7.8235,0.0231,0.0004,0.0192,0.00030000000000000003
2023,サガン鳥栖,14,9.9061,0.022,0.0,0.0012000000000000001,0.0052
2023,ＦＣ東京,11,11.5184,0.2369,0.0,0.0002,0.0307
2023,アビスパ福岡,7,12.6274,0.0054,0.0,0.0,0.0878
2023,アルビレックス新潟,10,13.1755,0.0576,0.0,0.0,0.1412
2023,ガンバ大阪,16,14.0987,0.1441,0.0,0.0,0.2471
2023,湘南ベルマーレ,15,14.5468,0.1791,0.0,0.0,0.3607
2023,京都サンガF.C.,13,14.9117,0.1022,0.0,0.0,0.43279999999999996
2023,柏レイソル,17,16.4802,0.311,0.0,0.0,0.7854
2023,横浜ＦＣ,18,17.1729,0.5375,0.0,0.0,0.9087999999999999
2024,ＦＣ町田ゼルビア,3,1.4934,0.0756,0.6987,0.9557,0.0
2024,鹿島アントラーズ,5,2.9752,0.0776,0.1574,0.6982,0.0
2024,ヴィッセル神戸,1,4.0071,0.0579,0.0579,0.4608,0.0
2024,サンフレッチェ広島,2,4.1546,0.1675,0.054,0.434,0.0
2024,ガンバ大阪,4,4.8827,0.192,0.0259,0.2889,0.0
2024,ＦＣ東京,7,8.2459,0.1186,0.0029,0.043399999999999994,0.0001
2024,セレッソ大阪,10,8.6206,0.1099,0.001,0.0281,0.0006
2024,アビスパ福岡,12,8.64,0.0742,0.001,0.029199999999999997,0.0
2024,横浜Ｆ・マリノス,9,9.1053,0.1165,0.0007,0.0225,0.0004
2024,浦和レッズ,13,9.4309,0.0792,0.0,0.0159,0.0001
2024,名古屋グランパス,11,10.0328,0.1262,0.0001,0.011800000000000001,0.0006
2024,東京ヴェルディ,6,10.1145,0.0585,0.0004,0.0103,0.0007
2024,川崎フロンターレ,8,12.1335,0.0432,0.0,0.0011,0.007
2024,ジュビロ磐田,18,13.876,0.029,0.0,0.0001,0.0346
2024,アルビレックス新潟,16,14.289,0.172,0.0,0.0,0.0463
2024,柏レイソル,17,15.3534,0.188,0.0,0.0,0.10039999999999999
2024,サガン鳥栖,20,16.6328,0.0163,0.0,0.0,0.30279999999999996
2024,湘南ベルマーレ,15,17.7203,0.0386,0.0,0.0,0.6435
2024,京都サンガF.C.,14,18.6979,0.0029,0.0,0.0,0.8828
2024,北海道コンサドーレ札幌,19,19.5941,0.2098,0.0,0.0,0.9801
2025,鹿島アントラーズ,1,1.3383,0.7878,0.7878,0.9692,0.0
2025,川崎フロンターレ,8,3.9423,0.036,0.0689,0.5065,0.0
2025,サンフレッチェ広島,4,4.22,0.1587,0.0571,0.45399999999999996,0.0
2025,京都サンガF.C.,3,4.6217,0.171,0.04,0.37160000000000004,0.0
2025,ヴィッセル神戸,5,5.5337,0.1431,0.0212,0.2583,0.0001
2025,柏レイソル,2,5.6995,0.0869,0.0179,0.222,0.0
2025,浦和レッズ,7,6.2991,0.1445,0.0055,0.1454,0.0
2025,セレッソ大阪,10,9.1308,0.1197,0.0006,0.0271,0.0031999999999999997
2025,清水エスパルス,14,9.1938,0.0425,0.0008,0.0269,0.0052
2025,ＦＣ町田ゼルビア,6,10.5329,0.0448,0.0001,0.009899999999999999,0.0133
2025,名古屋グランパス,16,11.6353,0.0527,0.0,0.0034999999999999996,0.0267
2025,ガンバ大阪,9,11.819,0.0861,0.0001,0.0033,0.0306
2025,ファジアーノ岡山,13,11.987,0.121,0.0,0.0017000000000000001,0.025799999999999997
2025,東京ヴェルディ,17,13.8825,0.0925,0.0,0.0005,0.10169999999999998
2025,アビスパ福岡,12,14.367,0.0907,0.0,0.0001,0.137
2025,湘南ベルマーレ,19,15.9764,0.111,0.0,0.0,0.315
2025,ＦＣ東京,11,16.1697,0.0279,0.0,0.0,0.36240000000000006
2025,横浜ＦＣ,18,17.0056,0.1932,0.0,0.0,0.4895
2025,横浜Ｆ・マリノス,15,18.1623,0.0478,0.0,0.0,0.7146999999999999
2025,アルビレックス新潟,20,18.4831,0.3872,0.0,0.0,0.7747999999999999
