rank,prev_setting_name,prev_weight,prev_decay,elo_mode,elo_lambda_weight,elo_update_every,n_sim,mae,max_error,kawasaki_actual_position,kawasaki_avg_pred_position,kawasaki_error,kashiwa_actual_position,kashiwa_avg_pred_position,kashiwa_error,kyoto_actual_position,kyoto_avg_pred_position,kyoto_error,shimizu_actual_position,shimizu_avg_pred_position,shimizu_error,machida_actual_position,machida_avg_pred_position,machida_error,nagoya_actual_position,nagoya_avg_pred_position,nagoya_error,yokohamafm_actual_position,yokohamafm_avg_pred_position,yokohamafm_error,fctokyo_actual_position,fctokyo_avg_pred_position,fctokyo_error,delta_vs_prev060_decay0985_elo010_fixed,delta_vs_prev060_decay0985_elo020_fixed,rank_within_prev_setting,rank_within_update_every
1,prev060_decay0985,0.6,0.985,lambda_dynamic,0.1,0,2000,2.1727000000000003,4.7225,8,5.031000000000001,2.9689999999999994,2,6.7225,4.7225,3,6.060499999999998,3.0604999999999984,14,10.372000000000003,3.6279999999999966,6,8.686999999999998,2.6869999999999976,16,12.753999999999998,3.246000000000002,15,17.438000000000002,2.4380000000000024,11,15.596000000000002,4.596000000000002,0.0,-0.00934999999999997,1,1
2,prev060_decay0985,0.6,0.985,lambda_dynamic,0.1,5,2000,2.1730999999999994,4.699000000000001,8,4.980499999999999,3.0195000000000007,2,6.699000000000001,4.699000000000001,3,5.9125000000000005,2.9125000000000005,14,10.464000000000002,3.535999999999998,6,8.750999999999998,2.7509999999999977,16,12.667500000000004,3.332499999999996,15,17.494,2.4939999999999998,11,15.5265,4.5265,0.00039999999999906777,-0.008950000000000902,2,1
3,prev060_decay0985,0.6,0.985,lambda_dynamic,0.1,3,2000,2.1733,4.6995000000000005,8,4.9815000000000005,3.0184999999999995,2,6.6995000000000005,4.6995000000000005,3,5.921,2.9210000000000003,14,10.457999999999998,3.5420000000000016,6,8.738999999999999,2.738999999999999,16,12.665500000000003,3.3344999999999967,15,17.485,2.4849999999999994,11,15.526,4.526,0.0005999999999994898,-0.00875000000000048,3,1
4,prev060_decay0985,0.6,0.985,lambda_dynamic,0.1,1,2000,2.1740500000000003,4.700000000000001,8,4.9830000000000005,3.0169999999999995,2,6.700000000000001,4.700000000000001,3,5.922499999999999,2.9224999999999994,14,10.457,3.5429999999999993,6,8.740999999999998,2.740999999999998,16,12.6655,3.3345000000000002,15,17.4865,2.4864999999999995,11,15.528,4.5280000000000005,0.0013499999999999623,-0.008000000000000007,4,1
5,prev060_decay0985,0.6,0.985,lambda_dynamic,0.15,5,2000,2.1777999999999995,4.708,8,5.038,2.9619999999999997,2,6.708,4.708,3,6.090999999999999,3.0909999999999993,14,10.365,3.635,6,8.6,2.5999999999999996,16,12.661,3.3390000000000004,15,17.4655,2.4654999999999987,11,15.627999999999998,4.627999999999998,0.005099999999999216,-0.004250000000000753,5,2
6,prev060_decay0985,0.6,0.985,lambda_dynamic,0.15,3,2000,2.1787499999999995,4.730499999999999,8,5.0365,2.9635,2,6.730499999999999,4.730499999999999,3,6.091,3.091,14,10.3335,3.666499999999999,6,8.594,2.5939999999999994,16,12.653500000000001,3.346499999999999,15,17.479,2.478999999999999,11,15.6125,4.612500000000001,0.006049999999999223,-0.0033000000000007468,6,2
7,prev060_decay0985,0.6,0.985,lambda_dynamic,0.15,1,2000,2.1807499999999997,4.7345,8,5.033,2.9669999999999996,2,6.7345,4.7345,3,6.0995,3.0995,14,10.332500000000003,3.667499999999997,6,8.590499999999999,2.5904999999999987,16,12.649000000000001,3.350999999999999,15,17.474,2.474,11,15.615499999999999,4.615499999999999,0.008049999999999446,-0.001300000000000523,7,2
8,prev060_decay0985,0.6,0.985,lambda_dynamic,0.2,0,2000,2.1820500000000003,4.722,8,4.939000000000001,3.060999999999999,2,6.722,4.722,3,6.0360000000000005,3.0360000000000005,14,10.3705,3.6295,6,8.761,2.7609999999999992,16,12.7365,3.2635000000000005,15,17.578,2.5779999999999994,11,15.481,4.481,0.00934999999999997,0.0,8,2
9,prev060_decay0985,0.6,0.985,lambda_dynamic,0.05,1,2000,2.1834500000000006,4.651000000000001,8,5.027999999999999,2.9720000000000013,2,6.651000000000001,4.651000000000001,3,5.9545,2.9545000000000003,14,10.437999999999999,3.562000000000001,6,8.792499999999999,2.7924999999999986,16,12.689499999999997,3.310500000000003,15,17.524500000000003,2.5245000000000033,11,15.484,4.484,0.01075000000000026,0.00140000000000029,9,3
10,prev060_decay0985,0.6,0.985,lambda_dynamic,0.05,5,2000,2.1835000000000004,4.649000000000001,8,5.028999999999999,2.971000000000001,2,6.649000000000001,4.649000000000001,3,5.955000000000001,2.955000000000001,14,10.4385,3.5615000000000006,6,8.7945,2.7944999999999993,16,12.6895,3.3104999999999993,15,17.524500000000003,2.5245000000000033,11,15.483500000000001,4.483500000000001,0.010800000000000143,0.0014500000000001734,10,3
