rank,prev_setting_name,prev_weight,prev_decay,elo_mode,elo_lambda_weight,elo_outcome_weight,elo_outcome_scale,n_sim,mae,max_error,kawasaki_actual_position,kawasaki_avg_pred_position,kawasaki_error,kashiwa_actual_position,kashiwa_avg_pred_position,kashiwa_error,kyoto_actual_position,kyoto_avg_pred_position,kyoto_error,shimizu_actual_position,shimizu_avg_pred_position,shimizu_error,machida_actual_position,machida_avg_pred_position,machida_error,nagoya_actual_position,nagoya_avg_pred_position,nagoya_error,yokohamafm_actual_position,yokohamafm_avg_pred_position,yokohamafm_error,fctokyo_actual_position,fctokyo_avg_pred_position,fctokyo_error,delta_vs_no_elo_same_prev,delta_vs_prev060_decay0985_no_elo,rank_within_prev_setting
1,prev060_decay0985,0.6,0.985,outcome_blend,0.0,0.0,400,2000,2.1866999999999996,4.727,8,4.926000000000001,3.073999999999999,2,6.727,4.727,3,5.834499999999999,2.8344999999999994,14,10.367,3.632999999999999,6,8.727,2.7270000000000003,16,12.613999999999999,3.386000000000001,15,17.5035,2.503499999999999,11,15.601499999999998,4.601499999999998,0.0,0.0,1
2,prev060_decay0985,0.6,0.985,outcome_blend,0.0,0.05,400,2000,2.2057500000000005,4.735,8,4.946999999999999,3.053000000000001,2,6.735,4.735,3,6.123000000000001,3.123000000000001,14,10.504999999999999,3.495000000000001,6,8.636999999999999,2.6369999999999987,16,12.389,3.6110000000000007,15,17.451,2.4510000000000005,11,15.545,4.545,0.0190500000000009,0.0190500000000009,2
3,prev060_decay0985,0.6,0.985,outcome_blend,0.0,0.1,400,2000,2.2097,4.6975,8,4.946000000000001,3.0539999999999994,2,6.6975,4.6975,3,6.109500000000001,3.1095000000000006,14,10.546,3.4540000000000006,6,8.736499999999998,2.7364999999999977,16,12.386,3.6140000000000008,15,17.4625,2.4624999999999986,11,15.538,4.538,0.023000000000000576,0.023000000000000576,3
4,prev060_decay0985,0.6,0.985,outcome_blend,0.0,0.15,400,2000,2.21445,4.6815,8,4.938,3.0620000000000003,2,6.6815,4.6815,3,6.085000000000001,3.085000000000001,14,10.581500000000002,3.418499999999998,6,8.818,2.8179999999999996,16,12.395999999999997,3.6040000000000028,15,17.465,2.465,11,15.5535,4.5535,0.027750000000000163,0.027750000000000163,4
5,prev060_decay0985,0.6,0.985,outcome_blend,0.0,0.2,400,2000,2.21615,4.6610000000000005,8,4.935500000000001,3.064499999999999,2,6.6610000000000005,4.6610000000000005,3,6.069499999999998,3.069499999999998,14,10.6515,3.3484999999999996,6,8.914,2.9139999999999997,16,12.393999999999998,3.6060000000000016,15,17.486,2.4860000000000007,11,15.538000000000002,4.538000000000002,0.029450000000000198,0.029450000000000198,5
6,prev060_decay0985,0.6,0.985,outcome_blend,0.0,0.25,400,2000,2.2163,4.639,8,4.942999999999999,3.0570000000000013,2,6.639,4.639,3,6.0425,3.0425000000000004,14,10.712000000000002,3.2879999999999985,6,8.994999999999997,2.9949999999999974,16,12.415000000000003,3.5849999999999973,15,17.502000000000002,2.5020000000000024,11,15.525500000000001,4.525500000000001,0.029600000000000293,0.029600000000000293,6
7,prev040_decay0995,0.4,0.995,outcome_blend,0.0,0.05,400,2000,2.2177,4.768000000000001,8,4.792999999999999,3.2070000000000007,2,6.102999999999999,4.102999999999999,3,5.477500000000001,2.477500000000001,14,10.4025,3.5975,6,9.2875,3.2874999999999996,16,11.9175,4.0825,15,17.760999999999996,2.7609999999999957,11,15.768,4.768000000000001,-0.008449999999999847,0.03100000000000014,1
8,prev040_decay0995,0.4,0.995,outcome_blend,0.0,0.1,400,2000,2.2214499999999995,4.7555,8,4.8005,3.1994999999999996,2,6.096,4.096,3,5.4735,2.4734999999999996,14,10.464,3.5359999999999996,6,9.3575,3.3575,16,11.9345,4.0655,15,17.769999999999996,2.769999999999996,11,15.7555,4.7555,-0.0047000000000001485,0.03474999999999984,2
9,prev040_decay0995,0.4,0.995,outcome_blend,0.0,0.0,400,2000,2.2261499999999996,4.840999999999999,8,4.721500000000001,3.2784999999999993,2,6.082999999999999,4.082999999999999,3,5.433999999999999,2.4339999999999993,14,10.243499999999997,3.7565000000000026,6,9.471,3.471,16,12.0655,3.9345,15,17.868000000000002,2.868000000000002,11,15.841,4.840999999999999,0.0,0.039449999999999985,3
10,prev040_decay0995,0.4,0.995,outcome_blend,0.0,0.15,400,2000,2.2261500000000005,4.755500000000001,8,4.8115,3.1885000000000003,2,6.099,4.099,3,5.485000000000001,2.485000000000001,14,10.508500000000002,3.4914999999999985,6,9.410499999999999,3.410499999999999,16,11.945499999999997,4.054500000000003,15,17.77,2.7699999999999996,11,15.755500000000001,4.755500000000001,8.881784197001252e-16,0.03945000000000087,4
11,prev040_decay0995,0.4,0.995,outcome_blend,0.0,0.2,400,2000,2.2276999999999996,4.738999999999999,8,4.8205,3.1795,2,6.112499999999999,4.112499999999999,3,5.499,2.4989999999999997,14,10.577000000000002,3.4229999999999983,6,9.465000000000002,3.4650000000000016,16,11.9745,4.025499999999999,15,17.753,2.753,11,15.738999999999999,4.738999999999999,0.0015499999999999403,0.040999999999999925,5
12,prev040_decay0995,0.4,0.995,outcome_blend,0.0,0.25,400,2000,2.2279,4.7280000000000015,8,4.829999999999998,3.1700000000000017,2,6.116,4.116,3,5.5200000000000005,2.5200000000000005,14,10.630999999999998,3.3690000000000015,6,9.503999999999998,3.503999999999998,16,11.989500000000001,4.010499999999999,15,17.738500000000002,2.738500000000002,11,15.728000000000002,4.7280000000000015,0.0017500000000003624,0.04120000000000035,6
