rank,prev_setting_name,prev_weight,prev_decay,elo_lambda_weight,n_sim,pressure_setting_name,use_pressure_effects,late_season_start_ratio,relegation_points_window,title_points_window,use_title_rank_based_pressure,title_points_sub_factor_floor,relegation_attack_lambda_boost,relegation_defense_lambda_boost,title_attack_lambda_boost,title_attack_lambda_debuff,title_defense_lambda_boost,title_chaser_max_rank,leader_attack_lambda_debuff,chaser_attack_lambda_boost,chaser_defense_lambda_boost,draw_shift_relegation,draw_shift_title,max_draw_shift,sim_draw_rate,mae,max_error,kawasaki_actual_position,kawasaki_avg_pred_position,kawasaki_error,kashiwa_actual_position,kashiwa_avg_pred_position,kashiwa_error,kyoto_actual_position,kyoto_avg_pred_position,kyoto_error,shimizu_actual_position,shimizu_avg_pred_position,shimizu_error,machida_actual_position,machida_avg_pred_position,machida_error,nagoya_actual_position,nagoya_avg_pred_position,nagoya_error,yokohamafm_actual_position,yokohamafm_avg_pred_position,yokohamafm_error,fctokyo_actual_position,fctokyo_avg_pred_position,fctokyo_error,delta_vs_pressure_off
1,prev040_decay0995,0.4,0.995,0.2,1000,relegation_mid_title_boost_mid,True,0.65,6.0,6.0,True,0.3,0.04,0.04,0.05,0.0,0.03,4,0.0,0.0,0.0,0.035,0.0,0.08,0.28281052631578946,2.1851999999999996,4.732000000000001,8,4.752000000000001,3.2479999999999993,2,6.0,4.0,3,5.343999999999998,2.3439999999999976,14,10.321000000000002,3.6789999999999985,6,9.48,3.4800000000000004,16,12.038,3.9619999999999997,15,17.895,2.8949999999999996,11,15.732000000000001,4.732000000000001,-0.04560000000000031
2,prev040_decay0995,0.4,0.995,0.2,1000,title_boost_mid_late070,True,0.7,6.0,6.0,True,0.3,0.0,0.0,0.05,0.0,0.03,4,0.0,0.0,0.0,0.0,0.0,0.0,0.28493684210526316,2.2037999999999998,4.900000000000002,8,4.715000000000001,3.2849999999999993,2,6.036,4.036,3,5.365,2.365,14,10.367000000000003,3.6329999999999973,6,9.395000000000001,3.3950000000000014,16,11.969,4.031000000000001,15,17.808,2.808,11,15.900000000000002,4.900000000000002,-0.027000000000000135
3,prev040_decay0995,0.4,0.995,0.2,1000,title_boost_strong,True,0.65,6.0,6.0,True,0.3,0.0,0.0,0.07,0.0,0.04,4,0.0,0.0,0.0,0.0,0.0,0.0,0.28233157894736843,2.2058,4.925000000000001,8,4.731000000000001,3.2689999999999992,2,6.016,4.016,3,5.4190000000000005,2.4190000000000005,14,10.213000000000001,3.786999999999999,6,9.201000000000002,3.2010000000000023,16,12.09,3.91,15,17.830000000000002,2.830000000000002,11,15.925,4.925000000000001,-0.02499999999999991
4,prev040_decay0995,0.4,0.995,0.2,1000,relegation_mid_title_boost_weak,True,0.65,6.0,6.0,True,0.3,0.04,0.04,0.03,0.0,0.02,4,0.0,0.0,0.0,0.035,0.0,0.08,0.2830526315789474,2.2104,4.7280000000000015,8,4.776,3.224,2,6.066999999999999,4.066999999999999,3,5.471000000000001,2.471000000000001,14,10.288000000000002,3.711999999999998,6,9.316,3.3160000000000007,16,12.161000000000003,3.838999999999997,15,17.909,2.908999999999999,11,15.728000000000002,4.7280000000000015,-0.020399999999999974
5,prev040_decay0995,0.4,0.995,0.2,1000,title_boost_mid,True,0.65,6.0,6.0,True,0.3,0.0,0.0,0.05,0.0,0.03,4,0.0,0.0,0.0,0.0,0.0,0.0,0.2808473684210526,2.2226,4.836000000000002,8,4.781,3.2190000000000003,2,6.06,4.06,3,5.355000000000001,2.3550000000000013,14,10.183000000000002,3.8169999999999984,6,9.272,3.2720000000000002,16,12.103999999999997,3.8960000000000026,15,17.931,2.931000000000001,11,15.836000000000002,4.836000000000002,-0.008199999999999985
6,prev040_decay0995,0.4,0.995,0.2,1000,relegation_weak_title_boost_weak,True,0.65,6.0,6.0,True,0.3,0.02,0.02,0.03,0.0,0.02,4,0.0,0.0,0.0,0.02,0.0,0.06,0.28452105263157895,2.2244,4.829000000000001,8,4.669,3.3310000000000004,2,5.994,3.9939999999999998,3,5.629999999999999,2.629999999999999,14,10.43,3.5700000000000003,6,9.357000000000001,3.357000000000001,16,12.049,3.9510000000000005,15,17.768,2.7680000000000007,11,15.829,4.829000000000001,-0.006399999999999739
7,prev040_decay0995,0.4,0.995,0.2,1000,title_boost_mid_window4,True,0.65,6.0,4.0,True,0.3,0.0,0.0,0.05,0.0,0.03,4,0.0,0.0,0.0,0.0,0.0,0.0,0.28346315789473686,2.2246000000000006,4.73,8,4.581999999999999,3.418000000000001,2,6.042999999999999,4.042999999999999,3,5.488999999999999,2.488999999999999,14,10.228000000000002,3.7719999999999985,6,9.366,3.3659999999999997,16,12.158000000000001,3.8419999999999987,15,17.771,2.771000000000001,11,15.73,4.73,-0.006199999999999317
8,prev040_decay0995,0.4,0.995,0.2,1000,title_boost_weak,True,0.65,6.0,6.0,True,0.3,0.0,0.0,0.03,0.0,0.02,4,0.0,0.0,0.0,0.0,0.0,0.0,0.2834894736842105,2.2251000000000003,4.866,8,4.672,3.3280000000000003,2,5.909,3.909,3,5.51,2.51,14,10.413,3.5869999999999997,6,9.416,3.4160000000000004,16,12.167,3.833,15,17.784,2.783999999999999,11,15.866,4.866,-0.005699999999999594
9,prev040_decay0995,0.4,0.995,0.2,1000,pressure_off,False,0.65,6.0,6.0,True,0.3,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.28095263157894734,2.2308,4.818000000000001,8,4.7330000000000005,3.2669999999999995,2,6.011000000000001,4.011000000000001,3,5.285,2.285,14,10.398,3.6020000000000003,6,9.461000000000002,3.461000000000002,16,11.857999999999999,4.142000000000001,15,17.853,2.8530000000000015,11,15.818000000000001,4.818000000000001,0.0
10,prev040_decay0995,0.4,0.995,0.2,1000,relegation_mid_leader_chaser_mid,True,0.65,6.0,6.0,True,0.3,0.04,0.04,0.0,0.0,0.0,4,0.04,0.04,0.03,0.035,0.015,0.08,0.28485263157894736,2.2345999999999995,4.9510000000000005,8,4.798,3.202,2,6.117000000000001,4.117000000000001,3,5.276999999999999,2.2769999999999992,14,10.357,3.6430000000000007,6,9.356,3.356,16,11.991999999999999,4.008000000000001,15,17.938,2.937999999999999,11,15.951,4.9510000000000005,0.0037999999999995815
