rank,prev_setting_name,prev_weight,prev_decay,elo_lambda_weight,n_sim,pressure_setting_name,use_pressure_effects,late_season_start_ratio,relegation_points_window,title_points_window,relegation_attack_lambda_boost,relegation_defense_lambda_boost,title_attack_lambda_debuff,draw_shift_relegation,draw_shift_title,max_draw_shift,sim_draw_rate,mae,max_error,kawasaki_actual_position,kawasaki_avg_pred_position,kawasaki_error,kashiwa_actual_position,kashiwa_avg_pred_position,kashiwa_error,kyoto_actual_position,kyoto_avg_pred_position,kyoto_error,shimizu_actual_position,shimizu_avg_pred_position,shimizu_error,machida_actual_position,machida_avg_pred_position,machida_error,nagoya_actual_position,nagoya_avg_pred_position,nagoya_error,yokohamafm_actual_position,yokohamafm_avg_pred_position,yokohamafm_error,fctokyo_actual_position,fctokyo_avg_pred_position,fctokyo_error,delta_vs_pressure_off
1,prev060_decay0985,0.6,0.985,0.1,1000,pressure_off,False,0.65,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2860421052631579,2.1758,4.803,8,4.975999999999999,3.024000000000001,2,6.803,4.803,3,6.139,3.1390000000000002,14,10.248000000000001,3.751999999999999,6,8.623000000000001,2.623000000000001,16,12.759,3.2409999999999997,15,17.417,2.4170000000000016,11,15.66,4.66,0.0
2,prev060_decay0985,0.6,0.985,0.1,1000,both_weak,True,0.65,6.0,6.0,0.02,0.02,0.03,0.02,0.025,0.06,0.28707894736842104,2.1890999999999994,4.6419999999999995,8,4.932,3.0679999999999996,2,6.5600000000000005,4.5600000000000005,3,6.22,3.2199999999999998,14,10.270999999999999,3.729000000000001,6,8.564,2.564,16,12.606,3.394,15,17.549,2.5489999999999995,11,15.642,4.6419999999999995,0.013299999999999201
3,prev060_decay0985,0.6,0.985,0.1,1000,both_mid,True,0.65,6.0,6.0,0.04,0.04,0.05,0.035,0.04,0.08,0.28722105263157893,2.1955000000000005,4.641,8,4.971,3.029,2,6.641,4.641,3,5.9910000000000005,2.9910000000000005,14,10.543999999999999,3.4560000000000013,6,8.667000000000002,2.6670000000000016,16,12.560999999999998,3.439000000000002,15,17.517000000000003,2.517000000000003,11,15.564,4.564,0.019700000000000273
4,prev060_decay0985,0.6,0.985,0.1,1000,relegation_weak_title_off,True,0.65,6.0,6.0,0.02,0.02,0.0,0.02,0.0,0.06,0.2869842105263158,2.2037,4.797000000000001,8,4.968000000000001,3.031999999999999,2,6.527,4.527,3,6.149000000000001,3.149000000000001,14,10.177,3.8230000000000004,6,8.447999999999999,2.4479999999999986,16,12.533,3.4670000000000005,15,17.631999999999998,2.631999999999998,11,15.797,4.797000000000001,0.027899999999999814
5,prev060_decay0985,0.6,0.985,0.1,1000,both_mid_late070,True,0.7,6.0,6.0,0.04,0.04,0.05,0.035,0.04,0.08,0.28868421052631577,2.2064,4.673,8,4.789000000000001,3.2109999999999994,2,6.574999999999999,4.574999999999999,3,6.079,3.0789999999999997,14,10.483,3.5169999999999995,6,8.751000000000001,2.7510000000000012,16,12.606,3.394,15,17.445999999999998,2.445999999999998,11,15.673,4.673,0.03059999999999974
6,prev060_decay0985,0.6,0.985,0.1,1000,both_mid_window4,True,0.65,4.0,4.0,0.04,0.04,0.05,0.035,0.04,0.08,0.28793684210526316,2.2073,4.742000000000002,8,4.849,3.151,2,6.742000000000002,4.742000000000002,3,5.957999999999999,2.9579999999999993,14,10.535,3.465,6,8.716000000000001,2.716000000000001,16,12.536999999999999,3.463000000000001,15,17.524,2.524000000000001,11,15.639000000000001,4.639000000000001,0.03149999999999986
7,prev060_decay0985,0.6,0.985,0.1,1000,relegation_mid_title_off,True,0.65,6.0,6.0,0.04,0.04,0.0,0.035,0.0,0.08,0.28656315789473685,2.2081000000000004,4.709000000000001,8,4.898000000000002,3.1019999999999976,2,6.671000000000001,4.671000000000001,3,6.159999999999999,3.1599999999999993,14,10.275000000000002,3.724999999999998,6,8.641,2.641,16,12.529,3.471,15,17.476,2.475999999999999,11,15.709000000000001,4.709000000000001,0.03230000000000022
8,prev060_decay0985,0.6,0.985,0.1,1000,title_weak_relegation_off,True,0.65,6.0,6.0,0.0,0.0,0.03,0.0,0.025,0.06,0.2869894736842105,2.218,4.642,8,4.948,3.0519999999999996,2,6.642,4.642,3,6.003,3.003,14,10.498000000000001,3.501999999999999,6,8.606000000000002,2.6060000000000016,16,12.686,3.314,15,17.64,2.6400000000000006,11,15.501000000000001,4.501000000000001,0.04219999999999979
9,prev060_decay0985,0.6,0.985,0.1,1000,both_strong,True,0.65,6.0,6.0,0.06,0.06,0.07,0.05,0.055,0.1,0.2901578947368421,2.2283999999999993,4.842999999999999,8,4.942999999999999,3.0570000000000013,2,6.842999999999999,4.842999999999999,3,6.119000000000001,3.1190000000000007,14,10.259000000000002,3.740999999999998,6,8.761000000000001,2.761000000000001,16,12.474,3.526,15,17.571,2.5710000000000015,11,15.652,4.651999999999999,0.05259999999999909
10,prev060_decay0985,0.6,0.985,0.1,1000,title_mid_relegation_off,True,0.65,6.0,6.0,0.0,0.0,0.05,0.0,0.04,0.08,0.28728947368421054,2.2328,4.848999999999999,8,4.9639999999999995,3.0360000000000005,2,6.848999999999999,4.848999999999999,3,6.022999999999999,3.022999999999999,14,10.386999999999999,3.6130000000000013,6,8.820000000000002,2.820000000000002,16,12.621999999999998,3.378000000000002,15,17.611,2.6110000000000007,11,15.501,4.5009999999999994,0.05699999999999994
