rank,prev_setting_name,prev_weight,prev_decay,elo_lambda_weight,n_sim,pressure_setting_name,use_pressure_effects,late_season_start_ratio,relegation_points_window,title_points_window,relegation_attack_lambda_boost,relegation_defense_lambda_boost,title_attack_lambda_boost,title_attack_lambda_debuff,title_defense_lambda_boost,title_chaser_max_rank,leader_attack_lambda_debuff,chaser_attack_lambda_boost,chaser_defense_lambda_boost,draw_shift_relegation,draw_shift_title,max_draw_shift,sim_draw_rate,mae,max_error,kawasaki_actual_position,kawasaki_avg_pred_position,kawasaki_error,kashiwa_actual_position,kashiwa_avg_pred_position,kashiwa_error,kyoto_actual_position,kyoto_avg_pred_position,kyoto_error,shimizu_actual_position,shimizu_avg_pred_position,shimizu_error,machida_actual_position,machida_avg_pred_position,machida_error,nagoya_actual_position,nagoya_avg_pred_position,nagoya_error,yokohamafm_actual_position,yokohamafm_avg_pred_position,yokohamafm_error,fctokyo_actual_position,fctokyo_avg_pred_position,fctokyo_error,delta_vs_pressure_off
1,prev060_decay0985,0.6,0.985,0.1,1000,pressure_off,False,0.65,6.0,6.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.2860421052631579,2.1758,4.803,8,4.975999999999999,3.024000000000001,2,6.803,4.803,3,6.139,3.1390000000000002,14,10.248000000000001,3.751999999999999,6,8.623000000000001,2.623000000000001,16,12.759,3.2409999999999997,15,17.417,2.4170000000000016,11,15.66,4.66,0.0
2,prev060_decay0985,0.6,0.985,0.1,1000,relegation_mid_leader_chaser_mid,True,0.65,6.0,6.0,0.04,0.04,0.0,0.0,0.0,4,0.04,0.04,0.03,0.035,0.015,0.08,0.2872842105263158,2.1907000000000005,4.670999999999999,8,4.906,3.0940000000000003,2,6.670999999999999,4.670999999999999,3,5.954,2.9539999999999997,14,10.397,3.6029999999999998,6,8.620000000000001,2.620000000000001,16,12.471,3.529,15,17.492,2.492000000000001,11,15.55,4.550000000000001,0.014900000000000357
3,prev060_decay0985,0.6,0.985,0.1,1000,title_boost_strong,True,0.65,6.0,6.0,0.0,0.0,0.07,0.0,0.04,4,0.0,0.0,0.0,0.0,0.0,0.0,0.28568947368421055,2.1909,4.638999999999999,8,4.917999999999998,3.0820000000000016,2,6.638999999999999,4.638999999999999,3,6.0729999999999995,3.0729999999999995,14,10.349,3.651,6,8.535,2.535,16,12.546999999999997,3.453000000000003,15,17.63,2.629999999999999,11,15.574000000000002,4.574000000000002,0.015099999999999891
4,prev060_decay0985,0.6,0.985,0.1,1000,title_boost_weak,True,0.65,6.0,6.0,0.0,0.0,0.03,0.0,0.02,4,0.0,0.0,0.0,0.0,0.0,0.0,0.28545789473684213,2.1961000000000004,4.676,8,5.0409999999999995,2.9590000000000005,2,6.676,4.676,3,6.044000000000001,3.0440000000000014,14,10.393999999999998,3.6060000000000016,6,8.646000000000003,2.6460000000000026,16,12.516999999999998,3.4830000000000023,15,17.581000000000003,2.581000000000003,11,15.613000000000001,4.613000000000001,0.020300000000000207
5,prev060_decay0985,0.6,0.985,0.1,1000,relegation_mid_title_boost_mid,True,0.65,6.0,6.0,0.04,0.04,0.05,0.0,0.03,4,0.0,0.0,0.0,0.035,0.0,0.08,0.2876947368421053,2.1986,4.67,8,4.824000000000001,3.1759999999999993,2,6.647,4.647,3,6.094999999999999,3.094999999999999,14,10.369000000000002,3.6309999999999985,6,8.561,2.561,16,12.570999999999998,3.429000000000002,15,17.671,2.6709999999999994,11,15.67,4.67,0.02279999999999971
6,prev060_decay0985,0.6,0.985,0.1,1000,relegation_weak_title_boost_weak,True,0.65,6.0,6.0,0.02,0.02,0.03,0.0,0.02,4,0.0,0.0,0.0,0.02,0.0,0.06,0.28687368421052634,2.2129000000000003,4.777000000000001,8,4.909000000000001,3.0909999999999993,2,6.6499999999999995,4.6499999999999995,3,6.1,3.0999999999999996,14,10.254000000000001,3.7459999999999987,6,8.530000000000001,2.530000000000001,16,12.488999999999999,3.511000000000001,15,17.575000000000003,2.575000000000003,11,15.777000000000001,4.777000000000001,0.03710000000000013
7,prev060_decay0985,0.6,0.985,0.1,1000,title_boost_mid,True,0.65,6.0,6.0,0.0,0.0,0.05,0.0,0.03,4,0.0,0.0,0.0,0.0,0.0,0.0,0.28637368421052634,2.2138000000000004,4.7620000000000005,8,4.936,3.064,2,6.7620000000000005,4.7620000000000005,3,6.087999999999998,3.0879999999999983,14,10.267,3.7330000000000005,6,8.558000000000002,2.5580000000000016,16,12.570000000000002,3.429999999999998,15,17.617,2.617000000000001,11,15.618,4.618,0.038000000000000256
8,prev060_decay0985,0.6,0.985,0.1,1000,title_boost_mid_window4,True,0.65,6.0,4.0,0.0,0.0,0.05,0.0,0.03,4,0.0,0.0,0.0,0.0,0.0,0.0,0.2861157894736842,2.2146999999999997,4.7330000000000005,8,4.9430000000000005,3.0569999999999995,2,6.7330000000000005,4.7330000000000005,3,6.106999999999998,3.1069999999999984,14,10.289000000000001,3.7109999999999985,6,8.609,2.609,16,12.485999999999999,3.514000000000001,15,17.596,2.596,11,15.589,4.589,0.03889999999999949
9,prev060_decay0985,0.6,0.985,0.1,1000,leader_debuff_chaser_boost_late070,True,0.7,6.0,6.0,0.0,0.0,0.0,0.0,0.0,4,0.04,0.04,0.03,0.0,0.015,0.05,0.28647894736842106,2.219,4.701,8,4.988,3.0119999999999996,2,6.701,4.701,3,5.921000000000001,2.921000000000001,14,10.376000000000001,3.6239999999999988,6,8.587,2.5869999999999997,16,12.576999999999998,3.423000000000002,15,17.647,2.6469999999999985,11,15.586,4.586,0.04319999999999968
10,prev060_decay0985,0.6,0.985,0.1,1000,leader_debuff_chaser_boost_mid,True,0.65,6.0,6.0,0.0,0.0,0.0,0.0,0.0,4,0.04,0.04,0.03,0.0,0.015,0.05,0.2864578947368421,2.2196,4.703,8,4.965,3.035,2,6.703,4.703,3,5.916,2.9160000000000004,14,10.345000000000002,3.6549999999999976,6,8.630999999999998,2.6309999999999985,16,12.584,3.4160000000000004,15,17.624000000000002,2.6240000000000023,11,15.603000000000002,4.6030000000000015,0.04379999999999962
