year,cutoff_matches,beta_elo,teams,season_matches,known_matches,future_matches,known_ratio,cutoff_date,cutoff_mode,min_team_games_at_cutoff,max_team_games_at_cutoff,avg_team_games_at_cutoff,league_home_avg_known,league_away_avg_known,prior_matches_used,mae,mean_prob_actual_position,sim_draw_rate,actual_future_draw_rate,sim_goals_per_match,actual_future_goals_per_match,mean_lambda_home,mean_lambda_away,mean_lambda_total,mean_elo_factor,mean_abs_elo_diff
2023,5,0.0,18,306,45,261,0.14705882352941177,2023-03-19,all_teams_at_least,5,5,5.0,1.2222222222222223,1.1777777777777778,12424,2.6879,0.17130555555555554,0.27188505747126435,0.24904214559386972,2.3586793103448276,2.5593869731800765,1.2297822881547993,1.1288580169622717,2.358640305117071,1.0,66.933122605364
2024,5,0.0,20,380,59,321,0.15526315789473685,2024-04-03,all_teams_at_least,5,6,5.9,1.2881355932203389,1.1864406779661016,13513,2.77193,0.10542,0.27310093457943924,0.26791277258566976,2.3807753894081,2.691588785046729,1.2312214068187146,1.1501953586283014,2.381416765447016,1.0,64.7335046728972
2025,5,0.0,20,380,58,322,0.15263157894736842,2025-03-16,all_teams_at_least,5,6,5.8,1.1379310344827587,0.9310344827586207,14083,4.0736099999999995,0.09055500000000001,0.30805465838509316,0.2484472049689441,2.0042012422360247,2.453416149068323,1.0537044086071048,0.9502149258217084,2.003919334428813,1.0,54.468627329192515
2023,5,0.05,18,306,45,261,0.14705882352941177,2023-03-19,all_teams_at_least,5,5,5.0,1.2222222222222223,1.1777777777777778,12424,2.653033333333333,0.17190555555555553,0.27098275862068966,0.24904214559386972,2.3626095785440615,2.5593869731800765,1.2314850862273157,1.131968999393134,2.36345408562045,1.0001049946665495,66.933122605364
2024,5,0.05,20,380,59,321,0.15526315789473685,2024-04-03,all_teams_at_least,5,6,5.9,1.2881355932203389,1.1864406779661016,13513,2.7631800000000006,0.10425500000000001,0.27262367601246107,0.26791277258566976,2.387552336448598,2.691588785046729,1.2337747093548368,1.1529170794925603,2.3866917888473966,1.000120717350648,64.7335046728972
2025,5,0.05,20,380,58,322,0.15263157894736842,2025-03-16,all_teams_at_least,5,6,5.8,1.1379310344827587,0.9310344827586207,14083,4.05515,0.0923,0.3071006211180124,0.2484472049689441,2.0072152173913045,2.453416149068323,1.0541448753012177,0.9535854109749894,2.0077302862762068,0.9997598909360724,54.468627329192515
2023,5,0.1,18,306,45,261,0.14705882352941177,2023-03-19,all_teams_at_least,5,5,5.0,1.2222222222222223,1.1777777777777778,12424,2.615277777777778,0.17469999999999997,0.27032758620689656,0.24904214559386972,2.3690540229885055,2.5593869731800765,1.2331115583034882,1.1352096615292262,2.3683212198327146,1.0003183655712118,66.933122605364
2024,5,0.1,20,380,59,321,0.15526315789473685,2024-04-03,all_teams_at_least,5,6,5.9,1.2881355932203389,1.1864406779661016,13513,2.7486500000000005,0.105845,0.2712445482866044,0.26791277258566976,2.392807476635514,2.691588785046729,1.2362427314762687,1.1557394288787215,2.3919821603549902,1.0003372991292496,64.7335046728972
2025,5,0.1,20,380,58,322,0.15263157894736842,2025-03-16,all_teams_at_least,5,6,5.8,1.1379310344827587,0.9310344827586207,14083,4.06891,0.09281,0.30641180124223605,0.2484472049689441,2.0122,2.453416149068323,1.0546684449830968,0.9570402409693112,2.011708685952408,0.999591961866032,54.468627329192515
2023,5,0.15,18,306,45,261,0.14705882352941177,2023-03-19,all_teams_at_least,5,5,5.0,1.2222222222222223,1.1777777777777778,12424,2.5764444444444448,0.17648888888888886,0.26903486590038317,0.24904214559386972,2.3733459770114944,2.5593869731800765,1.2348727878400652,1.1385809253515233,2.3734537131915885,1.0006401784777228,66.933122605364
2024,5,0.15,20,380,59,321,0.15526315789473685,2024-04-03,all_teams_at_least,5,6,5.9,1.2881355932203389,1.1864406779661016,13513,2.75194,0.10512000000000002,0.2706679127725857,0.26791277258566976,2.39641246105919,2.691588785046729,1.2385811330746557,1.158663068814378,2.397244201889034,1.0006497585726253,64.7335046728972
2025,5,0.15,20,380,58,322,0.15263157894736842,2025-03-16,all_teams_at_least,5,6,5.8,1.1379310344827587,0.9310344827586207,14083,4.07136,0.09206500000000001,0.305332298136646,0.2484472049689441,2.015633540372671,2.453416149068323,1.0552751263065623,0.9605801344784362,2.015855260784998,0.9994961681582081,54.468627329192515
2023,5,0.2,18,306,45,261,0.14705882352941177,2023-03-19,all_teams_at_least,5,5,5.0,1.2222222222222223,1.1777777777777778,12424,2.5336666666666665,0.1801277777777778,0.2678486590038314,0.24904214559386972,2.381668582375479,2.5593869731800765,1.236769316792984,1.1420837543171682,2.378853071110152,1.0010705314393795,66.933122605364
2024,5,0.2,20,380,59,321,0.15526315789473685,2024-04-03,all_teams_at_least,5,6,5.9,1.2881355932203389,1.1864406779661016,13513,2.74036,0.10668,0.26902118380062306,0.26791277258566976,2.4032426791277257,2.691588785046729,1.240967459522346,1.1616886854355093,2.4026561449578554,1.0010581315869627,64.7335046728972
2025,5,0.2,20,380,58,322,0.15263157894736842,2025-03-16,all_teams_at_least,5,6,5.8,1.1379310344827587,0.9310344827586207,14083,4.06828,0.0937,0.3043378881987578,0.2484472049689441,2.0208611801242236,2.453416149068323,1.055964944814329,0.9642058284303792,2.020170773244708,0.9994724789836863,54.468627329192515
2023,5,0.3,18,306,45,261,0.14705882352941177,2023-03-19,all_teams_at_least,5,5,5.0,1.2222222222222223,1.1777777777777778,12424,2.4784666666666664,0.18450555555555556,0.2660670498084291,0.24904214559386972,2.390116091954023,2.5593869731800765,1.2406315500169751,1.1492081993842993,2.389839749401275,1.0022574114541725,66.933122605364
