rank,team,elo,last_division,matches,last_match_date
1,鹿島アントラーズ,1681.1521803778508,J1,1134,2025-12-06
2,サンフレッチェ広島,1659.5223885900816,J1,1156,2025-12-06
3,柏レイソル,1646.1232915999788,J1,1078,2025-12-06
4,ヴィッセル神戸,1639.9485509270842,J1,994,2025-12-06
5,京都サンガF.C.,1622.0500646949838,J1,1134,2025-12-06
6,ＦＣ町田ゼルビア,1621.0360564456614,J1,523,2025-12-06
7,Ｖ・ファーレン長崎,1609.2159814667912,J2,530,2025-11-29
8,川崎フロンターレ,1592.8979329226045,J1,968,2025-12-06
9,浦和レッズ,1589.422464788658,J1,1144,2025-12-06
10,横浜Ｆ・マリノス,1580.3176252219669,J1,1134,2025-12-06
11,ガンバ大阪,1579.567490697791,J1,1142,2025-12-06
12,徳島ヴォルティス,1573.8268927314853,J2,875,2025-11-29
13,ジェフユナイテッド千葉,1572.164428076834,J2,1232,2025-11-29
14,セレッソ大阪,1566.082306475946,J1,1123,2025-12-06
15,ＦＣ東京,1554.8290078213263,J1,916,2025-12-06
16,ＲＢ大宮アルディージャ,1551.8089347751636,J2,38,2025-11-29
17,モンテディオ山形,1547.7599031948275,J2,1108,2025-11-29
18,水戸ホーリーホック,1546.91302729116,J2,1103,2025-11-29
19,いわきＦＣ,1541.4893503971073,J2,152,2025-11-29
20,アビスパ福岡,1538.5489949940604,J1,1159,2025-12-06
21,ベガルタ仙台,1537.5540943609476,J2,1029,2025-11-29
22,清水エスパルス,1532.2106658922705,J1,1150,2025-12-06
23,大宮アルディージャ,1529.785705249861,J3,992,2024-11-24
24,ジュビロ磐田,1529.1142390816453,J2,1134,2025-11-29
25,ファジアーノ岡山,1522.079760121878,J1,705,2025-12-06
26,栃木シティ,1520.1937894351202,J3,38,2025-11-29
27,名古屋グランパス,1516.7500815880944,J1,1142,2025-12-06
28,東京ヴェルディ,1515.4195650631193,J1,1277,2025-12-06
29,サガン鳥栖,1508.4538802661243,J2,1047,2025-11-29
30,横浜ＦＣ,1506.3111406919381,J1,1029,2025-12-06
31,ヴァンラーレ八戸,1505.4541759045946,J3,244,2025-11-29
32,ＦＣ今治,1505.4303806905837,J2,210,2025-11-29
33,横浜フリューゲルス,1501.1945551619697,J1,228,1998-11-14
34,ＦＣ大阪,1497.469778651621,J3,114,2025-11-29
35,鹿児島ユナイテッドＦＣ,1483.9872559934997,J3,346,2025-11-29
36,テゲバジャーロ宮崎,1483.4267226088623,J3,176,2025-11-29
37,北海道コンサドーレ札幌,1477.4641024689965,J2,1077,2025-11-29
38,Ｊリーグ・アンダー22選抜,1463.82669155149,J3,69,2015-11-14
39,湘南ベルマーレ,1458.959135054206,J1,1255,2025-12-06
40,栃木ＳＣ,1457.670714349791,J3,683,2025-11-29
41,ブラウブリッツ秋田,1456.5208118765186,J2,433,2025-11-29
42,ヴァンフォーレ甲府,1455.178487299256,J2,1067,2025-11-29
43,ＦＣ東京U-23,1454.7551291640607,J3,128,2019-12-08
44,ツエーゲン金沢,1450.7391047689935,J3,487,2025-11-29
45,レノファ山口ＦＣ,1444.1856637691094,J2,448,2025-11-29
46,カターレ富山,1442.7373237746879,J2,625,2025-11-29
47,福島ユナイテッドＦＣ,1440.6432516086634,J3,407,2025-11-29
48,ギラヴァンツ北九州,1437.3677132723706,J3,614,2025-11-29
49,ガンバ大阪U-23,1435.8400602037211,J3,162,2020-12-20
50,藤枝ＭＹＦＣ,1430.6371372478952,J2,411,2025-11-29
51,奈良クラブ,1430.4413994273675,J3,114,2025-11-29
52,アルビレックス新潟,1429.4888744850432,J1,1000,2025-12-06
53,ロアッソ熊本,1428.7647698829742,J2,717,2025-11-29
54,ＦＣ岐阜,1417.8158779708774,J3,713,2025-11-29
55,大分トリニータ,1415.193603456943,J2,1008,2025-11-29
56,セレッソ大阪U-23,1413.9202356434134,J3,162,2020-12-20
57,ガイナーレ鳥取,1412.838766288169,J3,529,2025-11-29
58,松本山雅ＦＣ,1407.0464624975407,J3,552,2025-11-29
59,ザスパ群馬,1403.1884914092273,J3,869,2025-11-29
60,ＳＣ相模原,1394.015153063519,J3,421,2025-11-29
61,カマタマーレ讃岐,1356.9774297816286,J3,454,2025-11-29
62,ＦＣ琉球,1356.6784554141773,J3,445,2025-11-29
63,愛媛ＦＣ,1350.7643364139208,J2,831,2025-11-29
64,横浜スポーツ&カルチャークラブ,1343.9399747122413,J3,369,2024-11-24
65,高知ユナイテッドSC,1338.204662112124,J3,38,2025-11-29
66,アスルクラロ沼津,1329.7135607354421,J3,308,2025-11-29
67,ＡＣ長野パルセイロ,1318.2023059089133,J3,407,2025-11-29
68,いわてグルージャ盛岡,1302.0733071423642,J3,377,2024-11-24
