rank,team,latest_rating,latest_division_in_data,latest_year_in_data,first_seen_year
1,鹿島アントラーズ,1706.999,J1,2025,1993
2,柏レイソル,1682.068,J1,2025,1995
3,サンフレッチェ広島,1671.727,J1,2025,1993
4,京都サンガF.C.,1646.956,J1,2025,1996
5,ヴィッセル神戸,1644.413,J1,2025,1997
6,ＦＣ町田ゼルビア,1625.001,J1,2025,2012
7,横浜Ｆ・マリノス,1608.418,J1,2025,1993
8,Ｖ・ファーレン長崎,1604.937,J2,2025,2013
9,浦和レッズ,1593.499,J1,2025,1993
10,ガンバ大阪,1588.177,J1,2025,1993
11,川崎フロンターレ,1588.177,J1,2025,1999
12,セレッソ大阪,1571.461,J1,2025,1995
13,徳島ヴォルティス,1568.519,J2,2025,2005
14,ＦＣ東京,1567.13,J1,2025,1999
15,ジェフユナイテッド千葉,1558.065,J2,2025,1993
16,いわきＦＣ,1538.888,J2,2025,2023
17,アビスパ福岡,1538.268,J1,2025,1996
18,水戸ホーリーホック,1537.663,J2,2025,2000
19,ＲＢ大宮アルディージャ,1534.035,J2,2025,2025
20,モンテディオ山形,1525.037,J2,2025,1999
21,ベガルタ仙台,1524.694,J2,2025,1999
22,ジュビロ磐田,1513.69,J2,2025,1994
23,名古屋グランパス,1513.613,J1,2025,1993
24,ファジアーノ岡山,1512.8,J1,2025,2009
25,清水エスパルス,1505.499,J1,2025,1993
26,東京ヴェルディ,1502.074,J1,2025,1993
27,横浜フリューゲルス,1500.574,J1,1998,1993
28,横浜ＦＣ,1498.111,J1,2025,2001
29,サガン鳥栖,1494.46,J2,2025,1999
30,ガイナーレ鳥取,1465.904,J2,2013,2011
31,ＦＣ今治,1462.782,J2,2025,2025
32,北海道コンサドーレ札幌,1453.783,J2,2025,1998
33,湘南ベルマーレ,1445.587,J1,2025,1994
34,ＦＣ琉球,1435.712,J2,2022,2019
35,ＳＣ相模原,1433.455,J2,2021,2021
36,ブラウブリッツ秋田,1432.647,J2,2025,2021
37,カマタマーレ讃岐,1426.989,J2,2018,2014
38,ＦＣ岐阜,1421.126,J2,2019,2008
39,ヴァンフォーレ甲府,1420.106,J2,2025,1999
40,レノファ山口ＦＣ,1416.221,J2,2025,2016
41,ギラヴァンツ北九州,1415.058,J2,2021,2010
42,松本山雅ＦＣ,1408.203,J2,2021,2012
43,カターレ富山,1407.979,J2,2025,2009
44,栃木ＳＣ,1401.894,J2,2024,2009
45,藤枝ＭＹＦＣ,1398.061,J2,2025,2023
46,アルビレックス新潟,1397.737,J1,2025,1999
47,ロアッソ熊本,1389.96,J2,2025,2008
48,大宮アルディージャ,1386.874,J2,2023,1999
49,鹿児島ユナイテッドＦＣ,1383.168,J2,2024,2019
50,ツエーゲン金沢,1378.409,J2,2023,2015
51,いわてグルージャ盛岡,1375.756,J2,2022,2022
52,大分トリニータ,1365.875,J2,2025,1999
53,ザスパ群馬,1334.011,J2,2024,2005
54,愛媛ＦＣ,1294.318,J2,2025,2006
