year,division,teams,avg_rating_end,max_rating_end,min_rating_end
1993,J1,10,1500.0,1684.729,1342.491
1994,J1,12,1500.0,1677.723,1369.15
1995,J1,14,1500.0,1656.296,1419.833
1996,J1,16,1500.0,1649.309,1369.785
1997,J1,17,1500.0,1679.963,1332.608
1998,J1,18,1500.0,1719.387,1300.737
1999,J1,16,1500.087,1659.104,1291.697
1999,J2,10,1450.931,1585.931,1275.179
2000,J1,16,1517.837,1640.34,1396.762
2000,J2,11,1431.7,1625.87,1221.416
2001,J1,16,1534.384,1740.988,1409.093
2001,J2,12,1416.986,1527.55,1236.942
2002,J1,16,1539.272,1786.929,1380.492
2002,J2,12,1416.044,1566.735,1269.492
2003,J1,16,1548.222,1702.635,1412.187
2003,J2,12,1408.849,1564.616,1191.178
2004,J1,16,1554.089,1693.601,1434.335
2004,J2,12,1405.055,1617.348,1217.353
2005,J1,18,1549.649,1673.899,1377.597
2005,J2,12,1397.791,1570.957,1210.16
2006,J1,18,1552.716,1720.88,1411.872
2006,J2,13,1401.401,1515.682,1253.815
2007,J1,18,1551.012,1713.828,1360.143
2007,J2,13,1407.602,1551.139,1241.877
2008,J1,18,1558.091,1684.136,1367.743
2008,J2,15,1407.59,1635.106,1251.976
2009,J1,18,1563.01,1682.416,1426.573
2009,J2,18,1412.577,1597.124,1252.24
2010,J1,18,1564.449,1671.692,1343.36
2010,J2,19,1416.653,1621.879,1232.409
2011,J1,18,1574.384,1730.458,1385.484
2011,J2,20,1412.554,1589.978,1259.219
2012,J1,18,1578.911,1677.153,1347.864
2012,J2,22,1415.05,1579.679,1281.948
2013,J1,18,1569.58,1681.333,1367.079
2013,J2,22,1431.424,1626.357,1260.299
2014,J1,18,1579.104,1712.23,1351.396
2014,J2,22,1432.367,1628.68,1251.07
2015,J1,18,1582.484,1744.324,1421.562
2015,J2,22,1437.383,1577.789,1317.004
2016,J1,18,1588.072,1764.84,1403.846
2016,J2,22,1436.719,1621.376,1347.638
2017,J1,18,1589.951,1773.219,1466.934
2017,J2,22,1435.32,1540.692,1228.924
2018,J1,18,1584.328,1740.457,1467.772
2018,J2,22,1443.948,1559.804,1272.253
2019,J1,18,1573.481,1724.775,1474.335
2019,J2,22,1462.879,1636.749,1290.868
2020,J1,18,1575.781,1796.721,1463.67
2020,J2,22,1459.816,1597.637,1321.051
2021,J1,20,1565.375,1812.277,1430.333
2021,J2,22,1454.568,1632.155,1324.145
2022,J1,18,1578.97,1730.329,1487.549
2022,J2,22,1464.951,1609.476,1297.69
2023,J1,18,1574.072,1705.428,1470.908
2023,J2,22,1471.84,1625.807,1331.709
2024,J1,20,1569.857,1697.998,1478.497
2024,J2,20,1466.035,1610.376,1304.719
2025,J1,20,1570.386,1706.999,1397.737
2025,J2,20,1472.086,1604.937,1294.318
