match_no,date,stage,home,away,home_goals,away_goals,k,margin_multiplier,home_elo_before,away_elo_before,expected_home,actual_home,elo_delta_home,home_elo_after,away_elo_after
1,2026-02-07,regional,栃木シティ,ベガルタ仙台,1,4,10.0,1.3862943611198906,1520.1937894351202,1537.5540943609476,0.5468345971383458,0.0,-7.580737184781559,1512.6130522503386,1545.1348315457292
2,2026-02-07,regional,横浜ＦＣ,モンテディオ山形,1,2,10.0,1.0,1506.311140691938,1547.7599031948275,0.5123037356721631,0.0,-5.123037356721632,1501.1881033352163,1552.8829405515492
3,2026-02-07,regional,湘南ベルマーレ,ブラウブリッツ秋田,1,2,10.0,1.0,1458.959135054206,1456.5208118765186,0.5748969636621805,0.0,-5.748969636621805,1453.2101654175842,1462.2697815131403
4,2026-02-07,regional,ＲＢ大宮アルディージャ,松本山雅ＦＣ,2,1,10.0,1.0,1551.8089347751636,1407.0464624975407,0.7542006535946744,1.0,2.4579934640532564,1554.266928239217,1404.5884690334874
5,2026-02-07,regional,ヴァンフォーレ甲府,福島ユナイテッドＦＣ,4,1,10.0,1.3862943611198906,1455.178487299256,1440.6432516086634,0.5918200961865066,1.0,5.658574989791053,1460.837062289047,1434.9846766188723
6,2026-02-07,regional,ジュビロ磐田,ＡＣ長野パルセイロ,0,0,10.0,1.0,1529.114239081645,1318.202305908913,0.8178621255868851,0.5,-3.178621255868851,1525.9356178257763,1321.380927164782
7,2026-02-07,regional,奈良クラブ,徳島ヴォルティス,0,6,10.0,1.75,1430.4413994273675,1573.8268927314853,0.36875301697598717,0.0,-6.453177797079776,1423.9882216302876,1580.2800705285651
8,2026-02-07,regional,ギラヴァンツ北九州,ガイナーレ鳥取,1,3,10.0,1.0986122886681098,1437.3677132723706,1412.838766288169,0.6056403710077432,0.0,-6.653639541026198,1430.7140737313443,1419.4924058291951
9,2026-02-08,regional,藤枝ＭＹＦＣ,ＦＣ岐阜,0,2,10.0,1.0986122886681098,1430.6371372478952,1417.8158779708774,0.5894345273019213,0.0,-6.475600150591692,1424.1615370973036,1424.291478121469
10,2026-02-08,regional,いわきＦＣ,北海道コンサドーレ札幌,1,0,10.0,1.0,1541.4893503971073,1477.4641024689963,0.6584472075541654,1.0,3.415527924458346,1544.9048783215655,1474.048574544538
11,2026-02-08,regional,愛媛ＦＣ,アルビレックス新潟,0,1,10.0,1.0,1350.7643364139208,1429.4888744850432,0.4587559956766982,0.0,-4.587559956766983,1346.176776457154,1434.07643444181
12,2026-02-08,regional,ＦＣ大阪,カマタマーレ讃岐,0,1,10.0,1.0,1497.469778651621,1356.9774297816286,0.749615393961454,0.0,-7.4961539396145405,1489.9736247120065,1364.4735837212431
13,2026-02-08,regional,ＦＣ今治,ツエーゲン金沢,0,0,10.0,1.0,1505.4303806905837,1450.7391047689937,0.6462626766923043,0.5,-1.462626766923043,1503.9677539236607,1452.2017315359167
14,2026-02-08,regional,高知ユナイテッドSC,カターレ富山,3,1,10.0,1.0986122886681098,1338.204662112124,1442.737323774688,0.4221593633341495,1.0,6.3482282433290775,1344.552890355453,1436.389095531359
15,2026-02-08,regional,ロアッソ熊本,レノファ山口ＦＣ,2,1,10.0,1.0,1428.7647698829742,1444.1856637691094,0.549599671164206,1.0,4.504003288357939,1433.2687731713322,1439.6816604807514
16,2026-02-08,regional,鹿児島ユナイテッドＦＣ,テゲバジャーロ宮崎,2,3,10.0,1.0,1483.9872559934995,1483.4267226088623,0.5722531283098908,0.0,-5.722531283098908,1478.2647247104005,1489.1492538919613
17,2026-02-08,regional,ＦＣ琉球,サガン鳥栖,2,2,10.0,1.0,1356.6784554141773,1508.4538802661243,0.3575838458848327,0.5,1.4241615411516728,1358.102616955329,1507.0297187249726
18,2026-02-14,regional,ザスパ群馬,ヴァンラーレ八戸,0,1,10.0,1.0,1403.1884914092273,1505.4541759045946,0.4253459267224173,0.0,-4.253459267224173,1398.9350321420031,1509.7076351718188
19,2026-02-14,regional,横浜ＦＣ,ベガルタ仙台,0,1,10.0,1.0,1501.1881033352163,1545.1348315457292,0.5087104770261085,0.0,-5.087104770261085,1496.1009985649553,1550.2219363159902
20,2026-02-14,regional,湘南ベルマーレ,ＳＣ相模原,4,0,10.0,1.6094379124341003,1453.2101654175842,1394.015153063519,0.6521667356403889,1.0,5.598160428660711,1458.808325846245,1388.4169926348582
21,2026-02-14,regional,ＲＢ大宮アルディージャ,北海道コンサドーレ札幌,3,2,10.0,1.0,1554.266928239217,1474.048574544538,0.6790909029735968,1.0,3.2090909702640324,1557.476019209481,1470.839483574274
22,2026-02-14,regional,ヴァンフォーレ甲府,ＡＣ長野パルセイロ,2,0,10.0,1.0986122886681098,1460.837062289047,1321.380927164782,0.7484941580556724,1.0,2.763074086318576,1463.6001363753655,1318.6178530784634
23,2026-02-14,regional,藤枝ＭＹＦＣ,松本山雅ＦＣ,2,0,10.0,1.0986122886681098,1424.1615370973036,1404.5884690334874,0.5988065289545382,1.0,4.407560774239578,1428.5690978715431,1400.1809082592479
24,2026-02-14,regional,奈良クラブ,ＦＣ今治,1,0,10.0,1.0,1423.9882216302876,1503.9677539236607,0.45696274499732975,1.0,5.4303725500267035,1429.4185941803144,1498.537381373634
25,2026-02-15,regional,栃木ＳＣ,モンテディオ山形,1,2,10.0,1.0,1457.670714349791,1552.8829405515492,0.43529918216191726,0.0,-4.352991821619173,1453.317722528172,1557.2359323731682
26,2026-02-15,regional,栃木シティ,ブラウブリッツ秋田,0,1,10.0,1.0,1512.6130522503386,1462.2697815131403,0.6405201139274888,0.0,-6.4052011392748875,1506.2078511110637,1468.674982652415
27,2026-02-15,regional,いわきＦＣ,福島ユナイテッドＦＣ,3,1,10.0,1.0986122886681098,1544.9048783215655,1434.9846766188723,0.7151591864993782,1.0,3.129296180260044,1548.0341745018256,1431.8553804386122
28,2026-02-15,regional,ＦＣ岐阜,ジュビロ磐田,2,1,10.0,1.0,1424.291478121469,1525.9356178257763,0.4262206938415067,1.0,5.737793061584933,1430.0292711830539,1520.1978247641914
29,2026-02-15,regional,ＦＣ大阪,高知ユナイテッドSC,2,2,10.0,1.0,1489.9736247120065,1344.552890355453,0.7549024376845979,0.5,-2.5490243768459786,1487.4246003351604,1347.101914732299
30,2026-02-15,regional,カマタマーレ讃岐,カターレ富山,1,5,10.0,1.6094379124341003,1364.4735837212431,1436.389095531359,0.4685028060955403,0.0,-7.540261782119245,1356.933321939124,1443.9293573134782
31,2026-02-15,regional,徳島ヴォルティス,アルビレックス新潟,4,0,10.0,1.6094379124341003,1580.2800705285651,1434.07643444181,0.7557353387413409,1.0,3.9312880649755892,1584.2113585935408,1430.1451463768344
32,2026-02-15,regional,愛媛ＦＣ,ツエーゲン金沢,2,2,10.0,1.0,1346.176776457154,1452.2017315359167,0.4200652438751987,0.5,0.7993475612480128,1346.9761240184018,1451.4023839746687
33,2026-02-15,regional,レノファ山口ＦＣ,レイラック滋賀ＦＣ,2,1,10.0,1.0,1439.6816604807514,1350.0,0.6908449052152966,1.0,3.0915509478470335,1442.7732114285984,1346.908449052153
34,2026-02-15,regional,サガン鳥栖,ロアッソ熊本,1,1,10.0,1.0,1507.0297187249726,1433.2687731713322,0.6709368343627,0.5,-1.7093683436270002,1505.3203503813456,1434.9781415149591
35,2026-02-15,regional,大分トリニータ,ギラヴァンツ北九州,2,0,10.0,1.0986122886681098,1415.193603456943,1430.7140737313443,0.5494577753559655,1.0,4.949712245578044,1420.143315702521,1425.7643614857664
