rank,team,elo,last_division,matches,last_match_date,participated_hyakunen
1,鹿島アントラーズ,1681.1521803778508,J1,1134,2025-12-06,False
2,サンフレッチェ広島,1659.5223885900816,J1,1156,2025-12-06,False
3,柏レイソル,1646.1232915999788,J1,1078,2025-12-06,False
4,ヴィッセル神戸,1639.9485509270842,J1,994,2025-12-06,False
5,京都サンガF.C.,1622.0500646949838,J1,1134,2025-12-06,False
6,ＦＣ町田ゼルビア,1621.0360564456614,J1,523,2025-12-06,False
7,Ｖ・ファーレン長崎,1609.2159814667912,J2,530,2025-11-29,False
8,川崎フロンターレ,1592.8979329226045,J1,968,2025-12-06,False
9,浦和レッズ,1589.422464788658,J1,1144,2025-12-06,False
10,横浜Ｆ・マリノス,1580.3176252219669,J1,1134,2025-12-06,False
11,ガンバ大阪,1579.567490697791,J1,1142,2025-12-06,False
12,ジェフユナイテッド千葉,1572.164428076834,J2,1232,2025-11-29,False
13,セレッソ大阪,1566.082306475946,J1,1123,2025-12-06,False
14,ベガルタ仙台,1565.2775374412702,百年構想,1049,2026-06-06,True
15,徳島ヴォルティス,1558.6204657993696,百年構想,895,2026-06-07,True
16,ＦＣ東京,1554.8290078213265,J1,916,2025-12-06,False
17,水戸ホーリーホック,1546.91302729116,J2,1103,2025-11-29,False
18,アビスパ福岡,1538.5489949940604,J1,1159,2025-12-06,False
19,ＲＢ大宮アルディージャ,1537.959782163285,百年構想,58,2026-06-06,True
20,テゲバジャーロ宮崎,1537.3244560692663,百年構想,196,2026-06-06,True
21,清水エスパルス,1532.2106658922703,J1,1150,2025-12-06,False
22,大宮アルディージャ,1529.785705249861,J3,992,2024-11-24,False
23,いわきＦＣ,1526.8502356927727,百年構想,172,2026-06-07,True
24,ファジアーノ岡山,1522.079760121878,J1,705,2025-12-06,False
25,名古屋グランパス,1516.7500815880944,J1,1142,2025-12-06,False
26,横浜ＦＣ,1515.8553228850526,百年構想,1049,2026-06-06,True
27,東京ヴェルディ,1515.4195650631193,J1,1277,2025-12-06,False
28,サガン鳥栖,1511.6208775416744,百年構想,1067,2026-06-06,True
29,モンテディオ山形,1506.7482213763626,百年構想,1128,2026-06-07,True
30,横浜フリューゲルス,1501.1945551619697,J1,228,1998-11-14,False
31,ジュビロ磐田,1500.4430997435034,百年構想,1154,2026-06-06,True
32,鹿児島ユナイテッドＦＣ,1489.8494551452911,百年構想,366,2026-06-07,True
33,栃木シティ,1489.5976682291152,百年構想,58,2026-06-06,True
34,北海道コンサドーレ札幌,1486.325702566058,百年構想,1097,2026-06-06,True
35,ブラウブリッツ秋田,1485.197860534083,百年構想,453,2026-06-07,True
36,カターレ富山,1478.4766862630277,百年構想,645,2026-06-06,True
37,ヴァンラーレ八戸,1477.1689580133661,百年構想,264,2026-06-07,True
38,ヴァンフォーレ甲府,1475.066433819946,百年構想,1087,2026-06-06,True
39,湘南ベルマーレ,1469.8344691595455,百年構想,1275,2026-06-06,True
40,ＦＣ今治,1468.310958108415,百年構想,230,2026-06-07,True
41,ＦＣ大阪,1465.2584089381633,百年構想,134,2026-06-06,True
42,Ｊリーグ・アンダー22選抜,1463.82669155149,J3,69,2015-11-14,False
43,ＦＣ東京U-23,1454.7551291640607,J3,128,2019-12-08,False
44,アルビレックス新潟,1454.356406283429,百年構想,1020,2026-06-06,True
45,藤枝ＭＹＦＣ,1453.2503433035645,百年構想,431,2026-06-06,True
46,レノファ山口ＦＣ,1443.7278106278109,百年構想,468,2026-06-06,True
47,ツエーゲン金沢,1438.563362786469,百年構想,507,2026-06-07,True
48,栃木ＳＣ,1438.3525395818965,百年構想,703,2026-06-07,True
49,ガンバ大阪U-23,1435.8400602037211,J3,162,2020-12-20,False
50,ＦＣ岐阜,1428.3511510336148,百年構想,733,2026-06-06,True
51,ロアッソ熊本,1427.5414424037451,百年構想,737,2026-06-06,True
52,松本山雅ＦＣ,1425.0954973316266,百年構想,572,2026-06-06,True
53,ＳＣ相模原,1421.7971719090115,百年構想,441,2026-06-06,True
54,奈良クラブ,1419.2611181282691,百年構想,134,2026-06-06,True
55,福島ユナイテッドＦＣ,1418.0439896395244,百年構想,427,2026-06-07,True
56,ガイナーレ鳥取,1417.0621787719042,百年構想,549,2026-06-06,True
57,セレッソ大阪U-23,1413.9202356434134,J3,162,2020-12-20,False
58,大分トリニータ,1410.6725372949702,百年構想,1028,2026-06-07,True
59,ザスパ群馬,1406.3638844509767,百年構想,889,2026-06-07,True
60,ギラヴァンツ北九州,1397.9273006456835,百年構想,634,2026-06-07,True
61,愛媛ＦＣ,1380.7435122536112,百年構想,851,2026-06-06,True
62,高知ユナイテッドSC,1368.4876733627761,百年構想,58,2026-06-06,True
63,レイラック滋賀ＦＣ,1347.1903199208225,百年構想,20,2026-06-06,True
64,ＦＣ琉球,1347.0590846053437,百年構想,465,2026-06-07,True
65,カマタマーレ讃岐,1346.9406199909834,百年構想,474,2026-06-05,True
66,横浜スポーツ&カルチャークラブ,1343.939974712241,J3,369,2024-11-24,False
67,アスルクラロ沼津,1329.713560735442,J3,308,2025-11-29,False
68,ＡＣ長野パルセイロ,1317.4300285708325,百年構想,427,2026-06-05,True
69,いわてグルージャ盛岡,1302.0733071423642,J3,377,2024-11-24,False
