rank,team,elo,last_division,matches,last_match_date,participated_hyakunen,hyakunen_rank
14,ベガルタ仙台,1565.2775374412702,百年構想,1049,2026-06-06,True,1
15,徳島ヴォルティス,1558.6204657993696,百年構想,895,2026-06-07,True,2
19,ＲＢ大宮アルディージャ,1537.959782163285,百年構想,58,2026-06-06,True,3
20,テゲバジャーロ宮崎,1537.3244560692663,百年構想,196,2026-06-06,True,4
23,いわきＦＣ,1526.8502356927727,百年構想,172,2026-06-07,True,5
26,横浜ＦＣ,1515.8553228850526,百年構想,1049,2026-06-06,True,6
28,サガン鳥栖,1511.6208775416744,百年構想,1067,2026-06-06,True,7
29,モンテディオ山形,1506.7482213763626,百年構想,1128,2026-06-07,True,8
31,ジュビロ磐田,1500.4430997435034,百年構想,1154,2026-06-06,True,9
32,鹿児島ユナイテッドＦＣ,1489.8494551452911,百年構想,366,2026-06-07,True,10
33,栃木シティ,1489.5976682291152,百年構想,58,2026-06-06,True,11
34,北海道コンサドーレ札幌,1486.325702566058,百年構想,1097,2026-06-06,True,12
35,ブラウブリッツ秋田,1485.197860534083,百年構想,453,2026-06-07,True,13
36,カターレ富山,1478.4766862630277,百年構想,645,2026-06-06,True,14
37,ヴァンラーレ八戸,1477.1689580133661,百年構想,264,2026-06-07,True,15
38,ヴァンフォーレ甲府,1475.066433819946,百年構想,1087,2026-06-06,True,16
39,湘南ベルマーレ,1469.8344691595455,百年構想,1275,2026-06-06,True,17
40,ＦＣ今治,1468.310958108415,百年構想,230,2026-06-07,True,18
41,ＦＣ大阪,1465.2584089381633,百年構想,134,2026-06-06,True,19
44,アルビレックス新潟,1454.356406283429,百年構想,1020,2026-06-06,True,20
45,藤枝ＭＹＦＣ,1453.2503433035645,百年構想,431,2026-06-06,True,21
46,レノファ山口ＦＣ,1443.7278106278109,百年構想,468,2026-06-06,True,22
47,ツエーゲン金沢,1438.563362786469,百年構想,507,2026-06-07,True,23
48,栃木ＳＣ,1438.3525395818965,百年構想,703,2026-06-07,True,24
50,ＦＣ岐阜,1428.3511510336148,百年構想,733,2026-06-06,True,25
51,ロアッソ熊本,1427.5414424037451,百年構想,737,2026-06-06,True,26
52,松本山雅ＦＣ,1425.0954973316266,百年構想,572,2026-06-06,True,27
53,ＳＣ相模原,1421.7971719090115,百年構想,441,2026-06-06,True,28
54,奈良クラブ,1419.2611181282691,百年構想,134,2026-06-06,True,29
55,福島ユナイテッドＦＣ,1418.0439896395244,百年構想,427,2026-06-07,True,30
56,ガイナーレ鳥取,1417.0621787719042,百年構想,549,2026-06-06,True,31
58,大分トリニータ,1410.6725372949702,百年構想,1028,2026-06-07,True,32
59,ザスパ群馬,1406.3638844509767,百年構想,889,2026-06-07,True,33
60,ギラヴァンツ北九州,1397.9273006456835,百年構想,634,2026-06-07,True,34
61,愛媛ＦＣ,1380.7435122536112,百年構想,851,2026-06-06,True,35
62,高知ユナイテッドSC,1368.4876733627761,百年構想,58,2026-06-06,True,36
63,レイラック滋賀ＦＣ,1347.1903199208225,百年構想,20,2026-06-06,True,37
64,ＦＣ琉球,1347.0590846053437,百年構想,465,2026-06-07,True,38
65,カマタマーレ讃岐,1346.9406199909834,百年構想,474,2026-06-05,True,39
68,ＡＣ長野パルセイロ,1317.4300285708325,百年構想,427,2026-06-05,True,40
