date,home,away,home_goals,away_goals,home_first_half_goals,away_first_half_goals,home_second_half_goals,away_second_half_goals,home_shots_official,away_shots_official,home_ck,away_ck,home_fk,away_fk,home_livetxt,away_livetxt,home_shots_livetxt,away_shots_livetxt,home_shots_on_target,away_shots_on_target,home_xg,away_xg,livetxt_found,url,error,source_file,basic_refilled,basic_refill_status,home_possession,away_possession,home_pass_success,away_pass_success,home_offside,away_offside,manual_completed,manual_note
2026-02-07,栃木C,仙台,1,4,0,2,1,2,10,13,7,3,14,18,栃木C,仙台,10,11,3,5,0.93,1.3,True,https://www.jleague.jp/match/j2j3/2026/020704/live/,,j2j3_2026_match_stats_0104.csv,False,,,,,,,,,
2026-02-07,横浜FC,山形,1,2,0,2,1,0,16,9,7,4,15,8,横浜FC,山形,16,9,5,5,1.9,1.02,True,https://www.jleague.jp/match/j2j3/2026/020705/live/,,j2j3_2026_match_stats_0104.csv,False,,,,,,,,,
2026-02-07,湘南,秋田,1,2,0,1,1,1,11,18,5,4,10,15,湘南,秋田,10,16,3,2,0.8,2.19,True,https://www.jleague.jp/match/j2j3/2026/020706/live/,,j2j3_2026_match_stats_0104.csv,False,,,,,,,,,
2026-02-07,大宮,松本,2,1,2,0,0,1,11,12,8,2,18,14,大宮,松本,11,11,6,5,0.71,0.59,True,https://www.jleague.jp/match/j2j3/2026/020707/live/,,j2j3_2026_match_stats_0104.csv,False,,,,,,,,,
2026-02-07,甲府,福島,4,1,3,1,1,0,12,15,5,4,6,16,甲府,福島,11,15,5,5,1.09,1.76,True,https://www.jleague.jp/match/j2j3/2026/020708/live/,,j2j3_2026_match_stats_0104.csv,False,,,,,,,,,
2026-02-07,磐田,長野,0,0,0,0,0,0,9,8,3,9,20,12,磐田,長野,9,8,3,3,0.58,0.59,True,https://www.jleague.jp/match/j2j3/2026/020709/live/,,j2j3_2026_match_stats_0104.csv,True,filled,,,,,,,,
2026-02-07,奈良,徳島,0,6,0,3,0,3,14,13,7,2,6,8,奈良,徳島,13,13,3,10,1.07,1.38,True,https://www.jleague.jp/match/j2j3/2026/020710/live/,,j2j3_2026_match_stats_0104.csv,False,,,,,,,,,
2026-02-07,北九州,鳥取,1,3,1,1,0,2,10,14,5,4,17,8,北九州,鳥取,11,14,2,6,1.04,1.48,True,https://www.jleague.jp/match/j2j3/2026/020711/live/,,j2j3_2026_match_stats_0104.csv,False,,,,,,,,,
2026-02-08,藤枝,岐阜,0,2,0,1,0,1,13,11,6,4,12,11,藤枝,岐阜,8,11,1,6,0.79,1.73,True,https://www.jleague.jp/match/j2j3/2026/020807/live/,,j2j3_2026_match_stats_0104.csv,False,,,,,,,,,
2026-02-08,いわき,札幌,1,0,1,0,0,0,23,5,5,3,6,16,いわき,札幌,23,4,5,0,1.88,0.34,True,https://www.jleague.jp/match/j2j3/2026/020808/live/,,j2j3_2026_match_stats_0104.csv,False,,,,,,,,,
2026-02-08,愛媛,新潟,0,1,0,1,0,0,21,8,7,5,6,16,愛媛,新潟,21,7,7,3,1.5,0.58,True,https://www.jleague.jp/match/j2j3/2026/020809/live/,,j2j3_2026_match_stats_0104.csv,False,,,,,,,,,
2026-02-08,FC大阪,讃岐,0,1,0,1,0,0,18,11,6,7,14,15,FC大阪,讃岐,18,10,2,6,1.41,1.46,True,https://www.jleague.jp/match/j2j3/2026/020810/live/,,j2j3_2026_match_stats_0104.csv,False,,,,,,,,,
2026-02-08,今治,金沢,0,0,0,0,0,0,6,15,5,5,19,12,今治,金沢,6,15,1,4,0.43,1.61,True,https://www.jleague.jp/match/j2j3/2026/020811/live/,,j2j3_2026_match_stats_0104.csv,True,filled,,,,,,,,
2026-02-08,高知,富山,3,1,2,1,1,0,19,10,8,9,5,19,高知,富山,19,10,10,5,2.12,1.39,True,https://www.jleague.jp/match/j2j3/2026/020812/live/,,j2j3_2026_match_stats_0104.csv,False,,,,,,,,,
2026-02-08,熊本,山口,2,1,0,0,2,1,11,13,7,2,8,12,熊本,山口,10,12,4,3,1.41,1.06,True,https://www.jleague.jp/match/j2j3/2026/020813/live/,,j2j3_2026_match_stats_0104.csv,False,,,,,,,,,
2026-02-08,鹿児島,宮崎,2,3,1,2,1,1,10,6,6,3,15,18,鹿児島,宮崎,8,5,3,2,0.98,0.4,True,https://www.jleague.jp/match/j2j3/2026/020815/live/,,j2j3_2026_match_stats_0104.csv,False,,,,,,,,,
