j3_elo_rank,team,elo,last_division,matches,last_match_date,participated_hyakunen,rank
1,鹿児島ユナイテッドＦＣ,1489.8494551452911,百年構想,366,2026-06-07,True,32
2,ＦＣ大阪,1465.2584089381633,百年構想,134,2026-06-06,True,41
3,レノファ山口ＦＣ,1443.7278106278109,百年構想,468,2026-06-06,True,46
4,ツエーゲン金沢,1438.563362786469,百年構想,507,2026-06-07,True,47
5,栃木ＳＣ,1438.3525395818965,百年構想,703,2026-06-07,True,48
6,ＦＣ岐阜,1428.3511510336148,百年構想,733,2026-06-06,True,50
7,ロアッソ熊本,1427.5414424037451,百年構想,737,2026-06-06,True,51
8,松本山雅ＦＣ,1425.0954973316266,百年構想,572,2026-06-06,True,52
9,ＳＣ相模原,1421.7971719090117,百年構想,441,2026-06-06,True,53
10,奈良クラブ,1419.2611181282691,百年構想,134,2026-06-06,True,54
11,福島ユナイテッドＦＣ,1418.0439896395244,百年構想,427,2026-06-07,True,55
12,ガイナーレ鳥取,1417.0621787719042,百年構想,549,2026-06-06,True,56
13,ザスパ群馬,1406.363884450977,百年構想,889,2026-06-07,True,59
14,ギラヴァンツ北九州,1397.9273006456835,百年構想,634,2026-06-07,True,60
15,愛媛ＦＣ,1380.7435122536112,百年構想,851,2026-06-06,True,61
16,高知ユナイテッドSC,1368.487673362776,百年構想,58,2026-06-06,True,62
17,レイラック滋賀ＦＣ,1347.1903199208225,百年構想,20,2026-06-06,True,63
18,ＦＣ琉球,1347.0590846053435,百年構想,465,2026-06-07,True,64
19,カマタマーレ讃岐,1346.9406199909834,百年構想,474,2026-06-05,True,65
20,ＡＣ長野パルセイロ,1317.4300285708323,百年構想,427,2026-06-05,True,68
