round,date,home,away
1,,ＳＣ相模原,カマタマーレ讃岐
2,,高知ユナイテッドSC,ＳＣ相模原
3,,ＦＣ琉球,ＳＣ相模原
4,,レノファ山口ＦＣ,ＦＣ大阪
5,,ＦＣ琉球,鹿児島ユナイテッドＦＣ
6,,ＦＣ琉球,高知ユナイテッドSC
7,,福島ユナイテッドＦＣ,ＦＣ大阪
8,,ＳＣ相模原,レイラック滋賀ＦＣ
9,,ギラヴァンツ北九州,ガイナーレ鳥取
10,,栃木ＳＣ,ＡＣ長野パルセイロ
11,,松本山雅ＦＣ,ギラヴァンツ北九州
12,,ＦＣ琉球,奈良クラブ
13,,ＦＣ岐阜,栃木ＳＣ
14,,ＳＣ相模原,福島ユナイテッドＦＣ
15,,ツエーゲン金沢,ＳＣ相模原
16,,愛媛ＦＣ,ＡＣ長野パルセイロ
17,,松本山雅ＦＣ,ＦＣ琉球
18,,ＦＣ大阪,ガイナーレ鳥取
19,,松本山雅ＦＣ,ザスパ群馬
20,,レノファ山口ＦＣ,ガイナーレ鳥取
21,,ＳＣ相模原,鹿児島ユナイテッドＦＣ
22,,松本山雅ＦＣ,ＡＣ長野パルセイロ
23,,ＦＣ琉球,カマタマーレ讃岐
24,,鹿児島ユナイテッドＦＣ,ＦＣ大阪
25,,レノファ山口ＦＣ,ＦＣ岐阜
26,,ＳＣ相模原,愛媛ＦＣ
27,,ギラヴァンツ北九州,鹿児島ユナイテッドＦＣ
28,,ＦＣ大阪,ロアッソ熊本
29,,ＦＣ岐阜,鹿児島ユナイテッドＦＣ
30,,レノファ山口ＦＣ,栃木ＳＣ
31,,ガイナーレ鳥取,ＦＣ琉球
32,,奈良クラブ,高知ユナイテッドSC
33,,ＦＣ大阪,栃木ＳＣ
34,,ロアッソ熊本,ザスパ群馬
35,,ＦＣ岐阜,カマタマーレ讃岐
36,,栃木ＳＣ,奈良クラブ
37,,レイラック滋賀ＦＣ,レノファ山口ＦＣ
38,,ギラヴァンツ北九州,栃木ＳＣ
39,,ツエーゲン金沢,栃木ＳＣ
40,,ＦＣ琉球,ＡＣ長野パルセイロ
41,,ツエーゲン金沢,ギラヴァンツ北九州
42,,カマタマーレ讃岐,ガイナーレ鳥取
43,,鹿児島ユナイテッドＦＣ,ザスパ群馬
44,,レイラック滋賀ＦＣ,鹿児島ユナイテッドＦＣ
45,,松本山雅ＦＣ,高知ユナイテッドSC
46,,レイラック滋賀ＦＣ,ＦＣ琉球
47,,ギラヴァンツ北九州,レイラック滋賀ＦＣ
48,,鹿児島ユナイテッドＦＣ,レイラック滋賀ＦＣ
49,,ガイナーレ鳥取,ＦＣ大阪
50,,福島ユナイテッドＦＣ,ザスパ群馬
51,,レノファ山口ＦＣ,ＳＣ相模原
52,,ＡＣ長野パルセイロ,福島ユナイテッドＦＣ
53,,ギラヴァンツ北九州,ザスパ群馬
54,,ＡＣ長野パルセイロ,高知ユナイテッドSC
55,,ガイナーレ鳥取,愛媛ＦＣ
56,,ツエーゲン金沢,鹿児島ユナイテッドＦＣ
57,,松本山雅ＦＣ,ＦＣ岐阜
58,,ＦＣ岐阜,ＦＣ大阪
59,,松本山雅ＦＣ,カマタマーレ讃岐
60,,ツエーゲン金沢,奈良クラブ
61,,ＡＣ長野パルセイロ,ＦＣ大阪
62,,奈良クラブ,松本山雅ＦＣ
63,,ツエーゲン金沢,ＦＣ岐阜
64,,レノファ山口ＦＣ,カマタマーレ讃岐
65,,愛媛ＦＣ,高知ユナイテッドSC
66,,ＦＣ大阪,ＡＣ長野パルセイロ
67,,ロアッソ熊本,ギラヴァンツ北九州
68,,レノファ山口ＦＣ,鹿児島ユナイテッドＦＣ
69,,鹿児島ユナイテッドＦＣ,福島ユナイテッドＦＣ
70,,レイラック滋賀ＦＣ,ガイナーレ鳥取
71,,高知ユナイテッドSC,松本山雅ＦＣ
72,,ガイナーレ鳥取,レイラック滋賀ＦＣ
73,,愛媛ＦＣ,ＦＣ大阪
74,,福島ユナイテッドＦＣ,松本山雅ＦＣ
75,,レノファ山口ＦＣ,松本山雅ＦＣ
76,,レノファ山口ＦＣ,ギラヴァンツ北九州
77,,栃木ＳＣ,レノファ山口ＦＣ
78,,ロアッソ熊本,カマタマーレ讃岐
79,,愛媛ＦＣ,福島ユナイテッドＦＣ
80,,ロアッソ熊本,ツエーゲン金沢
81,,奈良クラブ,ロアッソ熊本
82,,ツエーゲン金沢,松本山雅ＦＣ
83,,ＳＣ相模原,松本山雅ＦＣ
84,,愛媛ＦＣ,ＦＣ琉球
85,,高知ユナイテッドSC,福島ユナイテッドＦＣ
86,,ツエーゲン金沢,レノファ山口ＦＣ
87,,ザスパ群馬,レノファ山口ＦＣ
88,,カマタマーレ讃岐,松本山雅ＦＣ
89,,鹿児島ユナイテッドＦＣ,奈良クラブ
90,,ＦＣ大阪,レイラック滋賀ＦＣ
91,,ＡＣ長野パルセイロ,ツエーゲン金沢
92,,栃木ＳＣ,鹿児島ユナイテッドＦＣ
93,,ＳＣ相模原,ＦＣ岐阜
94,,ガイナーレ鳥取,松本山雅ＦＣ
95,,ザスパ群馬,ＡＣ長野パルセイロ
96,,ＦＣ琉球,レイラック滋賀ＦＣ
97,,栃木ＳＣ,ツエーゲン金沢
98,,愛媛ＦＣ,レイラック滋賀ＦＣ
99,,カマタマーレ讃岐,レイラック滋賀ＦＣ
100,,奈良クラブ,レイラック滋賀ＦＣ
101,,ＦＣ大阪,ギラヴァンツ北九州
102,,奈良クラブ,ＳＣ相模原
103,,高知ユナイテッドSC,ＦＣ琉球
104,,栃木ＳＣ,愛媛ＦＣ
105,,ＡＣ長野パルセイロ,松本山雅ＦＣ
106,,松本山雅ＦＣ,栃木ＳＣ
107,,奈良クラブ,鹿児島ユナイテッドＦＣ
108,,福島ユナイテッドＦＣ,ギラヴァンツ北九州
109,,鹿児島ユナイテッドＦＣ,ギラヴァンツ北九州
110,,カマタマーレ讃岐,ツエーゲン金沢
111,,ザスパ群馬,ＦＣ琉球
112,,高知ユナイテッドSC,愛媛ＦＣ
113,,ガイナーレ鳥取,ギラヴァンツ北九州
114,,カマタマーレ讃岐,栃木ＳＣ
115,,ザスパ群馬,カマタマーレ讃岐
116,,高知ユナイテッドSC,ギラヴァンツ北九州
117,,カマタマーレ讃岐,ＦＣ琉球
118,,ＡＣ長野パルセイロ,奈良クラブ
119,,ＡＣ長野パルセイロ,ロアッソ熊本
120,,レイラック滋賀ＦＣ,栃木ＳＣ
121,,ツエーゲン金沢,ザスパ群馬
122,,ギラヴァンツ北九州,奈良クラブ
123,,奈良クラブ,ツエーゲン金沢
124,,ＦＣ岐阜,ＡＣ長野パルセイロ
125,,ＦＣ琉球,栃木ＳＣ
126,,福島ユナイテッドＦＣ,鹿児島ユナイテッドＦＣ
127,,ザスパ群馬,栃木ＳＣ
128,,ＦＣ岐阜,レノファ山口ＦＣ
129,,ツエーゲン金沢,レイラック滋賀ＦＣ
130,,栃木ＳＣ,ＦＣ岐阜
